Column name,Description,Data type,Unit of measurement,Role in analysis,Notes
SampleID,"Unique sample identifier as in BIOCOM and BIODESERT data (Maestre et al. 2015, 2022a, 2022b)",character,-,-,"Note that following 18 sites are missing from this SHARED dataset as their publication is under embargo: 1001-1015, 1052-1054. Six of the missing sites are located in Algeria, 3 sites in Canada, and 9 sites in Argentina."
LC,"Land cover defined as one of Cropland, Grassland, Shrubland*, Woodland, Others*; classification described in Zeiss et al. (2022a, 2022b) and others (Orgiazzi et al. 2018, 2022; Fernandez-Ugalde et al. 2022)",character,-,Habitat type,-
Latitude,Latitude,numeric,decimal degrees,Environmental similarity,-
Longitude,Longitude,numeric,decimal degrees,Environmental similarity,-
Elevation,"Data from WorldClim v 2.1 (Fick, Hijmans, 2017), extracted using terra::extract (Hijmans et al., 2022)",numeric,m,Environmental similarity,-
AnnualPrec,"Annual precipitation from CHELSA v 2.1 (Karger et al., 2020), extracted using terra::extract (Hijmans et al., 2022)",numeric,mm,Environmental similarity,-
AnnualTemp,"Annual mean temperature from CHELSA v 2.1 (Karger et al., 2020), extracted using terra::extract (Hijmans et al., 2022)",numeric,degree Celsius,Environmental similarity,-
Soil_pH,Soil pH was measured in a 1:5 (V/V) suspension of dry soil in water according to ISO 10390:2005 (see also Orgiazzi et al. 2018; Fernandez-Ugalde et al. 2022).,numeric,-,Environmental similarity,-
Soil_salinity,"Electrical conductivity of dried samples was measured according to ISO 11265:1994 (metal electrodes in aqueous extract of soil) (Hiederer, 2018).",numeric,µS / cm,Environmental similarity,-
Soil_texture,"Clay+silt content was measured according to ISO 11277:1998 and ISO 13320:2009 (laser diffraction) (Hiederer, 2018).",percent,%,Environmental similarity,-
Soil_carbon_service,"Soil organic carbon content (Orgiazzi et al. 2018, 2022; Fernandez-Ugalde et al. 2022)",numeric,percent,Soil function,-
OM_decomposition_service,"Average of standardized activity of N-Acetylglucosaminidase and soil microbial basal respiration (Guerra et al., 2021; Zeiss et al. 2022b; Fernandez-Ugalde et al. 2022)",numeric,-,Soil function,-
Water_regulation_service,"Standardized water-stable aggregates (Carvalho et al., 2025, Duarte et al., 2024)",numeric,-,Soil function,-
Soil_stability_service,Average of standardized mean weight diameter and water-stable aggregates (Zeiss et al. 2022b),numeric,-,Soil function,-
Nutrient_service,"Average of standardized content of nitrogen, phosphorus and potassium in soil. Phosphorus was estimated according to ISO 11263:1994 (spectrometric determination of P soluble in sodium hydrogen CaCO3 solution). Total nitrogen  was estimated according to ISO 11261:1995 (modified Kjeldahl method). Extractable potassium  was estimated according to USDA−NRCS (2004) by atomic absorption spectrometry after extraction with NH4 OAc (Hiederer, 2018).",,,,-
Pathogen_control,Inverse proportion of soil-borne potential fungal plant pathogens,numeric,-,Soil function,-
Bac_richness,Number of bacterial zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Fungi_richness,Number of fungal zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Invertebrate_richness,Number of invertebrate zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Protist_richness,Number of protist zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Nematode_richness,Number of nematode zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Bac_shannonDiv,Shannon index ,numeric,-,Soil biodiversity attribute,-
Fungi_shannonDiv,Shannon index ,numeric,-,Soil biodiversity attribute,-
Invertebrate_shannonDiv,Shannon index ,numeric,-,Soil biodiversity attribute,-
Protist_shannonDiv,Shannon index ,numeric,-,Soil biodiversity attribute,-
Ectomycorrhizal_richness,Number of ectomycorrhizal fungi zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Arbuscularmycorrhizal_richness,Number of arbuscular mycorrhizal fungi zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Decomposer_richness,Number of decomposer zOTUs,numeric,Number of zOTUs,Soil biodiversity attribute,-
Bac_JaccDist_av,Jaccard distance based on presence-absence matrix,numeric,-,Soil biodiversity attribute,-
Fungi_JaccDist_av,Jaccard distance based on presence-absence matrix,numeric,-,Soil biodiversity attribute,-
Protist_JaccDist_av,Jaccard distance based on presence-absence matrix,numeric,-,Soil biodiversity attribute,-
Invertebrate_JaccDist_av,Jaccard distance based on presence-absence matrix,numeric,-,Soil biodiversity attribute,-
PA,Protection status: protected (1) or unprotected (0) based on IUCN protected area management categories,binary,-,Protection status,-
PA_type,"IUCN protected area management category according to (UNEP–WCMC, IUCN, 2021)",character,-,Protection type,-
PA_rank,Protection level ranging from 1 (strictly) to 10 (less strictly) and NA (unprotected) as defined by authors increasing with increasing IUCN category,numeric,-,Protection type gradient,
