SampleID,LC,Latitude,Longitude,Elevation,AnnualPrec,AnnualTemp,Soil_pH,Soil_salinity,Soil_texture,Soil_carbon_service,OM_decomposition_service,Soil_stability_service,Nutrient_service,Pathogen_control,Bac_richness,Fungi_richness,Invertebrate_richness,Protist_richness,Nematode_richness,Bac_shannonDiv,Fungi_shannonDiv,Invertebrate_shannonDiv,Protist_shannonDiv,Ectomycorrhizal_richness,Arbuscularmycorrhizal_richness,Decomposer_richness,Bac_JaccDist_av,Fungi_JaccDist_av,Protist_JaccDist_av,Invertebrate_JaccDist_av,PA,PA_type,PA_rank
1223,Dryland,36.73875,-2.15989,112,267.90000000000003,1.805000000000001,6.76,344,33.111111111111114,16.020093980426847,-1.209831358928525,38.33333333333333,0.9062532336851206,0.961764705882353,4536,340,59,408,28,7.73178742811976,4.25791244572379,3.23681023526185,5.42689110031993,3,5,26,0.8637632373920205,0.8096841507057356,0.8711662674932606,0.8961120959912274,1,IV,5
1224,Dryland,36.74239,-2.16047,159,271.7,1.7950000000000046,7.48,1241,39.333333333333336,28.939179915502987,0.5332654544208107,44.333333333333336,0.5885537883221253,0.9815789473684212,4491,380,83,364,42,7.76740998331296,4.72296044822904,3.23112904249296,5.00699801054128,8,3,28,0.8612825662325071,0.8118286992238791,0.8659343040316708,0.8959892115756987,1,IV,5
1225,Dryland,36.74469,-2.16247,159,271.7,1.7950000000000046,7.51,732,39,17.621916423721018,0.12432424386243256,77.55555555555556,-0.15210531329080298,0.9872204472843452,4525,313,83,268,43,7.79130931322977,4.38590081825644,3.11555394985414,3.59291450262402,13,5,18,0.8552345557603158,0.8361435883158358,0.8841294474190606,0.9103322920161292,1,IV,5
1226,Dryland,36.7463,-2.16335,159,271.7,1.7950000000000046,7.57,632,66.33333333333334,10.07417003018738,-0.4035776700886347,72.44444444444444,-0.33776567649851125,0.9769820971867008,4394,391,98,375,46,7.74953637789099,4.48795769365814,3.21435764785235,5.35553676654548,7,2,24,0.8588565339123032,0.8174597214230185,0.8601974430599327,0.8989669909636292,1,IV,5
1231,Dryland,37.11645,-2.47328,694,384.6,1.6550000000000011,7.68,411,21.22222222222223,14.508308536636648,-0.04251743516209328,22.33333333333334,0.35332879274025103,0.9636363636363636,4468,330,60,374,22,7.66721589247127,4.14951223984796,2.46241918561727,4.61056554025684,6,2,23,0.8611178503294381,0.8050416424977368,0.8535479554674672,0.8899059947326637,1,II,3
1232,Dryland,37.11946,-2.48565,855,395.1,1.555000000000001,7.28,268,22.444444444444443,19.250704470910332,-0.7073988419340519,36.44444444444444,0.06343004373779723,0.9718670076726342,4465,391,75,321,29,7.69903033138831,4.33099564046568,3.32220170600572,5.26669296923253,7,6,26,0.8566659695986134,0.8093051284630846,0.8658548242316647,0.902754379238934,1,II,3
1233,Dryland,37.1226,-2.49928,879,395.2000000000001,1.5450000000000046,7.44,409,21,21.47435764613561,0.3735449164404852,74.1111111111111,0.3762588431056649,0.9641943734015346,4384,391,80,525,38,7.65956376308927,4.6635889872983904,3.43286350358999,5.77406025531922,5,6,23,0.8551826760811386,0.8099931547140915,0.8549759838031183,0.882174205912635,1,II,3
1081,Dryland,47.64005,21.14358,85,571.8000000000001,1.1350000000000022,5.74,451,65,65.81133736481866,1.3641476302021955,94.33333333333334,0.9771498018586556,0.948051948051948,4045,231,62,418,28,7.56001677252214,4.53286121959651,2.87107257599218,5.02220179128221,4,4,15,0.9087387121456048,0.8606752029737572,0.8831216395586491,0.9139834462239784,1,II,3
1082,Dryland,47.62921,21.14198,85,571.6,1.1350000000000022,5.99,533,66.88888888888889,63.63190190022154,1.8279795284608067,86.55555555555556,0.9700554003340676,0.9606299212598424,3843,254,91,392,42,7.39502129772136,4.17246112226685,3.42151228241434,5.50950751294666,3,4,19,0.9054993984677164,0.8669162213452197,0.8839040011436338,0.9066946156126816,1,II,3
1083,Dryland,47.60451,21.12539,85,573.3000000000001,1.1350000000000022,5.91,209,81.33333333333333,37.85667929419404,0.459142724744891,90.66666666666666,0.3077774356380869,0.9609756097560976,3790,205,64,239,38,7.38470465888005,3.94139231910816,3.11734904698394,5.07744213409251,1,2,12,0.9071142198467684,0.8740259497367731,0.8987726934379918,0.905873159164266,1,II,3
