SampleID,LC,Latitude,Longitude,Elevation,AnnualPrec,AnnualTemp,Soil_pH,Soil_salinity,Soil_texture,Soil_carbon_service,OM_decomposition_service,Soil_stability_service,Nutrient_service,Pathogen_control,Bac_richness,Fungi_richness,Invertebrate_richness,Protist_richness,Nematode_richness,Bac_shannonDiv,Fungi_shannonDiv,Invertebrate_shannonDiv,Protist_shannonDiv,Ectomycorrhizal_richness,Arbuscularmycorrhizal_richness,Decomposer_richness,Bac_JaccDist_av,Fungi_JaccDist_av,Protist_JaccDist_av,Invertebrate_JaccDist_av,PA,PA_type,PA_rank
1,Cropland,available on request,available on request,61,1399.6,1.5250000000000057,5.81,121.2,10.33,6.39,-0.7974449772166612,-0.9167844901352143,0.2543724871275099,0.975,3550,80,23,254,9,7.43965644879613,2.86516296280909,2.39336022757227,4.08806150768174,0,1,7,0.7923822056236869,0.8231579398840841,0.9001077738331709,0.9476890920528448,0,NA,NA
2,Grassland,available on request,available on request,8,1269,1.555000000000001,6.24,436.07,35.84,4.34,0.5352463195453518,0.8065850662298062,3.5468377558828452,0.961038961038961,3154,77,14,226,8,7.25068712305791,3.08805333511803,0.110004267607793,4.66543101378067,1,0,2,0.7959501960685437,0.8408804720737874,0.9117223662773978,0.9367631487941946,0,NA,NA
3,Woodland,available on request,available on request,91,1508.8000000000002,1.4950000000000043,3.95,128,43.89,15.59,0.02368754594924622,1.5662206782436257,-0.4466316724984211,0.977900552486188,2200,181,47,148,26,6.59651993836568,3.73874030793864,3.02874103885752,2.73730057521393,4,0,15,0.776259215068257,0.813230381900786,0.916598060265944,0.8735960218569582,0,NA,NA
4,Woodland,available on request,available on request,133,1551.4,1.4750000000000056,3.91,148,31.17,9.25,-0.49440340026914337,1.5292280893220855,-0.5846448565154292,0.9916666666666668,2482,120,33,128,12,6.78512111197516,3.16491319572619,2.37416498639225,2.21474607510128,2,0,9,0.7766390695999825,0.8044052101806487,0.9081804690572052,0.9238410903112106,0,NA,NA
5,Other,available on request,available on request,22,1316.8000000000002,1.5350000000000024,5.22,134.83,34.59,4.77,-0.04701361655076656,-0.3184310789697815,0.8614815717846538,0.9763313609467456,3466,169,48,290,31,7.44071165486953,3.98091495125467,3.12384054958012,3.35992823960351,2,2,9,0.7647876373126179,0.8053714171840122,0.8832726577290383,0.8992409856477417,0,NA,NA
6,Cropland,available on request,available on request,83,1502.6,1.5250000000000057,5.38,144.43,30.9,2.88,-0.05008758013772357,0.9429208068936178,0.9537814186396788,0.963157894736842,3709,190,36,494,25,7.56478547804953,3.62694531053566,3.06103587242669,5.18649049151039,0,4,17,0.7759847537861001,0.7880234250935522,0.8596447236188371,0.8824658964065585,0,NA,NA
7,Cropland,available on request,available on request,101,1486.4,1.5250000000000057,4.75,290.13,30.7,5.77,-0.5006794092591808,0.1323634902241072,0.4676709189990091,0.964102564102564,3666,195,34,425,27,7.56143340357054,3.82282897338808,2.47208501971409,5.16434518541874,0,2,21,0.7775327703717515,0.8007721609198798,0.8741566383804179,0.9085562645757376,0,NA,NA
8,Woodland,available on request,available on request,240,1524.1,1.4550000000000012,4.26,62.4,38.09,7.92,-0.5767600080363682,1.6869750132585366,-0.6902822650327781,0.9928057553956836,2525,139,45,108,24,6.71791351845576,3.3743487971674,2.98320998614582,4.18630037940171,3,1,10,0.7676006144538303,0.8221906268130702,0.91942570435606,0.8708176197526151,1,IV,5
9,Cropland,available on request,available on request,185,1551.1,1.4750000000000056,5.23,80.4,37.54,4.23,-0.6812747699929086,-0.7307740560721259,0.09301243489442372,0.9556962025316456,3403,158,15,232,8,7.4102344729039,3.38876128868934,1.37876456087478,4.69606671096534,1,2,17,0.7670649001891394,0.7935609515713834,0.8685549130599167,0.8995009425121289,0,NA,NA
10,Grassland,available on request,available on request,101,1491.9,1.5250000000000057,4.38,139.9,25.7,4.6,-0.5835483442908984,0.7870443998417889,0.4424973392098589,0.9690721649484536,3582,194,40,402,28,7.50618974723517,3.93099633195728,1.24596949629451,5.29737428124618,1,1,12,0.7504438128936581,0.7866748809646797,0.8517801629313043,0.9042534150126088,0,NA,NA
