Order_ID,Latitude_c,Longitude_c ,Eco_c,Soil_pH,Soil_salinity,Clay_silt_c,Soil_carbon_service,OM_decomposition_service,Water_regulation_service,Soil_stability_service,Nutrient_service,Pathogen_control,Richness_bacteria,Fungi_18s_richness,Invertebrate_18s_richness,Protist_18s_richness,Ectomycorrhizal_18s_richness,Arbuscular_mycorrhizal_18s_richness,Decomposers_18s_richness,Diss_Bacteria_std,Diss_Fungi_std,Diss_Protists_std,Diss_invert_std
6,42.27527778,127.4425,Forest,4.47,444,75.52,0.327764356,0.206640334,0.564750955,0.737637638,0.244527934,0.987179487,3153.0000,195.0000,22.0000,280.0000,12.0000,1.0000,42.0000,0.7104,0.6038,0.4688,0.6768
9,42.84055556,129.4636111,Grassland,6.15,384,67.26,0.218415621,0.159708595,0.432170812,0.317717718,0.230971031,0.997668998,4186.0000,229.0000,52.0000,565.0000,12.0000,2.0000,42.0000,0.3572,0.5718,0.2460,0.2014
12,43.33888889,128.2375,Forest,4.81,99,69.94,0.1290905,0.077315048,0.453945004,0.478378378,0.17930737,0.995337995,3317.0000,163.0000,22.0000,187.0000,16.0000,1.0000,38.0000,0.5830,0.6771,0.5554,0.6616
15,43.87777778,126.6066667,Grassland,5.83,385,83.56,0.260597075,0.457679995,0.611816791,0.294494494,0.257515371,0.993006993,4053.0000,260.0000,25.0000,535.0000,14.0000,2.0000,64.0000,0.3953,0.5092,0.2292,0.4535
41,-18.4578,-69.79670556,Grassland,5.44,77,47.56,0.008673436,0.105648803,0.546498891,0.075753531,0.094197371,0.961538462,2585.0000,154.0000,4.0000,161.0000,2.0000,1.0000,25.0000,0.5450,0.4687,0.6487,0.9710
44,-28.383275,-70.69310278,Grassland,5.77,163,16.46,0.046951848,0.176241831,1,0.082604827,0.094515012,0.979020979,3472.0000,210.0000,32.0000,365.0000,4.0000,6.0000,40.0000,0.3593,0.3880,0.3040,0.4318
47,-32.89728333,-71.16475556,Shrubland,5.26,453,38.1,0.083133103,0.161368907,0.971757874,0.619508397,0.531762753,0.918414918,3981.0000,242.0000,36.0000,444.0000,4.0000,1.0000,36.0000,0.1435,0.2413,0.1260,0.3789
56,-28.50475,-70.76084444,Shrubland,5.89,196,19.14,0.036807646,0.190811333,0.341002321,0.040929819,0.102263305,0.967365967,3892.0000,227.0000,31.0000,405.0000,4.0000,0.0000,45.0000,0.2714,0.2456,0.2180,0.3654
59,-32.87365278,-71.183325,Grassland,6.48,252,70.28,0.078184131,0.381551447,0.447610776,0.854220888,0.392330739,0.932400932,4472.0000,334.0000,54.0000,438.0000,9.0000,5.0000,74.0000,0.1081,0.1662,0.1277,0.3852
65,-19.2688889,-43.585,Grassland,5.09,47,21.92,0.019381118,0.10695173,0.437925027,0.894894895,0.017089367,0.994172494,3417.0000,239.0000,83.0000,556.0000,8.0000,5.0000,53.0000,0.8109,0.5680,0.4197,0.5532
68,-19.2652778,-43.58361111,Grassland,5.05,52,28.36,0.022043607,0.157604189,0.337126971,0.834834835,0.02562362,0.98018648,3698.0000,348.0000,42.0000,361.0000,8.0000,5.0000,54.0000,0.6771,0.6011,0.5181,0.4890
71,-19.2944444,-43.60583333,Shrubland,4.36,60,24.68,0.053698763,0.196308697,0.392641164,0.92992993,0.039452768,0.983682984,3149.0000,322.0000,46.0000,249.0000,2.0000,8.0000,65.0000,0.8133,0.4911,0.6068,0.4724
83,40.242019,-105.2118,Forest,6.32,90,22.16,0.072374582,0.216931568,0.206361468,0.309309309,0.169543357,0.917249417,4745.0000,267.0000,71.0000,643.0000,4.0000,4.0000,54.0000,0.1425,0.2871,0.1126,0.2043
86,39.190366,-109.115161,Shrubland,8.74,917,25.04,0.047632365,0.222148482,0.38122655,0.499499499,0.551936355,0.916083916,2965.0000,209.0000,26.0000,353.0000,5.0000,1.0000,38.0000,0.2435,0.2520,0.1726,0.5824
89,41.315937,-104.82723,Grassland,7.25,74,27.46,0.044123864,0.207406038,0.356993061,0.817817818,0.144192083,0.862470862,3958.0000,266.0000,48.0000,410.0000,3.0000,2.0000,53.0000,0.0974,0.2501,0.1550,0.4588
101,39.8291,-104.812,Forest,7.98,302,31.54,0.185079121,0.72904601,0.269972337,0.74974975,0.510502318,0.948717949,3744.0000,253.0000,66.0000,391.0000,7.0000,4.0000,49.0000,0.3954,0.4018,0.2435,0.2356
104,42.44511,-83.44231,Forest,7.98,140,57.58,0.077379161,0.260358964,0.242268345,0.998898899,0.139486414,0.990675991,3817.0000,220.0000,55.0000,468.0000,7.0000,1.0000,36.0000,0.4406,0.6035,0.2816,0.3807
109,51.76,-1.29845,Forest,7.19,194,54.02,0.210545986,0.393403694,0.356047343,0.84984985,0.272329456,0.968531469,3140.0000,159.0000,41.0000,197.0000,8.0000,4.0000,45.0000,0.4893,0.5956,0.6693,0.6214
116,67.301801,14.390105,Shrubland,4.85,110,15.44,0.215536443,0.253134044,0.264726332,0.356022689,0.229007901,0.975524476,1476.0000,152.0000,19.0000,61.0000,3.0000,3.0000,37.0000,0.9644,0.8481,0.9839,0.4778
125,59.85207,17.597665,Forest,5.21,112,63.28,0.286509675,0.318859995,0.552738036,0.65632299,0.225280184,0.98951049,2963.0000,215.0000,36.0000,208.0000,11.0000,1.0000,48.0000,0.6326,0.5751,0.5955,0.5688
131,46.50694444,0.371666667,Forest,5.21,66,54.52,0.078909662,0.133394966,0.48253389,0.862362362,0.123968815,1,2703.0000,204.0000,34.0000,206.0000,16.0000,1.0000,43.0000,0.6187,0.5983,0.6343,0.4129
143,47.33555556,0.751388889,Forest,4.57,74,62.82,0.196890634,0.092063717,0.196574671,0.474474474,0.221747184,0.993006993,2714.0000,168.0000,33.0000,269.0000,8.0000,1.0000,41.0000,0.6375,0.6974,0.4315,0.4456
146,46.052184,14.478296,Forest,4.06,110,72.36,0.248175657,0.591828215,0.333778294,0.332665999,0.333768449,1,1994.0000,179.0000,54.0000,142.0000,16.0000,2.0000,46.0000,0.8837,0.8039,0.7589,0.4894
149,45.526132,13.717189,Forest,7.53,306,75.06,0.273031734,0.241606563,0.469858511,0.6329663,0.13286317,0.981351981,3868.0000,236.0000,63.0000,303.0000,11.0000,3.0000,49.0000,0.2914,0.4518,0.3020,0.3081
152,46.580933,15.636299,Forest,4.64,83,60.42,0.139964206,0.156406599,0.52648263,0.332632633,0.257077298,0.991841492,3019.0000,185.0000,40.0000,175.0000,21.0000,2.0000,35.0000,0.6807,0.7299,0.6361,0.3760
164,-25.78791,28.20304,Grassland,6.08,139,60.86,0.096785808,0.196409427,0.496335982,0.804491992,0.159728108,0.94988345,4387.0000,317.0000,70.0000,500.0000,5.0000,5.0000,57.0000,0.1383,0.3228,0.1070,0.2417
167,-26.48338,28.21157,Grassland,5.57,274,53.76,0.19205155,0.228162427,0.487540134,0.593089024,0.191524042,0.966200466,4932.0000,348.0000,53.0000,462.0000,8.0000,7.0000,71.0000,0.1974,0.2840,0.1739,0.2857
170,-33.33378,18.27285,Grassland,8.05,452,36.12,0.012493069,0.020487392,0.266186002,0.852124852,0.092433303,0.98951049,2708.0000,144.0000,26.0000,525.0000,7.0000,3.0000,38.0000,0.5840,0.7091,0.3668,0.6354
185,23.59841667,87.42919444,Forest,5.95,48,42.78,0.025903488,0.107233621,0.216898661,0.789262947,0.17475843,0.959207459,4277.0000,251.0000,29.0000,542.0000,13.0000,1.0000,52.0000,0.5140,0.5323,0.3622,0.4919
195,27.250581,77.87598,Grassland,8.48,75,57.26,0.020355819,0.065621755,0.483594535,0.834960408,0.090469855,0.927738928,4997.0000,220.0000,40.0000,485.0000,6.0000,4.0000,41.0000,0.3865,0.4735,0.3461,0.5091
200,40.07264,116.182007,Forest,8.17,235,70.18,0.049734818,0.123236387,0.637822963,0.948948949,0.194213392,0.806526807,4523.0000,204.0000,30.0000,594.0000,2.0000,0.0000,37.0000,0.2256,0.3485,0.0790,0.4575
206,39.075328,117.147798,Forest,8.34,148,67.08,0.049925469,0.095473994,0.50932479,0.74974975,0.093494724,0.891608392,4590.0000,223.0000,59.0000,506.0000,5.0000,2.0000,46.0000,0.2998,0.3509,0.2114,0.3089
215,36.20803,117.110235,Forest,5.35,245,39.52,0.125670704,0.085175623,0.332703595,0.848848849,0.177025597,0.991841492,3907.0000,246.0000,36.0000,456.0000,6.0000,4.0000,47.0000,0.3555,0.3771,0.2720,0.4529
218,44.62965,88.26841667,Shrubland,8.76,84,33.34,0.003563999,0.051805658,0.159821404,0.223890557,0.048333212,0.916083916,4127.0000,152.0000,26.0000,381.0000,5.0000,1.0000,37.0000,0.2872,0.3696,0.1676,0.6596
221,45.117241,86.022085,Shrubland,9.54,361,40.64,0.010654085,0.019208011,0.64118951,0.377154933,0.083980049,0.804195804,3714.0000,115.0000,9.0000,273.0000,3.0000,3.0000,23.0000,0.3400,0.5217,0.3235,0.8402
224,43.834214,88.045233,Grassland,6.89,687,73.32,0.568275436,0.484501917,0,0.785340896,0.347678426,0.998834499,1701.0000,111.0000,7.0000,149.0000,3.0000,3.0000,28.0000,0.7047,0.6783,0.6829,0.8580
227,44.268534,88.150298,Shrubland,8.44,3810,78.08,0.032798686,0.115973777,0.655189003,0.609053498,0.119319293,0.613053613,2613.0000,152.0000,26.0000,200.0000,2.0000,3.0000,33.0000,0.5396,0.4332,0.4970,0.6478
230,44.698902,86.236809,Shrubland,8.52,2320,38.76,0.005539616,0.02630871,0.642534415,0.25358692,0.05982205,0.903263403,3694.0000,152.0000,15.0000,399.0000,5.0000,0.0000,34.0000,0.3385,0.3192,0.2537,0.7250
236,-23.825451,133.354729,Grassland,6.19,71,31.7,0.034993817,0.072752872,0.478404477,0.674341008,0.023936649,0.997668998,3901.0000,158.0000,34.0000,388.0000,1.0000,5.0000,29.0000,0.3685,0.6737,0.2534,0.5594
242,-34.1802,142.1729,Forest,6.74,502,47.06,0.182684513,0.363516828,0.386656175,0.399399399,0.266559665,0.907925408,4334.0000,262.0000,40.0000,514.0000,4.0000,0.0000,53.0000,0.1656,0.1848,0.1318,0.3854
245,-33.8812,150.8546,Forest,6.68,193,57.94,0.217163152,0.387912901,0.54884671,0.329329329,0.187729953,0.990675991,3981.0000,250.0000,56.0000,411.0000,9.0000,1.0000,46.0000,0.2017,0.4348,0.1984,0.3038
248,-34.0721,151.0012,Forest,4.44,110,11.5,0.09982033,0.295661221,0.241212598,0.54954955,0.085549347,0.98951049,1641.0000,161.0000,34.0000,100.0000,8.0000,8.0000,34.0000,0.8093,0.6927,0.7755,0.5184
266,41.476763,2.147501,Forest,6.52,384,47.08,0.169434294,0.249214708,0.104841913,0.859081304,0.481014568,0.968531469,4568.0000,294.0000,83.0000,623.0000,9.0000,2.0000,51.0000,0.2036,0.4562,0.2325,0.2843
272,46.725463,-116.923073,Forest,6.25,195,76.44,0.066858953,0.282911863,0.32932399,0.94994995,0.39050025,0.947552448,3238.0000,222.0000,33.0000,210.0000,4.0000,2.0000,50.0000,0.2730,0.2570,0.5488,0.5060
278,44.496464,-123.338215,Forest,5.37,226,62.92,0.210352688,0.185206332,0.198562273,0.910910911,0.379217629,0.997668998,3150.0000,244.0000,50.0000,275.0000,4.0000,3.0000,55.0000,0.5992,0.5376,0.5640,0.3466
284,19.603005,-99.47801995,Forest,6.2,267,70.86,0.660793955,0.241847114,0.425733885,0.547992437,0.652429144,1,3731.0000,168.0000,24.0000,404.0000,3.0000,1.0000,44.0000,0.4393,0.6585,0.4315,0.5509
