Type of variable,Name of variable,Global data,Continental data,Regional data
Diversity,Bacterial richness,Number of bacterial zOTUs,Number of bacterial zOTUs,Number of bacterial zOTUs
Diversity,Fungal richness,Number of fungal zOTUs,Number of fungal zOTUs,Number of fungal zOTUs
Diversity,Arbuscular mycorrhizal fungi richness,Number of arbuscular mycorrhizal fungi zOTUs,Number of arbuscular mycorrhizal fungi zOTUs,Number of arbuscular mycorrhizal fungi zOTUs
Diversity,Ectomycorrhizal fungi richness,Number of ectomycorrhizal fungi zOTUs,Number of ectomycorrhizal fungi zOTUs,Number of ectomycorrhizal fungi zOTUs
Diversity,Protist richness,Number of protist zOTUs,Number of protist zOTUs,Number of protist zOTUs
Diversity,Nematode richness,Number of nematode zOTUs,Number of nematode zOTUs,Number of nematode zOTUs
Diversity,Invertebrate richness,Number of invertebrate zOTUs,Number of invertebrate zOTUs,Number of invertebrate zOTUs
Diversity,Decomposer richness,Number of fungal zOTUs,Number of fungal zOTUs,Number of fungal zOTUs
Diversity,Bacterial Shannon index,Shannon index ,Shannon index ,Shannon index 
Diversity,Fungal Shannon index,Shannon index ,Shannon index ,Shannon index 
Diversity,Protist Shannon index,Shannon index ,Shannon index ,Shannon index 
Diversity,Invertebrate Shannon index,Shannon index ,Shannon index ,Shannon index 
Diversity,Bacterial dissimilarity,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix
Diversity,Fungal dissimilarity,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix
Diversity,Protist dissimilarity,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix
Diversity,Invertebrate dissimilarity,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix,Jaccard distance based on presence-absence matrix
Function,Soil carbon ,"Soil organic carbon content (Carvalho et al., 2025, Duarte et al., 2024)","Soil organic carbon content (Orgiazzi et al. 2018, 2022; Fernandez-Ugalde et al. 2022)","Soil organic carbon content (Maestre et al., 2015, 2022b, 2022a)"
