scale,Function,cor_value,cor_p,cor_t
global,Arbuscularmycorrhizal_richness,0.03415162215630494,1.5181281727009734e-11,9548859981273.678
global,Bac_JaccDist_av,0.03173451713045025,3.646765636718536e-10,9572756690096.078
global,Bac_richness,0.2626500324963664,0,7289810448931.898
global,Bac_shannonDiv,0.29211994774990263,0,6998456131969.368
global,Decomposer_richness,-0.02853072672726717,1.7471982788106238e-8,10168569023103.678
global,Ectomycorrhizal_richness,-0.1435603025121157,1.25075915580059e-178,11305808923352.89
global,Fungi_JaccDist_av,-0.0782962675501531,4.343068344876774e-54,10660576042125.662
global,Fungi_richness,0.02870502155507564,1.4298594258296388e-8,9602707798082.328
global,Fungi_shannonDiv,0.10393231031937782,4.139872102732297e-94,8858973208203.031
global,Invertebrate_JaccDist_av,0.15007216462683257,3.3795175690696566e-195,8402811538892.289
global,Invertebrate_richness,-0.03301617057737999,6.949634762713008e-11,10212914363698.662
global,Invertebrate_shannonDiv,0.0370745520281651,2.4082948873304443e-13,9519962435114.53
global,Nematode_richness,0.09005310364991141,4.969663589951963e-71,8996189984850.496
global,Nutrient_service,0.112240343357665,1.5662380810142624e-109,8776835839624.008
global,OM_decomposition_service,-0.05386298556076791,1.850273630088055e-26,10419016399896.424
global,Pathogen_control,-0.06106958846692901,1.5000847793461155e-33,10490264479481.342
global,Protist_JaccDist_av,-0.04784744661418397,3.254222930159291e-21,10359543774140.123
global,Protist_richness,-0.07243430193318875,1.572200010630279e-46,10602621719091.648
global,Protist_shannonDiv,0.01627381274641636,0.00130931447215211,9725608943888.334
global,Soil_carbon_service,-0.1004775043493187,4.731859923950145e-88,10879870839596.436
global,Soil_stability_service,-0.3020096329340872,0,12872318227539.793
continental,Arbuscularmycorrhizal_richness,0.01328842903624283,0.00646222357167461,12183914471353.492
continental,Bac_JaccDist_av,0.03798624591204193,6.8379110372550265e-15,11878945828744.01
continental,Bac_richness,0.04821471562153603,4.762413651478555e-23,11752644684842.775
continental,Bac_shannonDiv,-0.01868454912729965,1.2844907780871253e-4,12578716805493.104
continental,Decomposer_richness,-0.04444216295791488,8.075484525137646e-20,12896771820893.236
continental,Ectomycorrhizal_richness,-0.04184203742712569,9.606201674908524e-18,12864665470857.256
continental,Fungi_JaccDist_av,0.02417022543482369,7.270379242006522e-7,12049546049499.986
continental,Fungi_richness,0.00940046183230857,0.05404114659719072,12231923090360.455
continental,Fungi_shannonDiv,0.07416685234531342,2.5976143660283153e-52,11432187700759.238
continental,Invertebrate_JaccDist_av,-0.02351875409126381,1.4324656935940198e-6,12638409568354.297
continental,Invertebrate_richness,0.01835204583748163,1.6906297115486956e-4,12121388931127.242
continental,Invertebrate_shannonDiv,-0.07537704349893348,5.595796010782808e-54,13278755725597.19
continental,Nematode_richness,-0.03835568833889313,3.743338544455483e-15,12821616032340.162
continental,Nutrient_service,-0.00850910571052798,0.08118918924906056,12453070430254.035
continental,OM_decomposition_service,0.05645722706043237,5.254645294608986e-31,11650866153652.982
continental,Pathogen_control,0.0483195273072905,3.840732558748329e-23,11751350470147.813
continental,Protist_JaccDist_av,-0.01771908099670983,2.817699166683782e-4,12566795205023.338
continental,Protist_richness,-0.01661813643989085,6.596123031271466e-4,12553200741643.447
continental,Protist_shannonDiv,0.01752499073483273,3.2849859047334045e-4,12131601407528.96
continental,Soil_carbon_service,0.01206503806788144,0.01341291459776168,12199020903022.256
continental,Soil_stability_service,0.02602714341773876,9.56910365613326e-8,12026616826259.951
regional,Arbuscularmycorrhizal_richness,0.06885595890738289,1.6953805432819747e-23,1437220824167.4504
regional,Bac_JaccDist_av,0.08238220420317857,5.9011568523794715e-33,1416343064600.7317
regional,Bac_richness,0.13093151190020447,6.003024704473132e-81,1341407208340.295
regional,Bac_shannonDiv,0.08762024187276392,4.514915342057497e-37,1408258153476.0598
regional,Decomposer_richness,0.00930427991373459,0.17757246501380575,1529138840485.7156
regional,Ectomycorrhizal_richness,-0.03471616368194479,4.852187969096164e-7,1597084395021.5752
regional,Fungi_JaccDist_av,0.04685733099915393,1.0936966566622598e-11,1471175706266.8066
regional,Fungi_richness,-0.12114350836580227,1.7534393784590502e-69,1730485001238.6135
regional,Fungi_shannonDiv,-0.14670332429041583,2.3427965364988027e-101,1769936577028.7952
regional,Invertebrate_JaccDist_av,-8.777538864159386e-4,0.8987891687093201,1544854809620.611
regional,Invertebrate_richness,0.1343832050314925,3.2858731251940854e-85,1336079520004.233
regional,Invertebrate_shannonDiv,0.06966033201760437,5.1741441062149505e-24,1435979274274.639
regional,Nematode_richness,0.09559249875954096,7.95895672194275e-44,1395952974999.2222
regional,Nutrient_service,-0.0064319502808001,0.3513198307061465,1553427711735.9033
regional,OM_decomposition_service,-0.11495728255752996,1.0480954784483517e-62,1720936561725.197
regional,Pathogen_control,0.12637630681031334,1.6903109611916479e-75,1348438167380.5984
regional,Protist_JaccDist_av,-0.03714126255087095,7.2922496354927e-8,1600827535117.275
regional,Protist_richness,0.12538868337543707,2.4174839834209245e-74,1349962564148.8733
regional,Protist_shannonDiv,0.05097835310823468,1.448198819759995e-13,1464814908655.864
regional,Soil_carbon_service,0.0974551592520541,1.7280884349010212e-45,1393077958535.5476
regional,Soil_stability_service,0.2002668874022683,6.2662014303448024e-189,1234388056495.533
