Function,cor_value,cor_p,cor_t
Arbuscularmycorrhizal_richness,0.013288429036242838,0.006462223571674617,12183914471353.492
Bac_JaccDist_av,0.03798624591204193,6.8379110372550265e-15,11878945828744.01
Bac_richness,0.048214715621536036,4.7624136514785556e-23,11752644684842.775
Bac_shannonDiv,-0.01868454912729965,1.2844907780871253e-4,12578716805493.104
Decomposer_richness,-0.04444216295791488,8.075484525137645e-20,12896771820893.236
Ectomycorrhizal_richness,-0.04184203742712569,9.606201674908524e-18,12864665470857.256
Fungi_JaccDist_av,0.024170225434823694,7.270379242006522e-7,12049546049499.986
Fungi_richness,0.009400461832308575,0.054041146597190726,12231923090360.455
Fungi_shannonDiv,0.07416685234531342,2.5976143660283156e-52,11432187700759.238
Invertebrate_JaccDist_av,-0.023518754091263812,1.4324656935940198e-6,12638409568354.295
Invertebrate_richness,0.01835204583748163,1.6906297115486956e-4,12121388931127.242
Invertebrate_shannonDiv,-0.07537704349893348,5.595796010782808e-54,13278755725597.19
Nematode_richness,-0.038355688338893135,3.743338544455483e-15,12821616032340.162
Nutrient_service,-0.008509105710527981,0.08118918924906056,12453070430254.037
OM_decomposition_service,0.05645722706043237,5.254645294608986e-31,11650866153652.982
Pathogen_control,0.0483195273072905,3.840732558748329e-23,11751350470147.813
Protist_JaccDist_av,-0.017719080996709838,2.817699166683782e-4,12566795205023.338
Protist_richness,-0.016618136439890855,6.596123031271466e-4,12553200741643.447
Protist_shannonDiv,0.01752499073483273,3.2849859047334045e-4,12131601407528.96
Soil_carbon_service,0.012065038067881445,0.013412914597761689,12199020903022.256
Soil_stability_service,0.026027143417738766,9.56910365613326e-8,12026616826259.951
