Function,cor_value,cor_p,cor_t
Arbuscularmycorrhizal_richness,0.03415162215630494,1.5181281727009734e-11,9548859981273.678
Bac_JaccDist_av,0.03173451713045025,3.6467656367185356e-10,9572756690096.078
Bac_richness,0.2626500324963664,0,7289810448931.898
Bac_shannonDiv,0.29211994774990263,0,6998456131969.368
Decomposer_richness,-0.028530726727267176,1.7471982788106238e-8,10168569023103.678
Ectomycorrhizal_richness,-0.1435603025121157,1.25075915580059e-178,11305808923352.89
Fungi_JaccDist_av,-0.0782962675501531,4.3430683448767747e-54,10660576042125.662
Fungi_richness,0.02870502155507564,1.4298594258296388e-8,9602707798082.328
Fungi_shannonDiv,0.10393231031937782,4.139872102732298e-94,8858973208203.031
Invertebrate_JaccDist_av,0.15007216462683257,3.379517569069657e-195,8402811538892.289
Invertebrate_richness,-0.033016170577379995,6.949634762713009e-11,10212914363698.662
Invertebrate_shannonDiv,0.0370745520281651,2.408294887330444e-13,9519962435114.53
Nematode_richness,0.09005310364991141,4.969663589951963e-71,8996189984850.496
Nutrient_service,0.112240343357665,1.5662380810142624e-109,8776835839624.008
OM_decomposition_service,-0.05386298556076791,1.850273630088055e-26,10419016399896.424
Pathogen_control,-0.06106958846692901,1.5000847793461157e-33,10490264479481.342
Protist_JaccDist_av,-0.047847446614183976,3.254222930159291e-21,10359543774140.123
Protist_richness,-0.07243430193318875,1.5722000106302793e-46,10602621719091.648
Protist_shannonDiv,0.016273812746416365,0.0013093144721521126,9725608943888.334
Soil_carbon_service,-0.1004775043493187,4.731859923950146e-88,10879870839596.436
Soil_stability_service,-0.3020096329340872,0,12872318227539.791
