Function,cor_value,cor_p,cor_t
Arbuscularmycorrhizal_richness,0.06885595890738289,1.6953805432819747e-23,1437220824167.4504
Bac_JaccDist_av,0.08238220420317857,5.901156852379472e-33,1416343064600.7317
Bac_richness,0.13093151190020447,6.003024704473132e-81,1341407208340.2947
Bac_shannonDiv,0.08762024187276392,4.514915342057497e-37,1408258153476.0598
Decomposer_richness,0.009304279913734592,0.17757246501380577,1529138840485.7156
Ectomycorrhizal_richness,-0.03471616368194479,4.852187969096164e-7,1597084395021.5752
Fungi_JaccDist_av,0.046857330999153936,1.0936966566622598e-11,1471175706266.8066
Fungi_richness,-0.12114350836580229,1.7534393784590502e-69,1730485001238.6135
Fungi_shannonDiv,-0.14670332429041583,2.3427965364988027e-101,1769936577028.7952
Invertebrate_JaccDist_av,-8.777538864159386e-4,0.8987891687093201,1544854809620.611
Invertebrate_richness,0.1343832050314925,3.2858731251940854e-85,1336079520004.2327
Invertebrate_shannonDiv,0.06966033201760437,5.174144106214951e-24,1435979274274.639
Nematode_richness,0.09559249875954097,7.958956721942751e-44,1395952974999.2222
Nutrient_service,-0.006431950280800104,0.3513198307061465,1553427711735.9033
OM_decomposition_service,-0.11495728255752996,1.0480954784483515e-62,1720936561725.197
Pathogen_control,0.12637630681031334,1.6903109611916479e-75,1348438167380.5984
Protist_JaccDist_av,-0.037141262550870954,7.2922496354927e-8,1600827535117.2747
Protist_richness,0.12538868337543707,2.417483983420925e-74,1349962564148.8733
Protist_shannonDiv,0.05097835310823468,1.448198819759995e-13,1464814908655.864
Soil_carbon_service,0.0974551592520541,1.728088434901021e-45,1393077958535.5476
Soil_stability_service,0.20026688740226833,6.2662014303448024e-189,1234388056495.533
