SampleID,PA_ID,LC,mahal_dist
1,22,Cropland,26.297659560185014
1,60,Cropland,21.236653363084262
1,62,Cropland,21.27127790572643
1,157,Cropland,22.773535619528456
1,204,Cropland,22.07376114454073
1,205,Cropland,18.203234467160755
1,206,Cropland,22.997668622200592
1,209,Cropland,25.419275613626205
1,227,Cropland,21.859389048341825
1,348,Cropland,21.927619706500813
1,353,Cropland,19.107445813571722
1,354,Cropland,29.76257322638809
1,358,Cropland,20.562137526006467
1,433,Cropland,13.150657032469677
6,22,Cropland,15.935596998295779
6,60,Cropland,23.48825775878318
6,62,Cropland,22.573577188746913
6,157,Cropland,27.300772009166675
6,204,Cropland,16.959103298218245
6,205,Cropland,14.857813225735077
6,206,Cropland,17.041145231553823
6,209,Cropland,21.51809544154284
6,227,Cropland,25.61549194087346
6,348,Cropland,17.908035162267943
6,353,Cropland,20.925252297389825
6,354,Cropland,18.557791608126223
6,358,Cropland,12.387113498982469
6,433,Cropland,9.015713754438474
7,22,Cropland,22.69378239457382
7,60,Cropland,27.06396306981851
7,62,Cropland,26.57866387041769
7,157,Cropland,30.04031297835945
7,204,Cropland,26.606654338239107
7,205,Cropland,23.662634652371988
7,206,Cropland,25.32572455207086
7,209,Cropland,30.177270863030632
7,227,Cropland,23.608222396298352
7,348,Cropland,23.32601737314844
7,353,Cropland,22.27848412512332
7,354,Cropland,30.318025832473197
7,358,Cropland,16.870977086161943
7,433,Cropland,15.52217835647857
9,22,Cropland,10.50675130187679
9,60,Cropland,20.648085499935952
9,62,Cropland,22.683745067927248
9,157,Cropland,24.291494923591873
9,204,Cropland,12.995130803700189
9,205,Cropland,12.303602393057815
9,206,Cropland,12.564147914614564
9,209,Cropland,15.953390498741397
9,227,Cropland,24.471183617399117
9,348,Cropland,15.778646017265476
9,353,Cropland,18.698919895814857
9,354,Cropland,11.011821273064095
9,358,Cropland,10.693472982940467
9,433,Cropland,9.08410087700552
14,22,Cropland,21.934989446840245
14,60,Cropland,15.680577681526009
14,62,Cropland,20.760706690124604
14,157,Cropland,18.020508793385154
14,204,Cropland,19.509331687360323
14,205,Cropland,16.640600360964594
14,206,Cropland,18.588905219656112
14,209,Cropland,20.323736612399586
14,227,Cropland,18.093081478013833
14,348,Cropland,22.11945321981399
14,353,Cropland,17.762999421448978
14,354,Cropland,26.140329035083163
14,358,Cropland,19.53031559435204
14,433,Cropland,11.25921618708945
16,22,Cropland,25.04337076901921
16,60,Cropland,24.295182341222475
16,62,Cropland,34.32753263123473
16,157,Cropland,27.35244714595779
16,204,Cropland,27.785296716700294
16,205,Cropland,25.835981907654592
16,206,Cropland,24.536981433972347
16,209,Cropland,26.711332148706212
16,227,Cropland,26.82740594739999
16,348,Cropland,32.695200711954165
16,353,Cropland,27.76323459962325
16,354,Cropland,29.431561517148097
16,358,Cropland,22.12148146382439
16,433,Cropland,12.946681586081464
27,22,Cropland,3.1883752156746867
27,60,Cropland,15.857027873148244
27,62,Cropland,22.407096722808625
27,157,Cropland,17.8473189390004
27,204,Cropland,10.294573238141691
27,205,Cropland,12.133364402745519
27,206,Cropland,9.459045526078002
27,209,Cropland,12.167244999998223
27,227,Cropland,24.949505717501406
27,348,Cropland,13.90300645260799
27,353,Cropland,18.62196226281883
27,354,Cropland,4.944926181417405
27,358,Cropland,12.16963347298509
27,433,Cropland,14.40015632907467
39,22,Cropland,7.648182285508387
39,60,Cropland,9.259088072500143
39,62,Cropland,12.9741099901524
39,157,Cropland,15.47815515482896
39,204,Cropland,2.867025930107797
39,205,Cropland,3.488412999914482
39,206,Cropland,1.8413251594125613
39,209,Cropland,2.847434043509379
39,227,Cropland,23.015945937447565
39,348,Cropland,14.25787482314993
39,353,Cropland,15.078248713866769
39,354,Cropland,11.63189040558423
39,358,Cropland,16.001882017042917
39,433,Cropland,12.804769080892857
40,22,Cropland,7.438902559555637
40,60,Cropland,16.253772841685414
40,62,Cropland,16.776980725861417
40,157,Cropland,23.12905942153256
40,204,Cropland,4.680679974850959
40,205,Cropland,5.952035856484315
40,206,Cropland,4.441918113848021
40,209,Cropland,7.135214281250707
40,227,Cropland,31.27784528687927
40,348,Cropland,15.349876658759907
40,353,Cropland,20.954383090550827
40,354,Cropland,9.971218332398404
40,358,Cropland,16.70908072226476
40,433,Cropland,14.47399367949634
46,22,Cropland,28.469875489308947
46,60,Cropland,17.658236989524678
46,62,Cropland,29.92421670015667
46,157,Cropland,15.073926147723824
46,204,Cropland,29.071805844166946
46,205,Cropland,26.821191194435553
46,206,Cropland,27.138738557496907
46,209,Cropland,25.316017037555504
46,227,Cropland,16.970677567083147
46,348,Cropland,29.953349389400607
46,353,Cropland,16.25902188560393
46,354,Cropland,31.18627293094647
46,358,Cropland,27.797153104264563
46,433,Cropland,18.922517439577465
47,22,Cropland,43.833039274664976
47,60,Cropland,35.96794999934567
47,62,Cropland,46.945685999419126
47,157,Cropland,35.07050386276819
47,204,Cropland,49.564398924910336
47,205,Cropland,47.49962992049708
