"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Dryland",-0.666526751316724,-0.222010381972865,0.22395145997983,"Soil_carbon_service",1,"Soil carbon","Soil carbon","Function","Function"
"Dryland",-0.66755475729113,-0.223028681859515,0.222947378059699,"OM_decomposition_service",1,"Decomposition (OM)","Decomposition (OM)","Function","Function"
"Dryland",-0.00184701868117524,0.449120585380746,0.897212914660489,"Soil_stability_service",1,"Soil stability","Soil stability","Function","Function"
"Dryland",-0.936977199886105,-0.487983091366177,-0.0358749091007169,"Nutrient_service",1,"Nutrient cycling","Nutrient cycling","Function","Function"
"Dryland",-0.900376598977407,-0.452215549669804,-0.00115956289981284,"Pathogen_control",1,"Pathogen control","Pathogen control","Function","Function"
"Dryland",-1.06671986480531,-0.61422545836194,-0.157873564501038,"Bac_richness",1,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Dryland",-0.931656765660143,-0.482788091108459,-0.030836581171534,"Fungi_richness",1,"Fungal Richness","Fungal R","Richness","Fungi"
"Dryland",-0.634570797999806,-0.190318814990907,0.255173097512939,"Invertebrate_richness",1,"Invertebrate Richness","Invertebrate R","Richness","Invertebrates"
"Dryland",-0.894943543457952,-0.446900187596232,0.00400425211177813,"Protist_richness",1,"Protist Richness","Protist R","Richness","Protists"
"Dryland",-1.03795681155509,-0.586308324838773,-0.130968072965561,"Nematode_richness",1,"Nematode Richness","Nematode R","Richness","Nematodes"
"Dryland",-1.0189013336434,-0.567794982170557,-0.113105177574874,"Bac_shannonDiv",1,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Dryland",-0.593426631414491,-0.149436591581042,0.295530470726316,"Fungi_shannonDiv",1,"Fungal Shannon","Fungal S","Shannon","Fungi"
"Dryland",-0.960484551580343,-0.510918804290263,-0.0581005918923825,"Invertebrate_shannonDiv",1,"Invertebrate Shannon","Invertebrate S","Shannon","Invertebrates"
"Dryland",-0.404832092067926,0.0391848683146238,0.482937838293572,"Protist_shannonDiv",1,"Protist Shannon","Protist S","Shannon","Protists"
"Dryland",-1.2760685459622,-0.816184357069831,-0.351348486045214,"Ectomycorrhizal_richness",1,"EM fungi Richness","EM fungi R","Richness","Fungi"
"Dryland",-0.777254527757882,-0.331378780685735,0.116645582027691,"Arbuscularmycorrhizal_richness",1,"AM fungi Richness","AM fungi R","Richness","Fungi"
"Dryland",-0.893182194108832,-0.445176663587725,0.0056788880967851,"Decomposer_richness",1,"Decomposer Richness","Decomposer R","Richness","Decomposers"
"Dryland",-0.0395005562428487,0.41041397664612,0.857692076465546,"Bac_JaccDist_av",1,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
