"","lc","fns","Label","Group_function","Organism","lower_mean","lower_SD","effect_mean","effect_SD","upper_mean","upper_SD"
"1","Grassland","Arbuscular_mycorrhizal_18s_richness","AM fungi richness","Richness","Fungi",-0.662361790627457,0.257014888997582,0.0571762181286296,0.261305859715554,0.775731882348538,0.261170453156558
"2","Grassland","Decomposers_18s_richness","Decomposer richness","Richness","Decomposers",-1.44951781420417,0.276286239762085,-0.713002869840363,0.260868740212844,0.0351478030052172,0.241775692617877
"3","Grassland","Diss_Bacteria_std","Bacterial dissimilarity","Dissimilarity","Bacteria",-0.552918937047205,0.200853297596227,0.167545006597959,0.206187875639624,0.885091609915411,0.20801341822001
"4","Grassland","Diss_Fungi_std","Fungal dissimilarity","Dissimilarity","Fungi",-0.381110462283239,0.245380124628163,0.346212692254109,0.256116170027966,1.06762158467984,0.262676989227391
"5","Grassland","Diss_invert_std","Invertebrate dissimilarity","Dissimilarity","Invertebrates",-1.00604235831265,0.278029185955797,-0.285523525382981,0.271995024851888,0.439873500584893,0.261530857788022
"6","Grassland","Diss_Protists_std","Protist dissimilarity","Dissimilarity","Protists",-0.403966447377715,0.227414955266878,0.321969150348246,0.236159225553016,1.04236776980274,0.240982798623321
"7","Grassland","Ectomycorrhizal_18s_richness","EM fungi richness","Richness","Fungi",-0.844703318436651,0.256199056715274,-0.126306562586895,0.2549918153512,0.594273150967772,0.249484448199596
"8","Grassland","Fungi_18s_richness","Fungal richness","Richness","Fungi",-1.16621091220229,0.271916207407681,-0.441943568324664,0.262307464479638,0.289794425070473,0.248598661785003
"9","Grassland","Invertebrate_18s_richness","Invertebrate richness","Richness","Invertebrates",-0.336158562589173,0.233869089547019,0.392909944255905,0.2451201219516,1.11527941399619,0.252424905058925
"10","Grassland","Nutrient_service","Nutrients","Service","Service",-1.40355935032316,0.205549791621728,-0.670719584153622,0.195798702547402,0.0732533473651667,0.183126073626187
"11","Grassland","OM_decomposition_service","Decomposition (OM)","Service","Service",-0.925113079139847,0.270795101809801,-0.205795306190982,0.270060945184563,0.517090042277198,0.264823566272093
"12","Grassland","Pathogen_control","Pathogen control","Service","Service",-0.74348121208449,0.25385617671322,-0.0248547863693442,0.258909526631605,0.69424297404723,0.259576727579445
"13","Grassland","Protist_18s_richness","Protist richness","Richness","Protists",-1.15105332816107,0.289640056417044,-0.426816762929463,0.280253213666111,0.304625434784482,0.26646853645678
"14","Grassland","Richness_bacteria","Bacterial richness","Richness","Bacteria",-0.745418467530394,0.26894065811652,-0.0264918564638144,0.270255854968287,0.692889004690248,0.266961341207979
"15","Grassland","Soil_carbon_service","Soil carbon","Service","Service",-0.865721381570717,0.245130315876012,-0.147465347179422,0.2453213494651,0.573363329042009,0.241326310029646
"16","Grassland","Soil_stability_service","Soil stability","Service","Service",-0.710098008964796,0.236753478994461,0.00835990696584286,0.239562202616553,0.726678575448495,0.238270761420075
"17","Grassland","Water_regulation_service","Water regulation","Service","Service",-0.583176932283496,0.266067932153849,0.138081760920131,0.272864823742299,0.856971010319944,0.275062840403874
"18","Shrubland","Arbuscular_mycorrhizal_18s_richness","AM fungi richness","Richness","Fungi",0.336804063361938,0.271977996923449,1.12171335103154,0.305666754206541,1.88986477250231,0.3363377245127
"19","Shrubland","Decomposers_18s_richness","Decomposer richness","Richness","Decomposers",-0.0310937332406714,0.207736458125425,0.716590924282268,0.224855249293072,1.45252516453039,0.23884485971562
"20","Shrubland","Diss_Bacteria_std","Bacterial dissimilarity","Dissimilarity","Bacteria",-1.21163651070678,0.259307553416721,-0.486201097970759,0.247463023637941,0.247424983449969,0.231950575439637
"21","Shrubland","Diss_Fungi_std","Fungal dissimilarity","Dissimilarity","Fungi",-1.61935360886539,0.255618708844582,-0.873020509171801,0.237430304830854,-0.112793821015072,0.216264503925165
"22","Shrubland","Diss_invert_std","Invertebrate dissimilarity","Dissimilarity","Invertebrates",-1.87750687965125,0.299958735721845,-1.11104034545304,0.273219282840376,-0.327853457915632,0.243692144912971
"23","Shrubland","Diss_Protists_std","Protist dissimilarity","Dissimilarity","Protists",-1.02178971335652,0.232972700821028,-0.301995676524155,0.227713676120608,0.422997702248555,0.218706458617995
"24","Shrubland","Ectomycorrhizal_18s_richness","EM fungi richness","Richness","Fungi",-0.49401361629202,0.210417231528566,0.228321423651517,0.217709174919387,0.946702706922677,0.221364483757794
"25","Shrubland","Fungi_18s_richness","Fungal richness","Richness","Fungi",0.565304998842092,0.242400821948743,1.37835809665234,0.277246870741664,2.17202360855116,0.309893069847228
