"","lc","fns","Label","Group_function","Organism","p_value_mean","p_value_SD","ci_lower_mean","ci_lower_SD","ci_upper_mean","ci_upper_SD","t_stats_mean","t_stats_SD"
"1","Grassland","Arbuscular_mycorrhizal_18s_richness","AM fungi richness","Richness","Fungi",0.191185499819028,0.187039755576021,-0.453185276518341,0.561236802176031,3.26748527651834,0.578168741057537,1.54179761681623,0.613727958927905
"2","Grassland","Decomposers_18s_richness","Decomposer richness","Richness","Decomposers",0.385161320939837,0.263305508769901,-11.5542905021842,2.28643635178304,3.96109050218424,2.52306346775816,-1.00860485581229,0.644427054913854
"3","Grassland","Diss_Bacteria_std","Bacterial dissimilarity","Dissimilarity","Bacteria",0.677042596827165,0.212073295443228,-0.0964938834754006,0.0282127946994747,0.124945103475401,0.029713708617918,0.260156672944388,0.489861422325939
"4","Grassland","Diss_Fungi_std","Fungal dissimilarity","Dissimilarity","Fungi",0.275296974275417,0.220119751954159,-0.0372796118385118,0.0294384668061041,0.159301751838512,0.029113746183067,1.26505168145221,0.60809137247419
"5","Grassland","Diss_invert_std","Invertebrate dissimilarity","Dissimilarity","Invertebrates",0.179970323175901,0.17969583680643,-0.18090082943563,0.033810769343088,0.0218218894356299,0.0300605951818626,-1.5913539549901,0.612198579739747
"6","Grassland","Diss_Protists_std","Protist dissimilarity","Dissimilarity","Protists",0.651892703083617,0.232029849368355,-0.0826338532513983,0.0238486483615789,0.0634690932513983,0.0199143387449805,-0.253770974166377,0.568506625271461
"7","Grassland","Ectomycorrhizal_18s_richness","EM fungi richness","Richness","Fungi",0.641865238759454,0.23532558662978,-1.95402929832271,0.624775577822193,1.63172929832271,0.474029601085855,-0.155534132056962,0.620862698769115
"8","Grassland","Fungi_18s_richness","Fungal richness","Richness","Fungi",0.50632109879653,0.276506324834909,-50.12793166244,10.6090729040136,24.95933166244,12.3175847384428,-0.699860099073961,0.629764321767771
"9","Grassland","Invertebrate_18s_richness","Invertebrate richness","Richness","Invertebrates",0.203915856155367,0.195793797571131,-3.34251848705024,3.9688732758331,22.5408184870502,3.95943233994431,1.51056794895062,0.623133607166207
"10","Grassland","Nutrient_service","Nutrients","Service","Service",0.53710299478189,0.2789385824207,-0.0622190350606731,0.0151996829704102,0.0339139512048731,0.0163328483862714,-0.627355377064651,0.659469068335913
"11","Grassland","OM_decomposition_service","Decomposition (OM)","Service","Service",0.649037493124719,0.231878342479806,-0.0878637325353349,0.0316525338973011,0.0781965893512349,0.0193957702575892,-0.0690666091209641,0.632193545299332
"12","Grassland","Pathogen_control","Pathogen control","Service","Service",0.627020527763883,0.227677675958433,-0.10737355099753,0.0465599872540945,0.0870503575525301,0.0247807477813145,-0.102284972368248,0.65498035552996
"13","Grassland","Protist_18s_richness","Protist richness","Richness","Protists",0.642143322524545,0.23714963293692,-60.3824233818261,18.3770076860158,59.1440233818261,20.0672578004402,-0.0307846530660467,0.646590573348943
"14","Grassland","Richness_bacteria","Bacterial richness","Richness","Bacteria",0.590460110320986,0.245331892469351,-246.380335599348,82.4206377704775,385.955435599348,126.331916530568,0.412746782446721,0.598251838381179
"15","Grassland","Soil_carbon_service","Soil carbon","Service","Service",0.612528060953983,0.231712563997134,-0.0531627712296086,0.0278973715258867,0.0494122646219086,0.00958001184802944,0.059358582081791,0.683468381546768
"16","Grassland","Soil_stability_service","Soil stability","Service","Service",0.36816906015503,0.254838230841625,-0.0906345054538447,0.0571327415503324,0.278250775808845,0.0522476393991579,1.04262060952049,0.619816536633688
"17","Grassland","Water_regulation_service","Water regulation","Service","Service",0.486255843509116,0.29338217842801,-0.0612827481344924,0.0379181569423977,0.123096289001592,0.0249279600900746,0.743687628220318,0.710857725145941
"18","Shrubland","Arbuscular_mycorrhizal_18s_richness","AM fungi richness","Richness","Fungi",0.00913262375891981,0.0180338015711065,1.80042835147171,1.04168517667658,7.54807164852829,0.917507792511283,3.34980115883148,0.829592702227815
