"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"1","Cropland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.627162771073483,0.304280737432637,0.655251222861085,0.0814295169539291,0.346418804909042,0.904485937182398,1.16991622971618
"2","Cropland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.253932583440324,0.333353789593635,-0.23043973817906,-0.803313066814278,-0.564426354256525,0.0384030989638542,0.344728183000072
"3","Cropland","Bac_richness","Bacterial Richness","Richness","Bacteria",0.492337806193638,0.376070892608547,0.485332685244738,-0.0851020252286735,0.134120228313756,0.832932462817103,1.27565114393596
"4","Cropland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",0.41900159850704,0.342109953487607,0.422261660153716,-0.138276770303823,0.0982150418985876,0.715854444548272,1.09962948867828
"5","Cropland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.19439589846098,0.357506596886158,0.199521502945558,-0.401058429569664,-0.151132086571141,0.51816603760984,0.918648875272715
"6","Cropland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",0.459349701548783,0.397887817196914,0.44952727277092,-0.173200427208371,0.0854192291840742,0.819003928984382,1.30021522355021
"7","Cropland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-0.302730676859375,0.360762299542613,-0.305168390268925,-0.89374989430122,-0.641445022615417,0.0375325076944656,0.361365811720643
"8","Cropland","Fungi_richness","Fungal Richness","Richness","Fungi",0.126893608123945,0.361891578744137,0.138549398372305,-0.471132019243091,-0.218959385905368,0.458764250112319,0.861122412139644
"9","Cropland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",0.435288647559751,0.407728430015257,0.441524272526198,-0.244630986019233,0.0714518694525998,0.809865155004581,1.21204209961508
"10","Cropland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",-0.302362866870397,0.373743067872312,-0.300785219164664,-0.917794378439229,-0.645590876951863,0.0614358531125053,0.400002588917632
"11","Cropland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",0.0372076336598525,0.361880965236612,0.0565942241460548,-0.578298831635836,-0.300836101260272,0.375574203431163,0.662502095289378
"12","Cropland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",0.1741402975413,0.421275169857615,0.191484566311797,-0.54390605049883,-0.231679422680165,0.567534403471696,0.958007186263576
"13","Cropland","Nematode_richness","Nematode Richness","Richness","Nematodes",0.0325248413342208,0.374335985185523,0.0381129601935078,-0.594413492547687,-0.306430058291508,0.389949064957717,0.743516710456123
"14","Cropland","Nutrient_service","Nutrient cycling","Function","Function",-0.120641362533182,0.366145186648722,-0.088647734135226,-0.810845875615448,-0.434339855335895,0.211269533207798,0.47140138473232
"15","Cropland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.473682035695927,0.370703869519588,-0.470788975314491,-1.09523457169086,-0.822553551431097,-0.135296546870954,0.263164090783664
"16","Cropland","Pathogen_control","Pathogen control","Function","Function",0.422117313086676,0.414644775462469,0.409370061485222,-0.238646403163678,0.0312788103159627,0.801198007904006,1.29571690773602
"17","Cropland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",-0.220077850730555,0.376205115576384,-0.225720804451124,-0.850427181926679,-0.570160074862595,0.123293174486061,0.531659725858292
"18","Cropland","Protist_richness","Protist Richness","Richness","Protists",-0.0467811583298939,0.383002733531557,-0.0558285854141453,-0.659081714308296,-0.409119032880329,0.304928075502385,0.700705035457377
"19","Cropland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",0.11467617997478,0.375813791760959,0.108993205470948,-0.48749413307649,-0.230668207618359,0.460555997622939,0.895405335173669
"20","Cropland","Soil_carbon_service","Soil carbon","Function","Function",-0.43485602880352,0.338094822526835,-0.472404701276597,-0.940854843711924,-0.739256674842397,-0.108287828294516,0.309446386512351
