LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Cropland,1.5027541309109438e-6,-6.660805555185334e-4,7.127344347708231e-4,Protist_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-3.267343662116673e-5,-4.969892992789937e-4,4.0291879078324655e-4,Invertebrate_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-3.5321242336294745e-5,-5.490617309362733e-4,4.8242915251250906e-4,Invertebrate_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-5.014312208828642e-5,-0.0034413443896426,0.00327094919749981,Bac_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Dryland,6.893790475714923e-5,-0.03032650359159561,0.0304585142997098,Invertebrate_shannonDiv,global,Shannon,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Woodland,-1.3332884086025842e-4,-0.00166195692575854,0.0013994849264094,Fungi_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,1.60271270779333e-4,-0.0046800156105462,0.00517581163087754,Pathogen_control,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,1.726459869146879e-4,-0.00134922700971173,0.00169836477058993,Pathogen_control,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Dryland,2.0550706279465203e-4,-5.560828181785382e-4,9.771166661494135e-4,Bac_JaccDist_av,global,Dissimilarity,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Dryland,-2.71818402168833e-4,-0.00108926621524574,5.190482906130001e-4,Invertebrate_JaccDist_av,global,Dissimilarity,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Woodland,-3.252430561317965e-4,-0.00463804334640372,0.00405342729173696,Pathogen_control,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-3.5463412434921793e-4,-9.125942702894464e-4,2.0779371287460435e-4,Protist_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-3.766382589844852e-4,-0.04233905752192868,0.04285605083674682,Fungi_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-3.901249815640994e-4,-0.00310194809777897,0.00243799315433079,Invertebrate_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,3.9630673717994114e-4,-2.3003047040504043e-4,0.00102431211402631,Protist_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,3.998957875239739e-4,-0.00122639328593265,0.00208118535594792,Bac_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,4.0465264464728534e-4,-0.00147157658814478,0.00219042963826154,Protist_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-4.216221155033395e-4,-9.699822427506888e-4,1.482642437196091e-4,Invertebrate_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Dryland,-4.2573871811413255e-4,-8.639162218315732e-4,1.095927871119784e-6,Pathogen_control,global,Function,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Cropland,-4.3330430210630766e-4,-0.00374572994927291,0.00271970077415062,Protist_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Dryland,4.4824626753836583e-4,-3.333657063535611e-4,0.00123850743750608,Fungi_JaccDist_av,global,Dissimilarity,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Dryland,4.5954201596742905e-4,-1.6375937140367114e-4,0.00107211089736836,Protist_JaccDist_av,global,Dissimilarity,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Cropland,4.932419545724542e-4,-0.00129650573714457,0.00224629190053349,Bac_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,5.357529716860654e-4,-3.615907713623301e-4,0.00146110870842619,Fungi_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
