Order_ID,Latitude_c,Longitude_c,Eco_c,Soil_pH,Soil_salinity,Clay_silt_c,Soil_carbon_service,OM_decomposition_service,Water_regulation_service,Soil_stability_service,Nutrient_service,Pathogen_control,Richness_bacteria,Fungi_18s_richness,Invertebrate_18s_richness,Protist_18s_richness,Ectomycorrhizal_18s_richness,Arbuscular_mycorrhizal_18s_richness,Decomposers_18s_richness,Diss_Bacteria_std,Diss_Fungi_std,Diss_Protists_std,Diss_invert_std,Elevation,AnnualTemp,AnnualPrec,id.x,PA_type,PA,LC
6,42.27527778,127.4425,Forest,4.47,444,75.52,0.327764356,0.206640334,0.564750955,0.737637638,0.244527934,0.987179487,3153,195,22,280,12,1,42,0.7104,0.6038,0.4688,0.6768,649,0.48500000000000226,826.9000000000001,1,NA,0,Woodland
9,42.84055556,129.4636111,Grassland,6.15,384,67.26,0.218415621,0.159708595,0.432170812,0.317717718,0.230971031,0.997668998,4186,229,52,565,12,2,42,0.3572,0.5718,0.246,0.2014,371,0.5550000000000012,568.5,2,NA,0,Grassland
12,43.33888889,128.2375,Forest,4.81,99,69.94,0.1290905,0.077315048,0.453945004,0.478378378,0.17930737,0.995337995,3317,163,22,187,16,1,38,0.583,0.6771,0.5554,0.6616,512,0.4550000000000011,623.6,3,NA,0,Woodland
15,43.87777778,126.6066667,Grassland,5.83,385,83.56,0.260597075,0.457679995,0.611816791,0.294494494,0.257515371,0.993006993,4053,260,25,535,14,2,64,0.3953,0.5092,0.2292,0.4535,237,0.5550000000000012,653.3000000000001,4,NA,0,Grassland
41,-18.4578,-69.79670556,Grassland,5.44,77,47.56,0.008673436,0.105648803,0.546498891,0.075753531,0.094197371,0.961538462,2585,154,4,161,2,1,25,0.545,0.4687,0.6487,0.971,2446,1.3950000000000045,254.60000000000002,5,III,1,Grassland
44,-28.383275,-70.69310278,Grassland,5.77,163,16.46,0.046951848,0.176241831,1,0.082604827,0.094515012,0.979020979,3472,210,32,365,4,6,40,0.3593,0.388,0.304,0.4318,0,1.6850000000000023,63.400000000000006,6,NA,0,Grassland
47,-32.89728333,-71.16475556,Shrubland,5.26,453,38.1,0.083133103,0.161368907,0.971757874,0.619508397,0.531762753,0.918414918,3981,242,36,444,4,1,36,0.1435,0.2413,0.126,0.3789,586,1.4350000000000023,693,7,Not Applicable,0,Shrubland
56,-28.50475,-70.76084444,Shrubland,5.89,196,19.14,0.036807646,0.190811333,0.341002321,0.040929819,0.102263305,0.967365967,3892,227,31,405,4,0,45,0.2714,0.2456,0.218,0.3654,0,1.6850000000000023,63,8,NA,0,Shrubland
59,-32.87365278,-71.183325,Grassland,6.48,252,70.28,0.078184131,0.381551447,0.447610776,0.854220888,0.392330739,0.932400932,4472,334,54,438,9,5,74,0.1081,0.1662,0.1277,0.3852,259,1.5150000000000035,662.1,9,Not Applicable,0,Grassland
65,-19.2688889,-43.585,Grassland,5.09,47,21.92,0.019381118,0.10695173,0.437925027,0.894894895,0.017089367,0.994172494,3417,239,83,556,8,5,53,0.8109,0.568,0.4197,0.5532,1052,1.9750000000000056,1676.3000000000002,10,V,1,Grassland
68,-19.2652778,-43.58361111,Grassland,5.05,52,28.36,0.022043607,0.157604189,0.337126971,0.834834835,0.02562362,0.98018648,3698,348,42,361,8,5,54,0.6771,0.6011,0.5181,0.489,1020,1.9950000000000045,1689.5,11,V,1,Grassland
71,-19.2944444,-43.60583333,Shrubland,4.36,60,24.68,0.053698763,0.196308697,0.392641164,0.92992993,0.039452768,0.983682984,3149,322,46,249,2,8,65,0.8133,0.4911,0.6068,0.4724,1058,1.9750000000000056,1641.7,12,V,1,Shrubland
83,40.242019,-105.2118,Forest,6.32,90,22.16,0.072374582,0.216931568,0.206361468,0.309309309,0.169543357,0.917249417,4745,267,71,643,4,4,54,0.1425,0.2871,0.1126,0.2043,1745,0.8050000000000012,486.70000000000005,13,NA,0,Woodland
86,39.190366,-109.115161,Shrubland,8.74,917,25.04,0.047632365,0.222148482,0.38122655,0.499499499,0.551936355,0.916083916,2965,209,26,353,5,1,38,0.2435,0.252,0.1726,0.5824,1459,1.2750000000000057,223.5,14,NA,0,Shrubland
89,41.315937,-104.82723,Grassland,7.25,74,27.46,0.044123864,0.207406038,0.356993061,0.817817818,0.144192083,0.862470862,3958,266,48,410,3,2,53,0.0974,0.2501,0.155,0.4588,1880,0.7850000000000023,409.90000000000003,15,NA,0,Grassland
101,39.8291,-104.812,Forest,7.98,302,31.54,0.185079121,0.72904601,0.269972337,0.74974975,0.510502318,0.948717949,3744,253,66,391,7,4,49,0.3954,0.4018,0.2435,0.2356,1605,1.0150000000000035,387.8,16,IV,1,Woodland
104,42.44511,-83.44231,Forest,7.98,140,57.58,0.077379161,0.260358964,0.242268345,0.998898899,0.139486414,0.990675991,3817,220,55,468,7,1,36,0.4406,0.6035,0.2816,0.3807,268,0.9350000000000023,868.7,17,NA,0,Woodland
109,51.76,-1.29845,Forest,7.19,194,54.02,0.210545986,0.393403694,0.356047343,0.84984985,0.272329456,0.968531469,3140,159,41,197,8,4,45,0.4893,0.5956,0.6693,0.6214,63,1.0250000000000057,701.6,18,IV,1,Woodland
116,67.301801,14.390105,Shrubland,4.85,110,15.44,0.215536443,0.253134044,0.264726332,0.356022689,0.229007901,0.975524476,1476,152,19,61,3,3,37,0.9644,0.8481,0.9839,0.4778,60,0.4650000000000034,1519.5,19,NA,0,Shrubland
125,59.85207,17.597665,Forest,5.21,112,63.28,0.286509675,0.318859995,0.552738036,0.65632299,0.225280184,0.98951049,2963,215,36,208,11,1,48,0.6326,0.5751,0.5955,0.5688,30,0.6050000000000011,635.7,20,NA,0,Woodland
131,46.50694444,0.371666667,Forest,5.21,66,54.52,0.078909662,0.133394966,0.48253389,0.862362362,0.123968815,1,2703,204,34,206,16,1,43,0.6187,0.5983,0.6343,0.4129,137,1.1950000000000045,776.7,21,NA,0,Woodland
143,47.33555556,0.751388889,Forest,4.57,74,62.82,0.196890634,0.092063717,0.196574671,0.474474474,0.22174718400000001,0.993006993,2714,168,33,269,8,1,41,0.6375,0.6974,0.4315,0.4456,97,1.1850000000000023,716.8000000000001,22,NA,0,Woodland
146,46.052184,14.478296,Forest,4.06,110,72.36,0.248175657,0.591828215,0.333778294,0.332665999,0.333768449,1,1994,179,54,142,16,2,46,0.8837,0.8039,0.7589,0.4894,342,1.0750000000000057,1413.7,23,V,1,Woodland
149,45.526132,13.717189,Forest,7.53,306,75.06,0.273031734,0.241606563,0.469858511,0.6329663,0.13286317,0.981351981,3868,236,63,303,11,3,49,0.2914,0.4518,0.302,0.3081,68,1.4250000000000056,1499.9,24,NA,0,Woodland
152,46.580933,15.636299,Forest,4.64,83,60.42,0.139964206,0.156406599,0.52648263,0.332632633,0.257077298,0.991841492,3019,185,40,175,21,2,35,0.6807,0.7299,0.6361,0.376,351,1.0150000000000035,1023.2,25,NA,0,Woodland
164,-25.78791,28.20304,Grassland,6.08,139,60.86,0.096785808,0.196409427,0.496335982,0.804491992,0.159728108,0.94988345,4387,317,70,500,5,5,57,0.1383,0.3228,0.107,0.2417,1418,1.7450000000000045,731.5,26,Not Reported,0,Grassland
167,-26.48338,28.21157,Grassland,5.57,274,53.76,0.19205155,0.228162427,0.487540134,0.593089024,0.191524042,0.966200466,4932,348,53,462,8,7,71,0.1974,0.284,0.1739,0.2857,1736,1.5450000000000046,810.1,27,Not Reported,0,Grassland
170,-33.33378,18.27285,Grassland,8.05,452,36.12,0.012493069,0.020487392,0.266186002,0.852124852,0.092433303,0.98951049,2708,144,26,525,7,3,38,0.584,0.7091,0.3668,0.6354,126,1.6450000000000045,467.6,28,Not Applicable,0,Grassland
185,23.59841667,87.42919444,Forest,5.95,48,42.78,0.025903488,0.107233621,0.216898661,0.789262947,0.17475843,0.959207459,4277,251,29,542,13,1,52,0.514,0.5323,0.3622,0.4919,80,2.5650000000000035,1470.5,29,NA,0,Woodland
195,27.250581,77.87598,Grassland,8.48,75,57.26,0.020355819,0.065621755,0.483594535,0.834960408,0.090469855,0.927738928,4997,220,40,485,6,4,41,0.3865,0.4735,0.3461,0.5091,162,2.5250000000000057,677,30,NA,0,Grassland
200,40.07264,116.182007,Forest,8.17,235,70.18,0.049734818,0.123236387,0.637822963,0.948948949,0.194213392,0.806526807,4523,204,30,594,2,0,37,0.2256,0.3485,0.079,0.4575,47,1.2850000000000024,524,31,NA,0,Woodland
206,39.075328,117.147798,Forest,8.34,148,67.08,0.049925469,0.095473994,0.50932479,0.74974975,0.093494724,0.891608392,4590,223,59,506,5,2,46,0.2998,0.3509,0.2114,0.3089,5,1.3250000000000057,533.6,32,NA,0,Woodland
215,36.20803,117.110235,Forest,5.35,245,39.52,0.125670704,0.085175623,0.332703595,0.848848849,0.177025597,0.991841492,3907,246,36,456,6,4,47,0.3555,0.3771,0.272,0.4529,191,1.2950000000000046,854.7,33,Not Applicable,0,Woodland
218,44.62965,88.26841667,Shrubland,8.76,84,33.34,0.003563999,0.051805658,0.159821404,0.223890557,0.048333212,0.916083916,4127,152,26,381,5,1,37,0.2872,0.3696,0.1676,0.6596,567,0.8450000000000045,147.8,34,NA,0,Shrubland
221,45.117241,86.022085,Shrubland,9.54,361,40.64,0.010654085,0.019208011,0.64118951,0.377154933,0.083980049,0.804195804,3714,115,9,273,3,3,23,0.34,0.5217,0.3235,0.8402,333,0.9150000000000034,108.10000000000001,35,NA,0,Shrubland
224,43.834214,88.045233,Grassland,6.89,687,73.32,0.568275436,0.484501917,0,0.785340896,0.347678426,0.998834499,1701,111,7,149,3,3,28,0.7047,0.6783,0.6829,0.858,2086,0.05500000000000114,490.20000000000005,36,NA,0,Grassland
227,44.268534,88.150298,Shrubland,8.44,3810,78.08,0.032798686,0.115973777,0.655189003,0.609053498,0.119319293,0.613053613,2613,152,26,200,2,3,33,0.5396,0.4332,0.497,0.6478,507,0.8650000000000034,184.20000000000002,37,NA,0,Shrubland
230,44.698902,86.236809,Shrubland,8.52,2320,38.76,0.005539616,0.02630871,0.642534415,0.25358692,0.05982205,0.903263403,3694,152,15,399,5,0,34,0.3385,0.3192,0.2537,0.725,365,0.8850000000000022,152.1,38,NA,0,Shrubland
236,-23.825451,133.354729,Grassland,6.19,71,31.7,0.034993817,0.072752872,0.478404477,0.674341008,0.023936649,0.997668998,3901,158,34,388,1,5,29,0.3685,0.6737,0.2534,0.5594,678,2.1450000000000045,296.6,39,V,1,Grassland
242,-34.1802,142.1729,Forest,6.74,502,47.06,0.182684513,0.363516828,0.386656175,0.399399399,0.266559665,0.907925408,4334,262,40,514,4,0,53,0.1656,0.1848,0.1318,0.3854,44,1.7550000000000012,278.7,40,NA,0,Woodland
245,-33.8812,150.8546,Forest,6.68,193,57.94,0.217163152,0.387912901,0.54884671,0.329329329,0.187729953,0.990675991,3981,250,56,411,9,1,46,0.2017,0.4348,0.1984,0.3038,95,1.6850000000000023,863.3000000000001,41,NA,0,Woodland
248,-34.0721,151.0012,Forest,4.44,110,11.5,0.09982033,0.295661221,0.241212598,0.54954955,0.085549347,0.98951049,1641,161,34,100,8,8,34,0.8093,0.6927,0.7755,0.5184,150,1.6750000000000056,1065.9,42,NA,0,Woodland
266,41.476763,2.147501,Forest,6.52,384,47.08,0.169434294,0.249214708,0.104841913,0.859081304,0.481014568,0.968531469,4568,294,83,623,9,2,51,0.2036,0.4562,0.2325,0.2843,79,1.5650000000000035,633.2,43,V,1,Woodland
272,46.725463,-116.923073,Forest,6.25,195,76.44,0.066858953,0.282911863,0.32932399,0.94994995,0.39050025,0.947552448,3238,222,33,210,4,2,50,0.273,0.257,0.5488,0.506,870,0.8750000000000057,519,44,NA,0,Woodland
