id.y,WDPAID,WDPA_PID,PA_DEF,NAME,ORIG_NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,MARINE,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,OWN_TYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,SUB_LOC,PARENT_ISO,ISO3,SUPP_INFO,CONS_OBJ,PA
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
5,555543797,555543797,1,Quebrada Cardones,Quebrada Cardones,Monumento Natural,Natural Monument,National,III,Not Applicable,0,0,0,67.18,117.133323062176,Not Applicable,0,Designated,2010,Federal or national ministry or agency,State,Corporación Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-AP,CHL,CHL,Not Applicable,Not Applicable,1
6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
7,10707,10707,1,La Campana - Peñuelas,La Campana - Peñuelas,Reserva Biósfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,0,0,0,2382.16,2385.07947090568,Not Applicable,0,Designated,1984,Federal or national ministry or agency,Not Reported,Corporación Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-VS,CHL,CHL,Not Applicable,Not Applicable,1
8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
9,10707,10707,1,La Campana - Peñuelas,La Campana - Peñuelas,Reserva Biósfera,UNESCO-MAB Biosphere Reserve,International,Not Applicable,Not Applicable,0,0,0,2382.16,2385.07947090568,Not Applicable,0,Designated,1984,Federal or national ministry or agency,Not Reported,Corporación Nacional Forestal (CONAF),Not Reported,State Verified,1808,CL-VS,CHL,CHL,Not Applicable,Not Applicable,1
10,351787,351787,1,Área De Proteção Ambiental Morro Da Pedreira,Área De Proteção Ambiental Morro Da Pedreira,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,1317.69,1324.6299542555,Not Applicable,0,Designated,1990,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,BR-MG,BRA,BRA,Not Applicable,Not Applicable,1
11,351787,351787,1,Área De Proteção Ambiental Morro Da Pedreira,Área De Proteção Ambiental Morro Da Pedreira,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,1317.69,1324.6299542555,Not Applicable,0,Designated,1990,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,BR-MG,BRA,BRA,Not Applicable,Not Applicable,1
12,351787,351787,1,Área De Proteção Ambiental Morro Da Pedreira,Área De Proteção Ambiental Morro Da Pedreira,Área de Proteção Ambiental,Environmental Protection Area,National,V,Not Applicable,0,0,0,1317.69,1324.6299542555,Not Applicable,0,Designated,1990,Federal or national ministry or agency,Not Reported,Instituto Chico Mendes de Conservação da Biodiversidade,Not Reported,State Verified,1802,BR-MG,BRA,BRA,Not Applicable,Not Applicable,1
