"Order_ID","nonPA","mahal.min","LC","times.with.error","times","n"
1508,1313,13.0705293607977,"Grassland",1,1,60
428,1314,16.6562102307045,"Grassland",1,1,60
1433,1336,16.5125655367298,"Grassland",1,1,60
421,1307,9.05920809855722,"Grassland",1,1,60
1303,1308,12.5500632704904,"Grassland",1,1,60
164,9,14.4109598019793,"Grassland",1,1,60
436,1315,17.3037999510977,"Grassland",1,1,60
1428,1348,12.8549746790206,"Grassland",1,1,60
1605,805,16.8727205271659,"Grassland",1,1,60
170,1337,16.0415320941182,"Grassland",1,1,60
1438,1475,17.392569654075,"Grassland",1,1,60
1430,604,15.7934178558508,"Grassland",1,1,60
1479,1504,17.4455696345182,"Grassland",1,1,60
68,1631,17.0639207595397,"Grassland",1,1,60
236,1502,8.57421237807953,"Grassland",1,1,60
59,810,13.5768782285261,"Grassland",1,1,60
65,1630,16.4394207602668,"Grassland",1,1,60
1506,1334,5.58039642537473,"Grassland",1,1,60
1431,1447,15.3595228893096,"Grassland",1,1,60
1302,609,3.81343104549486,"Grassland",1,1,60
1576,221,12.0921557789109,"Shrubland",1,1,60
1595,732,13.0309747027181,"Shrubland",1,1,60
1437,1322,13.2293848379406,"Shrubland",1,1,60
1381,56,12.5276487111378,"Shrubland",1,1,60
1607,1419,11.102546476911,"Shrubland",1,1,60
1608,391,9.38757021574584,"Shrubland",1,1,60
1575,637,10.5378827625642,"Shrubland",1,1,60
1577,1343,12.4824822250269,"Shrubland",1,1,60
1382,379,16.0524836556855,"Shrubland",1,1,60
1380,795,5.47636326477554,"Shrubland",1,1,60
1304,1323,16.4115974767604,"Shrubland",1,1,60
1441,1344,17.135389647976,"Shrubland",1,1,60
1305,634,16.412670049807,"Shrubland",1,1,60
1593,1400,6.00962280203732,"Shrubland",1,1,60
1301,1340,10.4079236614395,"Shrubland",1,1,60
1440,1415,6.99927409093786,"Shrubland",1,1,60
1478,230,9.31776307362629,"Shrubland",1,1,60
1519,1324,10.448793959237,"Shrubland",1,1,60
1586,790,6.18598567290537,"Shrubland",1,1,60
1570,227,4.33717683916438,"Shrubland",1,1,60
1371,1549,10.5140937464306,"Woodland",1,1,60
716,368,15.7660743530588,"Woodland",1,1,60
690,1444,9.89562669751134,"Woodland",1,1,60
1534,789,15.6880868633699,"Woodland",1,1,60
1566,1327,5.22528205127116,"Woodland",1,1,60
522,344,12.7196410794323,"Woodland",1,1,60
350,1325,15.5940612942657,"Woodland",1,1,60
1375,362,5.14165313196589,"Woodland",1,1,60
1474,1418,16.6483743014954,"Woodland",1,1,60
679,1496,14.0918300815995,"Woodland",1,1,60
525,143,9.31184362039849,"Woodland",1,1,60
1442,1498,16.7548176020367,"Woodland",1,1,60
1530,1453,7.6159861647178,"Woodland",1,1,60
1373,781,6.98675802763139,"Woodland",1,1,60
705,710,0.0138826775103869,"Woodland",1,1,60
1528,152,4.12015162077048,"Woodland",1,1,60
1574,1416,14.3858874693104,"Woodland",1,1,60
146,131,4.01895981407852,"Woodland",1,1,60
663,1497,14.1507521914314,"Woodland",1,1,60
1538,1449,14.5843539777684,"Woodland",1,1,60
1303,1383,12.487120553895,"Grassland",2,2,60
1588,810,15.4978944425118,"Grassland",2,2,60
449,604,6.56346924731237,"Grassland",2,2,60
59,1348,14.4739792879616,"Grassland",2,2,60
1479,1475,17.3823440400317,"Grassland",2,2,60
1509,1511,10.0189654087296,"Grassland",2,2,60
1605,1481,13.5546225088935,"Grassland",2,2,60
1506,44,11.9572867745133,"Grassland",2,2,60
236,1404,17.126348286838,"Grassland",2,2,60
1429,1384,17.2639274556379,"Grassland",2,2,60
1428,1313,11.5058949439882,"Grassland",2,2,60
1438,609,15.0263745257537,"Grassland",2,2,60
167,9,15.6399247814961,"Grassland",2,2,60
436,432,0.907180809522239,"Grassland",2,2,60
1508,1308,15.3759704567064,"Grassland",2,2,60
164,1338,16.1223456076116,"Grassland",2,2,60
421,1314,16.3129941766419,"Grassland",2,2,60
65,1629,15.5645927128691,"Grassland",2,2,60
1430,1315,14.1347676838915,"Grassland",2,2,60
1505,1309,11.353127123728,"Grassland",2,2,60
1593,379,5.38930037825627,"Shrubland",2,2,60
1608,732,17.1516072681818,"Shrubland",2,2,60
1602,1350,17.2108629629637,"Shrubland",2,2,60
1439,218,8.37447786804389,"Shrubland",2,2,60
1381,795,4.20988059138818,"Shrubland",2,2,60
1436,1346,11.9217342708482,"Shrubland",2,2,60
1519,221,7.86905469642809,"Shrubland",2,2,60
1304,391,12.6002672620993,"Shrubland",2,2,60
1380,1413,12.8794640729589,"Shrubland",2,2,60
1441,1402,15.6788190572842,"Shrubland",2,2,60
1575,1345,11.0133338277752,"Shrubland",2,2,60
1546,637,4.76280170052886,"Shrubland",2,2,60
1382,1323,12.1183935556506,"Shrubland",2,2,60
1607,1328,13.728960608672,"Shrubland",2,2,60
1507,634,10.7025682400657,"Shrubland",2,2,60
1585,1324,6.22249626557757,"Shrubland",2,2,60
71,1423,17.0540422560037,"Shrubland",2,2,60
1570,1322,6.40465484803123,"Shrubland",2,2,60
1440,1415,6.99927409093786,"Shrubland",2,2,60
1521,1400,16.5012835246285,"Shrubland",2,2,60
1529,278,8.33007786182666,"Woodland",2,2,60
374,326,11.1299293774603,"Woodland",2,2,60
1571,1325,15.7671759861147,"Woodland",2,2,60
1443,1494,15.6634749311103,"Woodland",2,2,60
1376,1451,14.9857589682485,"Woodland",2,2,60
1561,1446,16.2837825805861,"Woodland",2,2,60
669,1495,14.9050893583347,"Woodland",2,2,60
655,1499,13.1653997042624,"Woodland",2,2,60
1536,1450,11.9441838994562,"Woodland",2,2,60
146,125,5.7253898921225,"Woodland",2,2,60
1563,1417,14.4233773984842,"Woodland",2,2,60
1528,104,14.8736513541992,"Woodland",2,2,60
652,242,13.3033134990044,"Woodland",2,2,60
215,149,12.4607771474136,"Woodland",2,2,60
716,1550,13.4162441045812,"Woodland",2,2,60
302,131,7.68769693818881,"Woodland",2,2,60
1373,1453,17.0859824901217,"Woodland",2,2,60
1574,1326,16.4586360338884,"Woodland",2,2,60
595,362,13.5532183121501,"Woodland",2,2,60
109,746,10.8533421123827,"Woodland",2,2,60
170,1383,17.0646421163642,"Grassland",3,3,60
1433,604,16.9929539348316,"Grassland",3,3,60
449,1384,11.900874938694,"Grassland",3,3,60
1505,609,10.1884446542005,"Grassland",3,3,60
68,1631,17.0639207595397,"Grassland",3,3,60
1506,611,10.6891566646581,"Grassland",3,3,60
1594,1334,7.75110889455598,"Grassland",3,3,60
436,432,0.907180809522239,"Grassland",3,3,60
1508,1313,13.0705293607977,"Grassland",3,3,60
1428,1336,16.6100466758695,"Grassland",3,3,60
421,89,2.53375373980104,"Grassland",3,3,60
59,1476,15.8557389521125,"Grassland",3,3,60
65,1629,15.5645927128691,"Grassland",3,3,60
1438,1447,7.81026786846817,"Grassland",3,3,60
1429,810,6.82215500661919,"Grassland",3,3,60
164,1309,11.9956137044214,"Grassland",3,3,60
1432,1408,17.3612401115482,"Grassland",3,3,60
167,15,15.964816686907,"Grassland",3,3,60
1303,1308,12.5500632704904,"Grassland",3,3,60
1605,1603,9.65012576032522,"Grassland",3,3,60
1519,1323,12.0702644319838,"Shrubland",3,3,60
1575,732,11.9885972792465,"Shrubland",3,3,60
1520,1343,9.40531643674224,"Shrubland",3,3,60
1381,1329,14.0891413388186,"Shrubland",3,3,60
1576,1346,11.7703803868008,"Shrubland",3,3,60
1586,1328,15.2223760579199,"Shrubland",3,3,60
1301,1400,6.11723393517914,"Shrubland",3,3,60
1382,1419,9.90379117164315,"Shrubland",3,3,60
