"ID","nonPA","mahal.min","LC","times.with.error","times","n"
1479,59,9.45730637104817,"Grassland",1,1,45
65,1631,16.6067021156437,"Grassland",1,1,45
436,1336,13.8320778411289,"Grassland",1,1,45
1432,1315,13.6900860902609,"Grassland",1,1,45
1588,44,17.3974423378415,"Grassland",1,1,45
428,224,12.7180649912806,"Grassland",1,1,45
236,1302,15.3846045716379,"Grassland",1,1,45
1508,611,10.5714027438824,"Grassland",1,1,45
1506,1308,12.9702317485831,"Grassland",1,1,45
449,805,16.9321304917387,"Grassland",1,1,45
1509,1333,7.3585119613673,"Grassland",1,1,45
68,1629,15.0874484134378,"Grassland",1,1,45
1428,15,4.56710407190465,"Grassland",1,1,45
1429,1339,15.1461920120836,"Grassland",1,1,45
1587,1303,8.9524418059746,"Grassland",1,1,45
1478,230,10.3173224906038,"Shrubland",1,1,45
1440,1482,17.3549363015807,"Shrubland",1,1,45
648,1344,14.905049039485,"Shrubland",1,1,45
1507,218,10.3514490292779,"Shrubland",1,1,45
1381,1301,14.5051059436623,"Shrubland",1,1,45
1380,221,16.9620221714244,"Shrubland",1,1,45
1586,790,6.5349991667165,"Shrubland",1,1,45
1570,56,14.6198220379314,"Shrubland",1,1,45
71,1424,15.6868389937214,"Shrubland",1,1,45
1607,391,9.12587302126172,"Shrubland",1,1,45
1436,47,15.736503833585,"Shrubland",1,1,45
1608,379,16.1911271287363,"Shrubland",1,1,45
1595,227,10.2830813600764,"Shrubland",1,1,45
1310,501,14.914176597109,"Shrubland",1,1,45
1382,1328,15.682764069469,"Shrubland",1,1,45
663,215,8.04072292987109,"Woodland",1,1,45
290,522,8.59118376409538,"Woodland",1,1,45
350,278,16.3423264393591,"Woodland",1,1,45
686,1477,8.70277632671317,"Woodland",1,1,45
595,125,4.29347708157461,"Woodland",1,1,45
1372,338,9.42914918899922,"Woodland",1,1,45
669,1495,16.7867092321161,"Woodland",1,1,45
109,131,8.08994135534177,"Woodland",1,1,45
266,104,15.7599239686495,"Woodland",1,1,45
1442,206,10.519136848922,"Woodland",1,1,45
679,1500,13.5350443580473,"Woodland",1,1,45
690,368,16.74064366575,"Woodland",1,1,45
101,287,13.0871498663265,"Woodland",1,1,45
525,200,14.0214488878408,"Woodland",1,1,45
1371,143,13.0900626005909,"Woodland",1,1,45
65,1630,16.9701796822813,"Grassland",2,2,45
1429,810,6.62706081378654,"Grassland",2,2,45
1594,15,11.507851455118,"Grassland",2,2,45
1479,1438,11.0599318672699,"Grassland",2,2,45
1506,611,10.9228043484154,"Grassland",2,2,45
41,164,15.9045680563239,"Grassland",2,2,45
68,1631,16.4636975962567,"Grassland",2,2,45
1588,1314,17.330522714123,"Grassland",2,2,45
1432,1447,11.0526881363178,"Grassland",2,2,45
236,167,15.1926446881265,"Grassland",2,2,45
428,805,14.6527517221742,"Grassland",2,2,45
436,9,16.3854381739063,"Grassland",2,2,45
1509,1315,13.5170414307996,"Grassland",2,2,45
1505,1303,6.99148043809761,"Grassland",2,2,45
1431,59,10.6595864301032,"Grassland",2,2,45
1507,637,11.1413973274563,"Shrubland",2,2,45
1439,1306,11.0649356769334,"Shrubland",2,2,45
1586,732,17.2059488858699,"Shrubland",2,2,45
1380,1322,14.2681019373144,"Shrubland",2,2,45
1381,227,12.2286836788784,"Shrubland",2,2,45
1478,1304,14.2320858784337,"Shrubland",2,2,45
1595,221,7.7950701892037,"Shrubland",2,2,45
1436,391,8.51723679394606,"Shrubland",2,2,45
1310,501,14.914176597109,"Shrubland",2,2,45
1382,230,11.2020254524847,"Shrubland",2,2,45
71,1424,15.6868389937214,"Shrubland",2,2,45
1608,56,12.0504900540016,"Shrubland",2,2,45
1441,218,15.2288158068887,"Shrubland",2,2,45
1570,47,11.9542105638173,"Shrubland",2,2,45
1440,1437,4.820776756851,"Shrubland",2,2,45
512,83,6.39774237878138,"Woodland",2,2,45
101,695,15.4979669045138,"Woodland",2,2,45
290,415,11.8102211898837,"Woodland",2,2,45
690,705,0.111310360117008,"Woodland",2,2,45
1375,338,9.73627923966939,"Woodland",2,2,45
532,149,9.80394635938386,"Woodland",2,2,45
686,1444,16.1647978969984,"Woodland",2,2,45
595,6,7.46190509973048,"Woodland",2,2,45
1442,287,7.2725523850077,"Woodland",2,2,45
109,200,5.14310245076169,"Woodland",2,2,45
146,152,1.62496065423825,"Woodland",2,2,45
374,341,14.6239877811695,"Woodland",2,2,45
1443,131,16.1904848522537,"Woodland",2,2,45
1373,518,16.1090776608804,"Woodland",2,2,45
652,242,16.2293254346987,"Woodland",2,2,45
65,1629,15.0957535219165,"Grassland",3,3,45
449,611,10.1168978863489,"Grassland",3,3,45
1605,1617,14.8607498644149,"Grassland",3,3,45
1588,59,10.0945109547675,"Grassland",3,3,45
1432,432,16.7444390793189,"Grassland",3,3,45
1506,617,10.7440947384086,"Grassland",3,3,45
1430,1348,13.2999456641978,"Grassland",3,3,45
1479,1303,10.3898686495877,"Grassland",3,3,45
1509,1336,14.6021176339365,"Grassland",3,3,45
68,1630,16.1499564795337,"Grassland",3,3,45
1587,1557,16.0216674994731,"Grassland",3,3,45
41,1624,16.7736088657269,"Grassland",3,3,45
428,1315,16.3405708713182,"Grassland",3,3,45
1431,810,16.4510870134588,"Grassland",3,3,45
1594,224,15.3517716037202,"Grassland",3,3,45
648,634,10.9254631193375,"Shrubland",3,3,45
1478,1305,7.52566698128098,"Shrubland",3,3,45
1595,1306,0.719834247267405,"Shrubland",3,3,45
1570,732,17.3728047290194,"Shrubland",3,3,45
1441,1413,9.13139241429508,"Shrubland",3,3,45
1436,47,15.736503833585,"Shrubland",3,3,45
1381,56,12.4322343233257,"Shrubland",3,3,45
1507,1330,11.8747937717772,"Shrubland",3,3,45
1607,86,3.95046540104147,"Shrubland",3,3,45
1593,1301,0.332944501858549,"Shrubland",3,3,45
1439,221,11.24077611077,"Shrubland",3,3,45
1382,1322,12.9765063477131,"Shrubland",3,3,45
1310,501,14.914176597109,"Shrubland",3,3,45
71,116,17.1528734894453,"Shrubland",3,3,45
1585,391,3.85320120276277,"Shrubland",3,3,45
1442,710,12.6288259031677,"Woodland",3,3,45
525,143,10.4296070372155,"Woodland",3,3,45
512,695,8.60695249748886,"Woodland",3,3,45
1373,341,10.4984303411862,"Woodland",3,3,45
652,242,16.2293254346987,"Woodland",3,3,45
595,125,4.29347708157461,"Woodland",3,3,45
690,368,16.74064366575,"Woodland",3,3,45
532,200,9.07284216304997,"Woodland",3,3,45
1443,284,12.1912529605616,"Woodland",3,3,45
1374,83,16.7013872248461,"Woodland",3,3,45
1371,1494,11.0078394910901,"Woodland",3,3,45
302,149,11.9299886833199,"Woodland",3,3,45
101,356,14.3408200443124,"Woodland",3,3,45
655,1500,15.3953679958113,"Woodland",3,3,45
663,326,13.6698022273706,"Woodland",3,3,45
68,1629,15.0874484134378,"Grassland",4,4,45
1509,604,11.2184067662896,"Grassland",4,4,45
1429,1337,16.3893303672481,"Grassland",4,4,45
1430,1315,13.8906841715648,"Grassland",4,4,45
1588,1314,17.330522714123,"Grassland",4,4,45
236,1476,17.413997722626,"Grassland",4,4,45
449,609,11.8375525770455,"Grassland",4,4,45
1479,1333,17.4969772580179,"Grassland",4,4,45
1605,611,13.3090577794921,"Grassland",4,4,45
1587,1617,13.2911973803693,"Grassland",4,4,45
1431,810,16.4510870134588,"Grassland",4,4,45
436,15,17.3395967979001,"Grassland",4,4,45
1508,1302,7.28310734588172,"Grassland",4,4,45
1432,1339,15.0790931085531,"Grassland",4,4,45
1594,224,15.3517716037202,"Grassland",4,4,45
1586,1305,2.92074183319978,"Shrubland",4,4,45
1441,567,16.5450291602801,"Shrubland",4,4,45
1607,391,9.12587302126172,"Shrubland",4,4,45
1478,1322,7.29317791213514,"Shrubland",4,4,45
1608,1324,6.95861395205691,"Shrubland",4,4,45
1436,86,9.62856499516573,"Shrubland",4,4,45
1593,1304,10.8302451359679,"Shrubland",4,4,45
1310,501,14.914176597109,"Shrubland",4,4,45
1570,227,4.65880057291903,"Shrubland",4,4,45
1440,1435,6.43279709563383,"Shrubland",4,4,45
1595,790,11.7413516917735,"Shrubland",4,4,45
1585,795,4.86304601790577,"Shrubland",4,4,45
1439,1344,13.4755934115678,"Shrubland",4,4,45
1382,47,13.6053841487853,"Shrubland",4,4,45
1381,218,12.5654619898496,"Shrubland",4,4,45
146,215,9.142281447524,"Woodland",4,4,45
1376,518,12.3413044361146,"Woodland",4,4,45
532,152,10.5993072529742,"Woodland",4,4,45
1374,522,10.0259131721643,"Woodland",4,4,45
374,338,11.1329909776327,"Woodland",4,4,45
525,185,16.3158449058505,"Woodland",4,4,45
290,272,15.813529477299,"Woodland",4,4,45
512,326,11.3263000184896,"Woodland",4,4,45
1375,344,17.0178183287961,"Woodland",4,4,45
1442,206,10.519136848922,"Woodland",4,4,45
686,701,2.61735199229728,"Woodland",4,4,45
655,1500,15.3953679958113,"Woodland",4,4,45
669,1495,16.7867092321161,"Woodland",4,4,45
690,287,4.67341389668867,"Woodland",4,4,45
1373,1327,15.690980499409,"Woodland",4,4,45
428,89,3.23349222926271,"Grassland",5,5,45
236,1302,15.3846045716379,"Grassland",5,5,45
1509,1333,7.3585119613673,"Grassland",5,5,45
1432,810,8.34754749634312,"Grassland",5,5,45
1428,164,16.4238912368256,"Grassland",5,5,45
1587,1303,8.9524418059746,"Grassland",5,5,45
1479,1314,16.9965886661301,"Grassland",5,5,45
1508,611,10.5714027438824,"Grassland",5,5,45
1431,59,10.6595864301032,"Grassland",5,5,45
421,432,1.33371699587674,"Grassland",5,5,45
436,1308,10.604184735165,"Grassland",5,5,45
1588,44,17.3974423378415,"Grassland",5,5,45
1430,1447,7.62444175241018,"Grassland",5,5,45
41,167,16.0957168211163,"Grassland",5,5,45
1506,1313,12.1867191084352,"Grassland",5,5,45
1310,501,14.914176597109,"Shrubland",5,5,45
1593,732,13.2720633428787,"Shrubland",5,5,45
1595,227,10.2830813600764,"Shrubland",5,5,45
1439,1306,11.0649356769334,"Shrubland",5,5,45
1607,86,3.95046540104147,"Shrubland",5,5,45
1436,391,8.51723679394606,"Shrubland",5,5,45
1382,218,11.9703580428871,"Shrubland",5,5,45
1585,1323,6.60351743704433,"Shrubland",5,5,45
1507,1322,3.99650708493304,"Shrubland",5,5,45
1441,379,12.6042793881032,"Shrubland",5,5,45
1478,1304,14.2320858784337,"Shrubland",5,5,45
1440,1448,11.1195055054428,"Shrubland",5,5,45
648,1347,3.95603768442225,"Shrubland",5,5,45
1586,1324,6.53734919553959,"Shrubland",5,5,45
1608,1305,3.81100851268792,"Shrubland",5,5,45
663,245,15.0117439992048,"Woodland",5,5,45
109,12,16.8224527891163,"Woodland",5,5,45
101,680,15.7476886559569,"Woodland",5,5,45
525,287,10.6016070223182,"Woodland",5,5,45
532,143,12.7044978393696,"Woodland",5,5,45
686,415,13.2294050826835,"Woodland",5,5,45
1372,1473,16.2051046283347,"Woodland",5,5,45
146,284,17.1832813969279,"Woodland",5,5,45
1374,518,9.64869225889119,"Woodland",5,5,45
1443,125,14.7441916222212,"Woodland",5,5,45
1376,1379,8.51467709658406,"Woodland",5,5,45
1373,781,7.20462586041408,"Woodland",5,5,45
679,1496,15.1870083867833,"Woodland",5,5,45
290,1493,16.2602876470625,"Woodland",5,5,45
690,368,16.74064366575,"Woodland",5,5,45
1605,617,11.2720411203114,"Grassland",6,6,45
1430,1339,14.5975279063393,"Grassland",6,6,45
1432,1315,13.6900860902609,"Grassland",6,6,45
236,164,12.3616389396152,"Grassland",6,6,45
1509,44,16.8237206255234,"Grassland",6,6,45
1429,1348,14.890972785276,"Grassland",6,6,45
449,609,11.8375525770455,"Grassland",6,6,45
428,224,12.7180649912806,"Grassland",6,6,45
41,432,15.8649055726303,"Grassland",6,6,45
1428,1314,12.2461893540087,"Grassland",6,6,45
1508,604,12.215666711146,"Grassland",6,6,45
1588,59,10.0945109547675,"Grassland",6,6,45
421,611,7.84678397520452,"Grassland",6,6,45
1506,805,16.6127185021327,"Grassland",6,6,45
1587,1433,9.09554583798717,"Grassland",6,6,45
1570,391,3.28987623040971,"Shrubland",6,6,45
1382,227,11.5397124940247,"Shrubland",6,6,45
1607,379,15.3071593215323,"Shrubland",6,6,45
1441,1401,17.0029350098731,"Shrubland",6,6,45
1586,732,17.2059488858699,"Shrubland",6,6,45
1595,1301,0.690566367503097,"Shrubland",6,6,45
1593,86,4.61443551521603,"Shrubland",6,6,45
1507,56,13.9512053073435,"Shrubland",6,6,45
1608,790,11.0223165239876,"Shrubland",6,6,45
1478,1304,14.2320858784337,"Shrubland",6,6,45
1310,501,14.914176597109,"Shrubland",6,6,45
1436,1345,14.1092593152618,"Shrubland",6,6,45
1439,47,17.0020700539819,"Shrubland",6,6,45
1381,1306,16.7290844968984,"Shrubland",6,6,45
1380,218,13.5354792573908,"Shrubland",6,6,45
302,284,14.4309023620221,"Woodland",6,6,45
679,242,15.806732487345,"Woodland",6,6,45
512,200,13.7378973808114,"Woodland",6,6,45
1372,368,17.372368530371,"Woodland",6,6,45
686,408,17.0310461157703,"Woodland",6,6,45
146,1477,12.2852101667521,"Woodland",6,6,45
1374,344,12.4997499253795,"Woodland",6,6,45
1371,518,16.1918593917971,"Woodland",6,6,45
663,12,17.3604097496986,"Woodland",6,6,45
690,716,1.40790153740725,"Woodland",6,6,45
290,1444,15.3762548979451,"Woodland",6,6,45
1376,781,8.76618087136318,"Woodland",6,6,45
1373,338,8.39012521099066,"Woodland",6,6,45
101,695,15.4979669045138,"Woodland",6,6,45
266,341,9.69906848602376,"Woodland",6,6,45
1432,1315,13.6900860902609,"Grassland",7,7,45
1594,15,11.507851455118,"Grassland",7,7,45
1428,611,16.2947744108673,"Grassland",7,7,45
1431,59,10.6595864301032,"Grassland",7,7,45
1479,805,15.4932999944057,"Grassland",7,7,45
68,1631,16.4636975962567,"Grassland",7,7,45
236,1348,4.89197923170723,"Grassland",7,7,45
421,604,4.02276491783508,"Grassland",7,7,45
1506,609,11.1333191055178,"Grassland",7,7,45
41,1624,16.7736088657269,"Grassland",7,7,45
1509,44,16.8237206255234,"Grassland",7,7,45
1430,1339,14.5975279063393,"Grassland",7,7,45
1605,1603,9.35380422232288,"Grassland",7,7,45
1587,1303,8.9524418059746,"Grassland",7,7,45
65,1630,16.9701796822813,"Grassland",7,7,45
71,1424,15.6868389937214,"Shrubland",7,7,45
1507,1301,4.73417763444038,"Shrubland",7,7,45
1380,795,5.77521372475746,"Shrubland",7,7,45
1441,218,15.2288158068887,"Shrubland",7,7,45
648,1344,14.905049039485,"Shrubland",7,7,45
1585,1306,4.4912564981377,"Shrubland",7,7,45
1608,47,13.8389710329305,"Shrubland",7,7,45
1439,1322,13.1342202675936,"Shrubland",7,7,45
1440,1435,6.43279709563383,"Shrubland",7,7,45
1593,230,3.46988811967079,"Shrubland",7,7,45
1607,56,11.9126762267986,"Shrubland",7,7,45
1382,86,9.73115999587943,"Shrubland",7,7,45
1586,732,17.2059488858699,"Shrubland",7,7,45
1381,1331,16.8469568324515,"Shrubland",7,7,45
1310,501,14.914176597109,"Shrubland",7,7,45
101,518,7.63247280613963,"Woodland",7,7,45
679,215,8.17328176961618,"Woodland",7,7,45
1371,368,16.7234731787551,"Woodland",7,7,45
663,672,0.592644649502485,"Woodland",7,7,45
1372,1379,7.20007357488451,"Woodland",7,7,45
652,200,14.2620017586668,"Woodland",7,7,45
1374,143,14.6569130332352,"Woodland",7,7,45
1373,1472,16.4667038805325,"Woodland",7,7,45
1376,326,10.869340885661,"Woodland",7,7,45
525,278,15.1011592354226,"Woodland",7,7,45
1442,149,12.6354901865566,"Woodland",7,7,45
690,83,9.48495169889378,"Woodland",7,7,45
109,152,12.0432406681882,"Woodland",7,7,45
1443,415,11.5323444025162,"Woodland",7,7,45
512,284,16.1198266402168,"Woodland",7,7,45
1429,1314,13.2342868864388,"Grassland",8,8,45
65,1629,15.0957535219165,"Grassland",8,8,45
1430,1313,14.5427628841756,"Grassland",8,8,45
436,609,11.3310434543967,"Grassland",8,8,45
1588,810,13.7600357932492,"Grassland",8,8,45
1506,604,9.22799115067318,"Grassland",8,8,45
449,805,16.9321304917387,"Grassland",8,8,45
1431,611,17.3281939808848,"Grassland",8,8,45
236,1447,12.2921849731113,"Grassland",8,8,45
1428,1302,16.5560943278242,"Grassland",8,8,45
1505,1309,12.1505805825088,"Grassland",8,8,45
1605,1626,14.5537974833615,"Grassland",8,8,45
1479,617,4.94244656550819,"Grassland",8,8,45
428,1303,14.4124481516004,"Grassland",8,8,45
1594,89,10.220831752175,"Grassland",8,8,45
1586,738,16.4501372386147,"Shrubland",8,8,45
1507,1323,6.1829927726537,"Shrubland",8,8,45
1310,501,14.914176597109,"Shrubland",8,8,45
1440,1434,7.5526730929774,"Shrubland",8,8,45
1436,1322,9.21068307464031,"Shrubland",8,8,45
1570,1304,15.9760979337182,"Shrubland",8,8,45
1382,221,13.9009121743855,"Shrubland",8,8,45
1478,379,7.14533515974613,"Shrubland",8,8,45
1585,795,4.86304601790577,"Shrubland",8,8,45
1593,391,1.75119014326002,"Shrubland",8,8,45
1607,227,16.4911932942662,"Shrubland",8,8,45
71,1378,14.031226111669,"Shrubland",8,8,45
1380,47,13.577012485933,"Shrubland",8,8,45
1439,230,9.82934188923705,"Shrubland",8,8,45
1441,1435,5.68896165632857,"Shrubland",8,8,45
525,326,8.04592027600691,"Woodland",8,8,45
101,272,13.950396665435,"Woodland",8,8,45
512,152,14.6912720101664,"Woodland",8,8,45
1374,408,13.571831021361,"Woodland",8,8,45
595,83,15.374581065161,"Woodland",8,8,45
532,185,16.1622904190044,"Woodland",8,8,45
652,1499,17.0669763858601,"Woodland",8,8,45
679,1496,15.1870083867833,"Woodland",8,8,45
1373,518,16.1090776608804,"Woodland",8,8,45
1442,200,8.33920683058667,"Woodland",8,8,45
655,338,16.1040594574253,"Woodland",8,8,45
146,716,16.6293638254083,"Woodland",8,8,45
266,12,17.2588221986026,"Woodland",8,8,45
686,522,7.29385055701269,"Woodland",8,8,45
690,701,0.155251976137442,"Woodland",8,8,45
1505,170,16.363598107751,"Grassland",9,9,45
41,1624,16.7736088657269,"Grassland",9,9,45
236,1502,8.36301854105788,"Grassland",9,9,45
65,1629,15.0957535219165,"Grassland",9,9,45
1428,432,13.0304747326557,"Grassland",9,9,45
428,9,15.417173211211,"Grassland",9,9,45
1506,164,13.1324133682998,"Grassland",9,9,45
1605,1626,14.5537974833615,"Grassland",9,9,45
1431,59,10.6595864301032,"Grassland",9,9,45
68,1630,16.1499564795337,"Grassland",9,9,45
1588,1433,7.03147885692852,"Grassland",9,9,45
1594,167,13.9539981924096,"Grassland",9,9,45
436,89,4.05927980419853,"Grassland",9,9,45
1432,1303,10.8550928595205,"Grassland",9,9,45
1509,1302,5.66706904810131,"Grassland",9,9,45
1608,1305,3.81100851268792,"Shrubland",9,9,45
1436,1304,15.4320009067165,"Shrubland",9,9,45
1593,47,12.6746983581873,"Shrubland",9,9,45
1585,56,8.81206554685812,"Shrubland",9,9,45
1382,221,13.9009121743855,"Shrubland",9,9,45
1381,790,3.50709719574831,"Shrubland",9,9,45
1310,501,14.914176597109,"Shrubland",9,9,45
1570,1322,6.36195623670903,"Shrubland",9,9,45
648,1344,14.905049039485,"Shrubland",9,9,45
71,1378,14.031226111669,"Shrubland",9,9,45
1586,230,2.60177525972268,"Shrubland",9,9,45
1439,391,11.3953631276121,"Shrubland",9,9,45
1595,738,13.718947493992,"Shrubland",9,9,45
1607,379,15.3071593215323,"Shrubland",9,9,45
1478,227,10.8306347211017,"Shrubland",9,9,45
290,415,11.8102211898837,"Woodland",9,9,45
350,344,0.164965055390551,"Woodland",9,9,45
532,284,11.4334730252652,"Woodland",9,9,45
1376,408,16.3112865343254,"Woodland",9,9,45
525,356,13.1168197251821,"Woodland",9,9,45
