"Order_ID","Latitude_c","Longitude_c","Eco_c","Soil_pH","Soil_salinity","Clay_silt_c","Soil_carbon_service","OM_decomposition_service","Water_regulation_service","Soil_stability_service","Nutrient_service","Pathogen_control","Richness_bacteria","Fungi_18s_richness","Invertebrate_18s_richness","Protist_18s_richness","Ectomycorrhizal_18s_richness","Arbuscular_mycorrhizal_18s_richness","Decomposers_18s_richness","Diss_Bacteria_std","Diss_Fungi_std","Diss_Protists_std","Diss_invert_std","Elevation","AnnualTemp","AnnualPrec","PA","Latitude_c.z","Longitude_c.z","Elevation.z","AnnualPrec.z","AnnualTemp.z","Soil_pH.z","Soil_salinity.z","Clay_silt_c.z"
459,-38.737,-71.656,"Woodland",6.02,183.9,12.68222222,0.180856491,0.160914098,0.569391628,0.997290298,0.033747032,0.990675991,3567,145,5,279,3,1,31,0.4607,0.6193,0.5935,1,972,0.805000000000001,3564.5,1,-1.62102568138033,-0.840358943785665,0.170176674322542,5.19871247465085,-1.07240043375584,-0.553154409502676,-0.221674034510176,-0.900644692963313
463,-38.652,-71.645,"Woodland",5.66,104.33,7.7,0.261394948,0.264210907,0.721780779,0.882146584,0.034120713,0.968531469,3521,176,25,305,7,1,41,0.5954,0.663,0.4979,0.649,1168,0.685000000000002,3023.6,1,-1.6183790572997,-0.840214577539279,0.436868864215125,4.23747258097794,-1.25313280123565,-0.865892205431857,-0.289486326069032,-1.11917161162617
467,-38.65,-71.657,"Woodland",5.94,30.7,6.486666667,0.0147702,0.03499605,0.247976847,0.888321912,0.00380977,0.987179487,3286,218,25,422,13,3,49,0.597,0.6217,0.5115,0.7829,1239,0.685000000000002,3150.5,1,-1.61831678379193,-0.840372067989882,0.533476749329275,4.46298809679804,-1.25313280123565,-0.622651697486938,-0.352236345265697,-1.17239003161295
470,-38.758,-71.643,"Shrubland",5.97,40.2,7.672222222,0.048645181,0.043491807,0.413670208,0.627627628,0.003386528,0.991841492,3525,129,15,234,3,0,32,0.4543,0.6916,0.5673,0.5834,895,0.855000000000001,3452,1,-1.62167955321202,-0.840188329130846,0.0654047425790277,4.99878737197346,-0.997095280639257,-0.59659021449284,-0.344140118423808,-1.12038998205719
477,-38.686,-71.614,"Woodland",5.79,123.2,4.916666667,0.119428855,0.085849846,0.457213518,0.936704486,0.030000663,0.928904429,3492,146,9,277,8,1,30,0.5442,0.765,0.5411,0.859,998,0.795000000000005,2845,1,-1.61943770693196,-0.839807727208555,0.205554209716456,3.92008037352743,-1.08746146437916,-0.75295911245743,-0.273404662857827,-1.24125232782355
575,46.823,11.045,"Grassland",7.76,183.2,20.76777778,0.033430163,0.042029001,0.197259211,0.200867534,0.006121516,0.997668998,3082,117,21,276,1,2,17,0.7328,1,0.545,0.738,2609,-0.334999999999997,1529.4,1,1.04303498142745,0.245025869156781,2.3976007297009,1.58211179501739,-2.78935792481401,0.958411604155031,-0.222270598593262,-0.54600143054293
582,46.831,11.04,"Grassland",6.76,145.4,21.91111111,0.132352182,0.092551956,0.699785315,0.507173841,0.047090042,0.977855478,3896,178,19,342,4,1,36,0.4562,0.5315,0.4379,0.4403,2508,-0.274999999999994,1490.8,1,1.04328407545857,0.244960248135697,2.26017261143993,1.51351527089874,-2.69899174107411,0.0896955043517511,-0.254485059079938,-0.495853304149354
587,46.834,11.039,"Grassland",7.19,100.8,27.26888889,0.058911257,0.124345109,0.542857812,0.44044044,0.01378727,0.966200466,3900,220,20,404,4,4,44,0.398,0.5979,0.3201,0.5678,2401,-0.194999999999999,1449,1,1.04337748572024,0.24494712393148,2.11458044654959,1.43923198830394,-2.57850349608758,0.463243427267162,-0.292494713516598,-0.260854017195888
594,46.841,11.032,"Grassland",5.87,101.2,14.73333333,0.152645281,0.354596878,0.683621322,0.80647314,0.009435669,0.996503497,2701,162,14,548,3,3,42,0.6201,0.8412,0.4289,0.7711,2429,-0.224999999999994,1480.8,1,1.04359544299747,0.244855254501961,2.15267933081996,1.49574415066075,-2.62368658795752,-0.683461824473168,-0.292153819754834,-0.81068022110492
1311,-41.02781,-71.04449,"Grassland",6.63,120.1,29.55555556,0.046696873,0.048397506,0.307609723,0.628517406,0.048110532,0.972027972,4805,314,49,513,6,13,55,0.1824,0.2729,0.2682,0.6395,1050,0.735000000000002,1559.4,1,-1.69235406855853,-0.832333361664984,0.276309280504284,1.63542515573136,-1.17782764811906,-0.0232375886226752,-0.276046589511496,-0.160557763970123
1312,-41.00444,-71.0589,"Grassland",6.75,10.5,33.55555556,0.040327038,0.037383557,0.337809472,0.650761873,0.037798022,0.991841492,4692,288,52,423,5,9,62,0.1939,0.4654,0.3086,0.4525,1131,0.685000000000002,1499.1,1,-1.69162640262013,-0.83252248144775,0.386523910000709,1.52826530069627,-1.25313280123565,0.0810083433537185,-0.369451480234767,0.0148875766938311
1480,26.59927,-103.83978,"Grassland",8.62,3850,55.66666667,0.023265688,0.082815213,0.360519683,0.319319319,0.16637854,0.892773893,4950,220,76,404,4,9,36,0.2421,0.3918,0.1712,0.2504,1125,2.22500000000001,286.5,1,0.413333677684515,-1.26274544497768,0.378359863371344,-0.626660739362467,1.06626591475522,1.70550744998585,2.90270251549515,0.984710431981955
