#################################################
##  Significant d-values from global analysis  ##
##  Sys.Date() 2024-08-01  ##
#################################################
          lc                            fns effect_mean effect_SD effect_median effect_ci_2.5 effect_ci_17 effect_ci_83 effect_ci_97.5
1   Cropland            Decomposer_richness   0.8476086 0.2439442     0.8680092    0.42233560   0.62309092  1.060789692     1.30342772
2  Grassland Arbuscularmycorrhizal_richness   0.6955426 0.4069627     0.6748566    0.09124203   0.31299805  1.063846562     1.57904547
3  Grassland                 Bac_shannonDiv  -0.5962172 0.3640051    -0.5866628   -1.23025725  -0.92257829 -0.249895056     0.09127314
4   Woodland       OM_decomposition_service  -0.5204503 0.3437917    -0.5274452   -1.05525725  -0.84316729 -0.187375019     0.14247684
5   Cropland       Ectomycorrhizal_richness   0.4292087 0.3723287     0.5080047   -0.26781588   0.00000000  0.770692628     0.99925356
6   Cropland       OM_decomposition_service  -0.4374604 0.3825633    -0.4476201   -1.04787274  -0.80078607 -0.068590522     0.29080961
7  Grassland       OM_decomposition_service   0.4704015 0.4010120     0.4464231   -0.12438616   0.08467373  0.838532185     1.29792754
8   Cropland            Soil_carbon_service  -0.4191107 0.3434254    -0.4451703   -0.93906378  -0.73624600 -0.111505107     0.35347056
9  Grassland              Fungi_JaccDist_av   0.4205512 0.3132735     0.4100027   -0.06292739   0.12674928  0.707537436     1.10411456
10 Grassland            Soil_carbon_service   0.3249815 0.3341627     0.3783113   -0.26912825  -0.03864946  0.651006935     0.84319141
11  Woodland              Nematode_richness  -0.3725539 0.3948890    -0.3766333   -1.02510125  -0.75174429  0.000000000     0.39602801
12  Cropland Arbuscularmycorrhizal_richness   0.3405746 0.3351489     0.3720569   -0.24361962   0.01172422  0.649448058     0.96277819
13  Cropland        Invertebrate_shannonDiv  -0.3606245 0.3847529    -0.3503809   -0.98683201  -0.71810296 -0.003688951     0.36034472
14  Cropland                 Fungi_richness   0.3412432 0.3919434     0.3348205   -0.27116567  -0.04280755  0.683978411     1.15938204
15  Woodland         Soil_stability_service  -0.3406601 0.3179155    -0.3311799   -0.87740757  -0.63466751 -0.047637004     0.28261062
16  Woodland               Protist_richness  -0.3050455 0.3830777    -0.3087446   -0.90282002  -0.67117032  0.058969606     0.48905508
17 Grassland            Protist_JaccDist_av   0.2963782 0.3358602     0.3002884   -0.24545618  -0.01498342  0.608229588     0.98393014
18 Grassland              Nematode_richness   0.2893779 0.3755776     0.2915823   -0.29369076  -0.08475343  0.649116851     1.04125681
19 Grassland       Invertebrate_JaccDist_av  -0.2754235 0.3401669    -0.2814585   -0.84827864  -0.60068335  0.049704294     0.36515357
20  Cropland               Pathogen_control   0.2391216 0.3851659     0.2676918   -0.42952232  -0.12000954  0.592643648     0.96013107
21  Woodland            Decomposer_richness   0.2223067 0.4041406     0.2621097   -0.46142365  -0.20018558  0.623220269     0.92529441
22  Cropland              Fungi_JaccDist_av  -0.2631238 0.3783209    -0.2555115   -0.89973050  -0.61499237  0.092213688     0.46387628
23 Grassland               Pathogen_control   0.2536056 0.3434057     0.2534005   -0.31914678  -0.06564302  0.577271969     0.93210026
24 Grassland            Decomposer_richness   0.2096674 0.3195164     0.2358769   -0.39722427  -0.09397359  0.517013146     0.74129276
25  Cropland               Fungi_shannonDiv  -0.2292175 0.3848582    -0.2336470   -0.83358413  -0.59031059  0.127961219     0.56106190
26 Grassland               Protist_richness  -0.2151194 0.3425107    -0.2299404   -0.75268763  -0.53737575  0.106626855     0.47874301
27 Grassland        Invertebrate_shannonDiv   0.2134955 0.3869357     0.1994163   -0.37623560  -0.16302630  0.568583137     1.07266219
