#################################################
##  Significant d-values from global analysis  ##
##  Sys.Date() 2025-01-07  ##
#################################################
        lc                            fns effect_mean  effect_SD effect_median effect_ci_2.5 effect_ci_17 effect_ci_83 effect_ci_97.5
1  Dryland       Ectomycorrhizal_richness  -0.8410886 0.08485918    -0.8397393    -0.9869741   -0.9216621   -0.7585731    -0.67422898
2  Dryland                   Bac_richness  -0.6220952 0.05229759    -0.6231725    -0.7084974   -0.6725211   -0.5720028    -0.51487044
3  Dryland                 Bac_shannonDiv  -0.5968408 0.04531065    -0.5987147    -0.6710369   -0.6389167   -0.5539792    -0.51002849
4  Dryland            Protist_JaccDist_av   0.5752658 0.08006574     0.5726945     0.4562105    0.4977148    0.6504780     0.74355890
5  Dryland              Nematode_richness  -0.5489304 0.07970750    -0.5494065    -0.6807215   -0.6243408   -0.4717499    -0.39411283
6  Dryland               Pathogen_control  -0.4961412 0.06913415    -0.4942729    -0.6112321   -0.5595567   -0.4313292    -0.35982713
7  Dryland               Nutrient_service  -0.4651503 0.07206570    -0.4614623    -0.5820233   -0.5352690   -0.3995420    -0.32849273
8  Dryland                Bac_JaccDist_av   0.4618891 0.05384347     0.4595084     0.3766456    0.4099134    0.5140610     0.57214352
9  Dryland        Invertebrate_shannonDiv  -0.4552231 0.08670606    -0.4541065    -0.6049425   -0.5344517   -0.3736986    -0.29369810
10 Dryland         Soil_stability_service   0.4298804 0.09258219     0.4309579     0.2806157    0.3419037    0.5185251     0.60947706
11 Dryland                 Fungi_richness  -0.4202407 0.08596955    -0.4214340    -0.5587662   -0.5007755   -0.3377994    -0.25556206
12 Dryland               Protist_richness  -0.3971379 0.09542341    -0.3942152    -0.5542321   -0.4912489   -0.3088540    -0.20645541
13 Dryland            Decomposer_richness  -0.3205598 0.07753881    -0.3219015    -0.4485489   -0.3940170   -0.2487488    -0.17276389
14 Dryland       Invertebrate_JaccDist_av   0.3003434 0.07951213     0.2973243     0.1736659    0.2234013    0.3792728     0.45727530
15 Dryland              Fungi_JaccDist_av   0.2704798 0.07341389     0.2677974     0.1511541    0.2032614    0.3386817     0.42142568
16 Dryland Arbuscularmycorrhizal_richness  -0.2455055 0.07985726    -0.2425059    -0.3748860   -0.3226002   -0.1729855    -0.08631708
