#################################################
##  Significant d-values from global analysis  ##
##  Sys.Date() 2025-01-15  ##
#################################################
          lc                            fns effect_mean effect_SD effect_median effect_ci_2.5  effect_ci_17 effect_ci_83 effect_ci_97.5
1   Cropland              Nematode_richness  -2.1327474 0.7548390    -1.9634529   -3.55822907 -2.8863293461  -1.42107447    -1.01632181
2   Cropland          Invertebrate_richness  -1.6071773 0.4983077    -1.5646064   -2.42869851 -2.0619913510  -1.12243567    -0.78500904
3  Grassland Arbuscularmycorrhizal_richness  -1.5289458 0.5246204    -1.4545455   -2.52050415 -1.9845557534  -1.08200356    -0.69282032
4   Cropland         Soil_stability_service  -1.4648890 0.4824003    -1.4231514   -2.35803019 -1.8987570193  -1.02255589    -0.64992283
5   Cropland       Invertebrate_JaccDist_av   1.4073111 0.4664524     1.3464491    0.71795912  0.9777866616   1.87132637     2.38194237
6  Grassland                 Bac_shannonDiv  -1.2390212 0.3458607    -1.2071302   -1.83439733 -1.6002422903  -0.90867946    -0.65798217
7  Grassland                   Bac_richness  -1.1425147 0.3572429    -1.1166460   -1.76449351 -1.4822037830  -0.81262832    -0.51853191
8  Grassland       Ectomycorrhizal_richness   1.0795904 0.1374294     1.0902657    0.85972695  0.9452853307   1.20885316     1.31215970
9   Cropland               Protist_richness  -1.0516603 0.4811689    -1.0619170   -1.84855895 -1.4948657462  -0.56158190    -0.18675748
10 Grassland               Nutrient_service  -1.0389142 0.3570989    -1.0173303   -1.64330644 -1.3614617963  -0.69235600    -0.42318340
11  Cropland                Bac_JaccDist_av   0.9032481 0.4367424     0.9389932    0.18672170  0.4515134741   1.33235495     1.64816236
12  Cropland                   Bac_richness  -0.9082322 0.3236070    -0.9366712   -1.37904842 -1.1901367440  -0.60367095    -0.23249748
13  Cropland                 Bac_shannonDiv  -0.8558136 0.4725717    -0.8810457   -1.55856124 -1.2616914314  -0.38750897     0.01940490
14  Cropland               Pathogen_control  -0.9379454 0.4827357    -0.8681834   -1.75714569 -1.3959142850  -0.51178318    -0.09681644
15 Grassland             Protist_shannonDiv   0.7446977 0.3380242     0.7522723    0.16753779  0.4232613476   1.03859801     1.39284774
16  Cropland            Soil_carbon_service  -0.6868702 0.4177564    -0.6835512   -1.40418657 -1.0624263612  -0.31167679     0.12149236
