LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale
Cropland,-1.4348898112691586,-35.48149278275136,18.81876348718015,Soil_carbon_service,continental
Grassland,1.7805215497821791,-25.467794630082608,24.561376598794595,Soil_carbon_service,continental
Woodland,-2.5636264849740655,-33.32322686418411,26.186475274245822,Soil_carbon_service,continental
Cropland,-0.006714364922988381,-3.2285837963685253,2.872809952509158,OM_decomposition_service,continental
Grassland,0.023334418554469494,-3.4206017169907454,3.52226070043821,OM_decomposition_service,continental
Woodland,-0.045622593755627605,-3.020628071496617,2.9170594105548844,OM_decomposition_service,continental
Cropland,0.02278489594205446,-4.9400768381710805,3.3138252271367037,Soil_stability_service,continental
Grassland,-0.004824824924412496,-4.2539725376134925,3.7869774341027096,Soil_stability_service,continental
Woodland,0.006968549499475785,-3.818799471272726,3.6858216944413584,Soil_stability_service,continental
Cropland,-0.0050515004450755185,-3.3581634707654757,3.6116303200109314,Nutrient_service,continental
Grassland,-0.00568239102994772,-3.5913802170096574,3.577865034136039,Nutrient_service,continental
Woodland,0.021777372715629184,-3.59224468769753,3.43308895785043,Nutrient_service,continental
Cropland,-0.03562209044980591,-2.4846332117461998,1.9841916316192396,Pathogen_control,continental
Grassland,0.008485367802029131,-2.1691797182635355,2.277232420057885,Pathogen_control,continental
Woodland,8.50178906343757e-4,-2.156628088498337,1.9503161863277683,Pathogen_control,continental
Cropland,-2.8492229908588342,-517.6910073133186,495.4256753537338,Bac_richness,continental
Grassland,-15.052390099488548,-521.507214859419,537.54345442855265,Bac_richness,continental
Woodland,45.690930721815675,-408.8839308702445,590.9430518327863,Bac_richness,continental
Cropland,0.47603233164409176,-179.5422046928934,173.4779489642824,Fungi_richness,continental
Grassland,1.7475815120160405,-184.62424365053084,174.1897021843688,Fungi_richness,continental
Woodland,-0.5009222514645444,-179.98152299261164,167.28149165840296,Fungi_richness,continental
Cropland,-2.5189089125001374,-38.63290791601503,21.584510470353052,Invertebrate_richness,continental
Grassland,-0.4537444920515554,-29.54326492067952,29.97421567946003,Invertebrate_richness,continental
Woodland,1.488033938643639,-28.16433806958139,26.98005754992846,Invertebrate_richness,continental
Cropland,-0.6133438046508672,-183.94769915195866,184.20511541020824,Protist_richness,continental
Grassland,-4.406344611939858,-179.9121963903326,171.03744785706294,Protist_richness,continental
Woodland,4.433063408247108,-169.90133424990563,161.45712733372784,Protist_richness,continental
Cropland,-0.08246436016975167,-13.015730112463586,22.365676723265096,Nematode_richness,continental
Grassland,0.15160945988645835,-16.510482060039067,21.54011495071495,Nematode_richness,continental
Woodland,-0.08300840538686316,-16.234458064685583,15.837416531696363,Nematode_richness,continental
Cropland,-7.643434265105498e-4,-3.7903935224792917,4.098191001694431,Bac_shannonDiv,continental
Grassland,-0.013528219162793675,-3.9641665245235345,4.120546893270102,Bac_shannonDiv,continental
Woodland,0.04664429179382523,-3.9342158884687617,3.877868248687264,Bac_shannonDiv,continental
Cropland,-0.04903209318251811,-3.4227729917259992,3.2550330810959167,Fungi_shannonDiv,continental
Grassland,-0.004163955724209245,-3.033465152773033,3.734341152790421,Fungi_shannonDiv,continental
Woodland,-0.02186530517627716,-3.1726305904032372,3.1036806144913953,Fungi_shannonDiv,continental
Cropland,-0.07091588300235685,-7.250622877887679,3.432030246088061,Invertebrate_shannonDiv,continental
Grassland,0.05347476589192013,-4.053705106876237,4.5479050637404725,Invertebrate_shannonDiv,continental
Woodland,0.0979907971146865,-4.288561761704102,4.29971848739882,Invertebrate_shannonDiv,continental
Cropland,-0.052422247693769464,-3.0232543262808065,3.2121460605476386,Protist_shannonDiv,continental
Grassland,0.07638905571693044,-3.531982312765109,3.08751371924086,Protist_shannonDiv,continental
Woodland,-0.15164396828851068,-7.46262409968142,2.3414152155191914,Protist_shannonDiv,continental
Cropland,-0.9146431035057958,-9.890149220995,3.912568992447632,Ectomycorrhizal_richness,continental
Grassland,-0.8009062863396252,-8.833006708173684,4.986009097897295,Ectomycorrhizal_richness,continental
Woodland,-0.9201152346224717,-10.738897906371392,3.660989551707644,Ectomycorrhizal_richness,continental
Cropland,0.11490096246507164,-7.127933314722895,8.753069676231007,Arbuscularmycorrhizal_richness,continental
Grassland,0.02431881609032871,-8.399518442652266,6.072851523751524,Arbuscularmycorrhizal_richness,continental
Woodland,-0.2239064581653878,-8.31313790598324,5.694080939158994,Arbuscularmycorrhizal_richness,continental
Cropland,1.1001421164228304,-16.989355900168448,15.17820849026566,Decomposer_richness,continental
Grassland,0.5424931493325857,-18.23465607897151,15.790468465853337,Decomposer_richness,continental
Woodland,-2.057225252657645,-17.754040138797336,13.200791484802721,Decomposer_richness,continental
Cropland,-0.05885241286213727,-1.8437252655537577,2.0702356424982327,Bac_JaccDist_av,continental
Grassland,-0.013506983632799674,-2.9500711010377927,3.2945540158543736,Bac_JaccDist_av,continental
Woodland,-0.2841418771122477,-2.474736564880459,1.5888906279837016,Bac_JaccDist_av,continental
Cropland,0.05310207279417334,-1.0938218783687716,0.9587934118885073,Fungi_JaccDist_av,continental
Grassland,0.13608487419263327,-0.5341189539219044,1.109564486553495,Fungi_JaccDist_av,continental
Woodland,-0.0736809016861173,-3.329433361357701,1.2078489390723917,Fungi_JaccDist_av,continental
Cropland,-0.35617798859170335,-1.3462971204375833,0.18990066829047691,Protist_JaccDist_av,continental
Grassland,-0.22333957955197548,-1.4701033571520554,0.6867086081745128,Protist_JaccDist_av,continental
Woodland,-0.08007742663061101,-2.235391256926391,1.298113681839368,Protist_JaccDist_av,continental
Cropland,0.021414066148153665,-0.8676110812701978,0.852837254755741,Invertebrate_JaccDist_av,continental
Grassland,-0.06018725622762844,-1.2724198731841057,0.5818789769576256,Invertebrate_JaccDist_av,continental
Woodland,-0.06537511290986231,-1.797683568499906,0.5436116262816313,Invertebrate_JaccDist_av,continental
