LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale
Cropland,-0.21774569347256545,-4.341042343801746,3.929019834343194,Soil_carbon_service,regional
Grassland,0.32344368810316837,-4.2211682200863265,5.27159132598149,Soil_carbon_service,regional
Woodland,-0.21608212395824467,-4.99853571232876,3.470714363090792,Soil_carbon_service,regional
Cropland,-0.008470195774842537,-3.148871744702774,3.101010444546091,OM_decomposition_service,regional
Grassland,0.14027340706963898,-3.236238254154273,3.356401576441158,OM_decomposition_service,regional
Woodland,0.02631953965619971,-2.9734622722910444,2.8079531296673395,OM_decomposition_service,regional
Cropland,-0.09648433235924614,-3.2250820713808253,3.416161127674968,Soil_stability_service,regional
Grassland,0.052060996850627816,-3.3886968266951953,3.7647800055367497,Soil_stability_service,regional
Woodland,-0.0037139412458202514,-2.9095374072580853,3.0935394298132906,Soil_stability_service,regional
Cropland,-0.23797517907219845,-3.6753703871358994,2.1330230700330617,Nutrient_service,regional
Grassland,0.16562524696952963,-2.21679154207618,5.269882418763984,Nutrient_service,regional
Woodland,0.09005148791457174,-2.1532748689630807,2.9582468470665617,Nutrient_service,regional
Cropland,0.04386432432743703,-0.8874563545119827,1.0321539637002957,Pathogen_control,regional
Grassland,0.01650305212935166,-1.5847438760177965,2.0136193104445965,Pathogen_control,regional
Woodland,0.010939062070569605,-1.1704050295285242,1.0033811007536855,Pathogen_control,regional
Cropland,-35.83422832840006,-788.0210085704457,781.002893882338,Bac_richness,regional
Grassland,-49.413669202738674,-959.6242258635757,858.2132078104769,Bac_richness,regional
Woodland,29.450468539929716,-706.627777989459,762.7250040443032,Bac_richness,regional
Cropland,0.5689549296948826,-58.84312215459249,47.97700907523904,Fungi_richness,regional
Grassland,0.9097132512324606,-70.84086218368702,86.71605598663155,Fungi_richness,regional
Woodland,2.2946671631543722,-46.90850883932035,49.11409264180111,Fungi_richness,regional
Cropland,-1.5041861130282541,-23.314870781204718,15.349780642176484,Invertebrate_richness,regional
Grassland,1.1625120412527394,-21.270904371040615,24.232148632539975,Invertebrate_richness,regional
Woodland,-0.05017453218533774,-17.43652727634705,16.700451785354744,Invertebrate_richness,regional
Cropland,11.540267634267366,-181.5633681676518,244.28698062640615,Protist_richness,regional
Grassland,16.23216296486862,-228.20692669779964,206.79356883589935,Protist_richness,regional
Woodland,-23.40993135428289,-360.7457410695497,138.6352853004646,Protist_richness,regional
