LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale
Cropland,-0.15604315642002575,-0.8108326090239188,0.4667044524026096,Soil_carbon_service,regional
Grassland,0.3700705725589728,-0.1822170100265339,0.9020148833247958,Soil_carbon_service,regional
Woodland,0.03771038507522917,-0.3121555513079102,0.4023965124904407,Soil_carbon_service,regional
Cropland,-0.012355964482782866,-0.13652287933760832,0.11221762929265111,OM_decomposition_service,regional
Grassland,0.14921395757191647,0.044138062536788425,0.2532781222588021,OM_decomposition_service,regional
Woodland,0.052037482674090585,-0.01949876280495788,0.12038687272936599,OM_decomposition_service,regional
Cropland,-0.17724770377876098,-0.3161250389128156,-0.050280214830081604,Soil_stability_service,regional
Grassland,0.0391908587185843,-0.07708381920734553,0.1522931786875361,Soil_stability_service,regional
Woodland,0.025918001990808293,-0.051248569838236335,0.09835404992652741,Soil_stability_service,regional
Cropland,0.005956953752425775,-0.09008325335530643,0.10258001962047558,Nutrient_service,regional
Grassland,-0.015223682008560724,-0.09618252413663164,0.06604953735636965,Nutrient_service,regional
Woodland,-0.016878404498806177,-0.07130596209925244,0.035809310045546994,Nutrient_service,regional
Cropland,-0.0011072430570990832,-0.00286921225327319,6.98808460825262e-4,Pathogen_control,regional
Grassland,1.7426250916940944e-4,-0.001344186037940176,0.0017131764118403225,Pathogen_control,regional
Woodland,7.137489675130837e-4,-2.657503542593531e-4,0.0017239495184497855,Pathogen_control,regional
Cropland,-63.92804905588855,-139.31829865742475,9.069883672404103,Bac_richness,regional
Grassland,-52.039621576695936,-115.69499366747914,9.907481358095538,Bac_richness,regional
Woodland,0.5657500449742656,-41.291903976292815,41.148629472765606,Bac_richness,regional
Cropland,-1.3145795415439352,-6.841169333696598,4.460721512652526,Fungi_richness,regional
Grassland,0.8373377351053932,-4.086940524644888,5.579386427274585,Fungi_richness,regional
Woodland,1.769435929318206,-1.3935997069529549,4.991077884827973,Fungi_richness,regional
Cropland,-2.2018589133504065,-4.252186831041854,-0.22104982656355787,Invertebrate_richness,regional
Grassland,1.087551574770714,-0.6989216833071623,2.7440136672212248,Invertebrate_richness,regional
Woodland,0.3553558923599667,-0.8012935786518938,1.458374236047348,Invertebrate_richness,regional
Cropland,-11.701175275265996,-25.88609291715693,1.8133174987742677,Protist_richness,regional
Grassland,-4.129049247756484,-15.923522880366363,7.706313597096596,Protist_richness,regional
Woodland,-5.967730772912546,-14.06322889400326,1.4410921306625823,Protist_richness,regional
Cropland,-1.5044754818209185,-2.725958081848148,-0.31714644555495397,Nematode_richness,regional
Grassland,0.690839678763723,-0.3252046952238743,1.7065543735307074,Nematode_richness,regional
Woodland,0.17883539413242033,-0.4740127522577495,0.8614998233642837,Nematode_richness,regional
Cropland,-0.02752248463190199,-0.07348767857320126,0.01791360444019574,Bac_shannonDiv,regional
Grassland,-0.040850296956307375,-0.0795490831275174,-0.0021776577026457744,Bac_shannonDiv,regional
Woodland,-0.002768262926508669,-0.02868253712324531,0.022467353630759135,Bac_shannonDiv,regional
Cropland,0.011996169710926097,-0.03851571385439456,0.061465507431535116,Fungi_shannonDiv,regional
Grassland,-2.4047361500834086e-4,-0.04149205360999986,0.044410562901305184,Fungi_shannonDiv,regional
Woodland,0.007686381174522694,-0.02122533716919861,0.035718552785965585,Fungi_shannonDiv,regional
Cropland,-0.044171318018925376,-0.13075090289055424,0.04220956870580039,Invertebrate_shannonDiv,regional
Grassland,0.0057521639169237915,-0.0691425001171524,0.0801574846681774,Invertebrate_shannonDiv,regional
Woodland,0.01411596118330749,-0.035509959424643966,0.06180574940117367,Invertebrate_shannonDiv,regional
Cropland,-0.02162548957829813,-0.13621850053516482,0.09483755068936262,Protist_shannonDiv,regional
Grassland,0.005305167822939438,-0.0924619356784433,0.10214343162601836,Protist_shannonDiv,regional
Woodland,0.02868253225682338,-0.03473087429699717,0.09351878787458645,Protist_shannonDiv,regional
Cropland,0.006997905257378534,-0.4118803678812526,0.42124427823549127,Ectomycorrhizal_richness,regional
Grassland,0.4194168679789527,0.07605890070533405,0.7775193105445055,Ectomycorrhizal_richness,regional
Woodland,0.37280093911346057,0.13793652437163928,0.5988877844237095,Ectomycorrhizal_richness,regional
Cropland,-0.11309957169864049,-0.3467321044867617,0.11433343619555103,Arbuscularmycorrhizal_richness,regional
Grassland,-0.20725792959689215,-0.40612568308495156,-0.013692591237997931,Arbuscularmycorrhizal_richness,regional
Woodland,-0.040180254819532024,-0.16881066246355658,0.08842327025348595,Arbuscularmycorrhizal_richness,regional
Cropland,0.14847119177113655,-0.5066415719727502,0.7882369577330337,Decomposer_richness,regional
Grassland,0.37972486778073744,-0.17339071088190394,0.924102830839729,Decomposer_richness,regional
Woodland,0.23811963298385308,-0.11712766843743339,0.5937788161591016,Decomposer_richness,regional
Cropland,0.0016007946328784328,-0.0024503956414321237,0.005485118300057934,Bac_JaccDist_av,regional
Grassland,-3.3139021816452896e-5,-0.003439614161621307,0.0032620598514796484,Bac_JaccDist_av,regional
Woodland,-0.0018342299552429608,-0.00397349158569682,4.569479557545719e-4,Bac_JaccDist_av,regional
