PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
3,11.026881866405201,6.694718641841465,15.058431438017262,Soil_carbon_service,regional
5,5.719466284520073,-2.7030496768039156,14.849542375111564,Soil_carbon_service,regional
6,4.621717776493847,1.5481248124983171,7.348609618639468,Soil_carbon_service,regional
8,4.651872821210373,1.5120365358990928,7.407730471415675,Soil_carbon_service,regional
Unprotected,5.843018920770524,2.894282192169067,8.214110589137821,Soil_carbon_service,regional
3,1.3458877224474173,-1.0347722817871965,3.428082136169548,OM_decomposition_service,regional
5,-0.7375868155335656,-3.0650422091637175,1.686380936898052,OM_decomposition_service,regional
6,0.09291657020917664,-2.0398429556163866,2.1150577154858428,OM_decomposition_service,regional
8,-0.053687236187429425,-2.5473367263371602,1.5808556234315432,OM_decomposition_service,regional
Unprotected,-0.008792844550140289,-2.1705630176193837,1.9846524299167627,OM_decomposition_service,regional
3,0.8052234412441052,-2.6303668066982957,3.1820474907399365,Soil_stability_service,regional
5,1.2438208903211119,-2.339111475798288,3.6301691759562877,Soil_stability_service,regional
6,-0.2295911008936511,-4.079705784206592,1.2499712040704756,Soil_stability_service,regional
8,-0.03382246328572666,-4.021647969572482,1.5050637727251006,Soil_stability_service,regional
Unprotected,0.1565867286362779,-3.579054415608076,1.6534133589724278,Soil_stability_service,regional
3,-0.09802902571536816,-2.0566520259275975,1.609374543469476,Nutrient_service,regional
5,-0.3679585941785359,-2.610901608178157,1.6766109272260203,Nutrient_service,regional
6,-0.04587000007523062,-1.8841668976035857,1.6430086886182613,Nutrient_service,regional
8,-0.009689869422941186,-1.8062275522575426,1.6695894803036253,Nutrient_service,regional
Unprotected,-0.045899308443565386,-1.8172849159302238,1.6619993338166719,Nutrient_service,regional
3,0.9786920958158747,-0.0422339772095178,2.1136414485720123,Pathogen_control,regional
5,0.9975702234828767,-0.020865423912456993,2.1345422245069927,Pathogen_control,regional
6,0.9751250166487886,-0.08634015957275365,2.070301538555547,Pathogen_control,regional
8,0.9787623662043192,-0.03657277727192268,2.120868254468478,Pathogen_control,regional
Unprotected,0.9772051239172219,-0.0846090565519098,2.071772667602761,Pathogen_control,regional
3,2855.1461155520856,2288.613012816505,3477.306727813526,Bac_richness,regional
5,2941.5898071574284,1787.709478216305,4075.2252059595953,Bac_richness,regional
6,2971.4818708420244,2532.4432610245713,3634.03060874696,Bac_richness,regional
8,3076.264604250569,2655.1420479652097,3714.3912638857137,Bac_richness,regional
Unprotected,3033.299257983444,2653.3938599220137,3708.192686797107,Bac_richness,regional
3,228.9432646147377,180.8839032145574,276.9395886084447,Fungi_richness,regional
5,159.01651615862747,76.64360728211392,247.36068417780467,Fungi_richness,regional
6,181.20339779979219,141.71162629632832,227.13228477110135,Fungi_richness,regional
8,177.93107410980042,137.57944123222788,219.75851514329938,Fungi_richness,regional
Unprotected,181.78574431661337,140.02974798543664,221.65816324946297,Fungi_richness,regional
3,48.67812603226949,20.498090608862167,63.20021540921489,Invertebrate_richness,regional
5,42.23971491869071,13.857019076649399,74.25548516766925,Invertebrate_richness,regional
6,37.14010942385464,16.031527023444998,48.161428698011264,Invertebrate_richness,regional
8,39.77440862483009,17.097225161616716,50.50405372358413,Invertebrate_richness,regional
Unprotected,40.86564240078583,18.68669480114487,51.15080924038706,Invertebrate_richness,regional
3,306.512466190379,173.20426116501096,467.29883202644714,Protist_richness,regional
5,229.61182797228867,38.44963390010621,439.60817142496455,Protist_richness,regional
