PA_rank,emmean,lower.HPD,upper.HPD,fns,scale
3,11.244196073284245,7.739154428882836,14.684110465847661,Soil_carbon_service,regional
5,5.924627608521014,-2.581730052729624,14.607824614720151,Soil_carbon_service,regional
6,4.817028722659028,3.2904426280296195,6.268589906263757,Soil_carbon_service,regional
8,4.819590823526362,3.313165724562742,6.376328244870603,Soil_carbon_service,regional
Unprotected,5.98450893233238,5.345462471186319,6.599466430555964,Soil_carbon_service,regional
3,1.3798099087902336,0.6316193963427714,2.0830424279678215,OM_decomposition_service,regional
5,-0.6207414662187507,-2.443927419236198,1.0910365269363718,OM_decomposition_service,regional
6,0.13332132936660282,-0.1679642473087076,0.45418612257103785,OM_decomposition_service,regional
8,-4.566741955261376e-4,-0.31882850260552364,0.32338727712689685,OM_decomposition_service,regional
Unprotected,0.022428368222774345,-0.10917697367015125,0.14966341330624955,OM_decomposition_service,regional
3,0.8043915855827881,0.04419810977359029,1.5475690149898647,Soil_stability_service,regional
5,1.284946885438608,-0.5435113485510975,3.1535813067869967,Soil_stability_service,regional
6,-0.23597770206899923,-0.5522804758736282,0.0833254873446516,Soil_stability_service,regional
8,-0.038846805790003006,-0.371683546574173,0.28779681461174145,Soil_stability_service,regional
Unprotected,0.15467416903691356,0.021109713738785035,0.2878219649505662,Soil_stability_service,regional
3,-0.09045540254326305,-0.6344892948713379,0.46178258798539945,Nutrient_service,regional
5,-0.3589899478150832,-1.735010338843459,0.9413720266172714,Nutrient_service,regional
6,-0.03485617141079233,-0.2595795023817838,0.20070241537578357,Nutrient_service,regional
8,-0.0021099719952524243,-0.2426778541394465,0.24234649063849126,Nutrient_service,regional
Unprotected,-0.038617040108504815,-0.1378253899751952,0.058622560771556725,Nutrient_service,regional
3,0.967979729690735,0.958251463565625,0.9772821313712657,Pathogen_control,regional
5,0.9851666656800886,0.9627576362512458,1.0086603372763887,Pathogen_control,regional
6,0.96446723289484515,0.9605890115224783,0.9685224073546783,Pathogen_control,regional
8,0.9683593513285271,0.9641462137271787,0.9724672433654604,Pathogen_control,regional
