#################################################
##  Significant d-values from global analysis  ##
##  Sys.Date() 2024-08-05  ##
#################################################
          lc                            fns effect_mean effect_SD effect_median effect_ci_2.5 effect_ci_17 effect_ci_83 effect_ci_97.5
1   Woodland                   Bac_richness  -1.5928460 0.4123587    -1.6381356   -2.19912355   -2.0135678  -1.10930973   -0.849731014
2   Woodland                 Bac_shannonDiv  -1.5961952 0.2399627    -1.6141166   -1.96049176   -1.8341368  -1.33445093   -1.126963031
3   Woodland                 Fungi_richness  -1.5371744 0.3926531    -1.5082593   -2.26373878   -1.8852620  -1.17031404   -0.846604961
4   Woodland       Ectomycorrhizal_richness  -1.4747272 0.3175068    -1.4379784   -2.02248875   -1.7651161  -1.18923943   -0.978633959
5  Grassland                   Bac_richness   1.4923399 0.4655162     1.4173087    0.83749821    1.0601234   1.94564960    2.525553364
6   Woodland                Bac_JaccDist_av   1.1137195 0.1630572     1.1095171    0.84805225    0.9517840   1.26545629    1.431807322
7  Grassland                 Bac_shannonDiv   1.0125323 0.4103005     0.9684580    0.44846645    0.6546216   1.36049296    1.991410448
8  Shrubland                Bac_JaccDist_av  -0.9759249 0.4904453    -0.9194233   -1.85090603   -1.3839705  -0.52907906   -0.188384064
9   Woodland               Nutrient_service  -0.9275101 0.2868377    -0.9143366   -1.40643842   -1.1866989  -0.65271927   -0.434350194
10 Shrubland                   Bac_richness   0.8941639 0.4288128     0.8478211    0.28472124    0.5040522   1.26813216    1.877283047
11  Woodland       Invertebrate_JaccDist_av   0.8559695 0.3668369     0.8440489    0.29489663    0.5157865   1.20489786    1.641929814
12  Woodland            Protist_JaccDist_av   0.8511218 0.4183034     0.8412736    0.22237500    0.4127651   1.26278856    1.685995143
13  Woodland              Nematode_richness  -0.8256538 0.3492248    -0.8027744   -1.41571083   -1.1384068  -0.51426673   -0.181953475
14  Woodland            Decomposer_richness  -0.7389632 0.2477340    -0.7404166   -1.14461944   -0.9681907  -0.50604076   -0.256869159
15  Woodland              Fungi_JaccDist_av   0.7468107 0.4017797     0.7175027    0.13233494    0.3708413   1.13099036    1.670401223
16  Woodland Arbuscularmycorrhizal_richness  -0.6999413 0.2543872    -0.6867641   -1.12017570   -0.9393583  -0.45462876   -0.227918927
17  Woodland             Protist_shannonDiv   0.6736217 0.3181357     0.6772884    0.15847328    0.4014261   0.96750641    1.298832945
18 Shrubland         Soil_stability_service   0.6203682 0.3382972     0.6098518    0.06451887    0.2974261   0.95256942    1.278403257
19  Woodland       OM_decomposition_service  -0.6012408 0.2437121    -0.6004511   -1.01075470   -0.8171792  -0.36650708   -0.135356185
20  Woodland            Soil_carbon_service  -0.5875358 0.2502679    -0.5969534   -0.95685622   -0.8147548  -0.38405098   -0.003198825
21  Woodland        Invertebrate_shannonDiv  -0.5695590 0.2865199    -0.5778553   -1.05138330   -0.8431768  -0.26770383   -0.060793496
22 Shrubland            Soil_carbon_service  -0.5672946 0.3621345    -0.5551605   -1.16652359   -0.9102955  -0.23039878    0.129228197
23  Woodland               Pathogen_control  -0.5433157 0.2008539    -0.5547692   -0.85770715   -0.7440856  -0.34695510   -0.150998988
24 Shrubland                 Bac_shannonDiv   0.5426585 0.3930487     0.5095866   -0.04021482    0.1891146   0.90071007    1.426943461
25 Grassland         Soil_stability_service   0.3966873 0.2301701     0.4023232    0.01799901    0.1747157   0.60470706    0.834452134
26  Woodland         Soil_stability_service  -0.4188586 0.3690401    -0.3952009   -1.06978798   -0.7495721  -0.08924892    0.255681301
27  Woodland          Invertebrate_richness  -0.3526819 0.3018086    -0.3543570   -0.84375840   -0.6354932  -0.07716113    0.265325579
28 Shrubland               Nutrient_service   0.2244536 0.3504643     0.2162704   -0.33268580   -0.1008412   0.55151114    0.888336537
29 Grassland       OM_decomposition_service  -0.2255303 0.3098555    -0.2081475   -0.74465213   -0.4970166   0.05045274    0.326116571
30  Woodland               Fungi_shannonDiv  -0.2596673 0.4162775    -0.1673143   -1.01118174   -0.7089861   0.13977334    0.361889169
