Longitude,Latitude,SampleID,PA,LC
-69.676417,-41.807778,172,0,Grassland
-70.080944,-41.253333,174,0,Grassland
-70.524528,-41.0335,175,0,Grassland
119.177417,49.262694,187,0,Grassland
118.403778,49.494333,188,0,Grassland
117.272139,49.525333,189,0,Grassland
116.994528,49.031528,190,0,Grassland
116.786556,48.609778,191,0,Grassland
116.015833,48.223083,192,0,Grassland
-101.055406,23.254883,201,0,Grassland
-102.455579,22.352438,204,0,Grassland
-2.372904,34.159182,206,0,Grassland
-2.192604,34.430867,207,0,Grassland
-3.373502,33.976574,208,0,Grassland
-3.638859,34.473045,209,0,Grassland
-3.558751,33.932621,211,0,Grassland
-3.464915,34.625548,213,0,Grassland
-2.2306,39.048208,214,0,Grassland
-2.900725,40.068228,215,0,Grassland
-3.419164,40.208781,216,0,Grassland
-1.673747,37.821156,218,0,Grassland
-2.514767,39.207539,219,0,Grassland
-1.199478,38.588606,220,0,Grassland
-2.877436,40.354792,221,0,Grassland
8.673783,35.167767,234,0,Grassland
9.97436,33.52157,235,0,Grassland
9.116646,35.160036,236,0,Grassland
9.717897,34.956452,237,0,Grassland
10.498595,32.98347,238,0,Grassland
-69.33351517,-51.49185842,1013,0,Grassland
-69.32009339,-51.4920655,1014,0,Grassland
-69.30677892,-51.49359519,1015,0,Grassland
60.38364,36.61167,1100,0,Grassland
-110.84397,31.83848,1255,0,Grassland
-2.422588,33.052487,205,0,Grassland
-2.728708,33.06768,212,0,Grassland
3.23955,35.26881,1003,0,Grassland
-3.618947,39.992036,217,0,Grassland
20.91549,47.48124,1086,0,Grassland
-1.999301,34.309672,210,1,Grassland
-2.16247,36.74469,1225,1,Grassland
-2.16335,36.7463,1226,1,Grassland
9.647121,34.494253,233,1,Grassland
21.14358,47.64005,1081,1,Grassland
21.14198,47.62921,1082,1,Grassland
21.12539,47.60451,1083,1,Grassland
20.9167,47.47921,1084,1,Grassland
20.89312,47.45608,1085,1,Grassland
15.56169,-22.95814,1149,1,Grassland
15.54695,-22.95741,1150,1,Grassland
15.76662,-24.33415,1152,1,Grassland
15.75855,-24.32231,1153,1,Grassland
-2.48565,37.11946,1232,1,Grassland
-103.85282,26.59797,1123,1,Grassland
-71.244902,-29.311377,183,0,Shrubland
-71.250724,-29.749902,184,0,Shrubland
-71.585444,-31.199813,186,0,Shrubland
56.560944,37.371111,194,0,Shrubland
58.109556,37.429083,195,0,Shrubland
34.820866,31.35779,196,0,Shrubland
-99.655561,22.246529,197,0,Shrubland
-99.894557,22.64831,200,0,Shrubland
-101.273809,23.204697,202,0,Shrubland
-101.248559,23.737999,203,0,Shrubland
-1.717695,38.791855,222,0,Shrubland
-1.836988,37.721332,223,0,Shrubland
-1.784601,37.726728,224,0,Shrubland
-0.963246,38.308579,225,0,Shrubland
-3.388677,40.36936,226,0,Shrubland
-1.232379,37.593066,227,0,Shrubland
-1.802287,39.538668,228,0,Shrubland
-1.527039,38.065532,229,0,Shrubland
-2.345141,39.127509,230,0,Shrubland
-2.879354,40.018028,231,0,Shrubland
-2.039614,37.6339,232,0,Shrubland
-112.552224,37.113448,239,0,Shrubland
-109.710268,38.173514,240,0,Shrubland
-109.910049,37.581928,241,0,Shrubland
-111.696845,37.086092,242,0,Shrubland
-112.02167,37.507278,243,0,Shrubland
-109.413583,37.730413,244,0,Shrubland
-110.51668600000001,38.003108,245,0,Shrubland
-66.39181,-27.59989,1016,0,Shrubland
-66.39864,-27.59703,1017,0,Shrubland
-66.40858,-27.59494,1018,0,Shrubland
141.70068,-31.0827,1034,0,Shrubland
90.97402,43.98449,1066,0,Shrubland
90.97385,43.97099,1067,0,Shrubland
90.81653,43.96438,1068,0,Shrubland
56.11681,37.4932,1087,0,Shrubland
56.11515,37.49119,1088,0,Shrubland
60.37983,36.60317,1101,0,Shrubland
110.16869,44.86254,1132,0,Shrubland
-8.51733,38.10661,1179,0,Shrubland
-3.62668,40.18425,1206,0,Shrubland
-3.62409,40.18608,1207,0,Shrubland
-0.59221,41.77076,1222,0,Shrubland
-103.91078,29.47739,1248,0,Shrubland
3.22381,35.26746,1001,0,Shrubland
3.05913,34.93281,1005,0,Shrubland
3.06564,34.93471,1006,0,Shrubland
55.87783,37.51213,1090,0,Shrubland
-100.943528,23.601688,198,0,Shrubland
-100.420636,22.644511,199,0,Shrubland
35.21579,31.55444,1165,0,Shrubland
-4.41092,39.73394,1213,0,Shrubland
-4.41244,39.73596,1214,0,Shrubland
-4.41407,39.73832,1215,0,Shrubland
-3.6148,40.18089,1208,1,Shrubland
-111.6104,36.96982,1245,1,Shrubland
-111.6219,36.97043,1246,1,Shrubland
58.6695,36.696167,193,1,Shrubland
58.66186,36.69489,1093,1,Shrubland
58.66581,36.69303,1094,1,Shrubland
-2.15989,36.73875,1223,1,Shrubland
-2.16047,36.74239,1224,1,Shrubland
-71.663635,-30.662263,185,1,Shrubland
-115.811803,33.750666,248,1,Shrubland
-120.4274,50.74388,1052,1,Shrubland
-120.42911,50.74152,1053,1,Shrubland
-120.4322,50.73844,1054,1,Shrubland
56.10868,37.48745,1089,1,Shrubland
55.87976,37.50846,1092,1,Shrubland
15.77173,-24.34024,1151,1,Shrubland
-2.47328,37.11645,1231,1,Shrubland
-2.49928,37.1226,1233,1,Shrubland
-111.856829,36.685466,246,1,Shrubland
-115.79572,33.754262,247,1,Shrubland
-103.86538,26.59771,1122,1,Shrubland
142.481679,-34.24777,177,0,Woodland
142.508839,-34.018527,178,0,Woodland
142.460103,-33.960183,179,0,Woodland
146.309722,-31.556111,181,0,Woodland
56.75472,37.41242,1097,0,Woodland
56.768,37.41519,1098,0,Woodland
56.77344,37.41547,1099,0,Woodland
34.886,31.65,1104,0,Woodland
34.883,31.632,1107,0,Woodland
18.46941,-23.25335,1137,0,Woodland
18.46659,-23.2529,1138,0,Woodland
18.46352,-23.25237,1139,0,Woodland
19.13877,-21.9806,1140,0,Woodland
19.14229,-21.98445,1141,0,Woodland
19.14349,-21.9896,1142,0,Woodland
18.91422,-19.06835,1143,0,Woodland
18.91669,-19.07036,1144,0,Woodland
18.92027,-19.07367,1145,0,Woodland
-8.32043,38.70364,1169,0,Woodland
-8.31967,38.70527,1170,0,Woodland
-8.31899,38.7083,1171,0,Woodland
-8.51801,38.10917,1178,0,Woodland
27.28013,-24.15138,1187,0,Woodland
27.2781,-24.14875,1188,0,Woodland
27.27751,-24.14367,1189,0,Woodland
-3.76257,37.61938,1227,0,Woodland
-3.75703,37.61767,1228,0,Woodland
-3.75035,37.61573,1229,0,Woodland
-3.74291,37.61469,1230,0,Woodland
29.56172,-23.14474,1202,0,Woodland
29.56416,-23.14224,1203,0,Woodland
29.56275,-23.13721,1204,0,Woodland
37.62736,0.68808,1116,0,Woodland
37.61069,0.68808,1117,0,Woodland
-6.99667,38.07486,1166,0,Woodland
-6.99596,38.07808,1167,0,Woodland
-7.00648,38.08376,1168,0,Woodland
-8.07378,37.58968,1172,0,Woodland
-8.05996,37.58949,1174,0,Woodland
-8.85405,38.84673,1176,0,Woodland
-8.85658,38.8468,1177,0,Woodland
31.24022,-23.85603,1199,0,Woodland
31.22651,-23.84789,1200,0,Woodland
31.21243,-23.83262,1201,0,Woodland
-5.94283,39.76372,1209,0,Woodland
-5.93981,39.75716,1210,0,Woodland
-5.93905,39.75359,1211,0,Woodland
-43.32825,-10.85045,1043,1,Woodland
-43.34457,-10.86147,1044,1,Woodland
-43.35452,-10.84101,1045,1,Woodland
-41.34035,-9.62727,1046,1,Woodland
-41.33944,-9.64365,1047,1,Woodland
-41.35261,-9.62211,1048,1,Woodland
142.686154,-33.931135,180,1,Woodland
58.66592,36.69568,1095,1,Woodland
58.6672,36.69578,1096,1,Woodland
142.556909,-34.204296,176,1,Woodland
