"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"1","Grassland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",NA,NA,NA,-2.19114955300554,-1.69362105375935,-0.468121431703202,0.0624917529901651
"2","Grassland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.0786377294787296,0.344312746387947,-0.0645843792007102,-0.651477734769997,-0.400931540178788,0.234248376919414,0.609561696509472
"3","Grassland","Bac_richness","Bacterial Richness","Richness","Bacteria",1.49233992299831,0.465516192974758,1.41730865999302,0.837498207670339,1.06012339471786,1.94564960192197,2.525553364139
"4","Grassland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",1.01253233493575,0.410300468451335,0.968457961631789,0.448466450325575,0.654621597527028,1.36049295747314,1.99141044822008
"5","Grassland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",NA,NA,NA,-2.39412016237956,-1.47074286597146,0.234126305091846,0.763147712244757
"6","Grassland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",NA,NA,NA,-0.196936132312755,0.035183480403778,0.759296276653788,1.01944517312487
"7","Grassland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",NA,NA,NA,-0.0743373614825207,0.281579114523966,1.21832796318348,1.99838243618185
"8","Grassland","Fungi_richness","Fungal Richness","Richness","Fungi",NA,NA,NA,-1.31378936472873,-0.817407051424069,0.383759978529441,0.678779166501854
"9","Grassland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",NA,NA,NA,-0.959113335376941,-0.745145593460196,-0.109406107999058,0.21958497655823
"10","Grassland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",NA,NA,NA,-2.91656605821122,-1.22832436919124,0.929486909597908,1.90369818692659
"11","Grassland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",NA,NA,NA,-0.881119433121774,-0.525596725746828,0.599982563871887,1.43078534590026
"12","Grassland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",NA,NA,NA,-1.43518536672343,-1.17934734755338,0.198632472007508,0.836257987205351
"13","Grassland","Nematode_richness","Nematode Richness","Richness","Nematodes",NA,NA,NA,-1.55318069450821,-1.12314691186944,0.196277845868328,0.944717651539957
"14","Grassland","Nutrient_service","Nutrient cycling","Function","Function",0.0850711879949927,0.271052151764541,0.0894061244781285,-0.37157877249253,-0.162504143253853,0.34600440333797,0.590524697771244
