lc,fns,value_mean,value_median,value_ci_2.5,value_ci_17,value_ci_83,value_ci_97.5
Grassland,Bac_JaccDist_av,0.8779403043200474,0.8790717959071285,0.8597682764512433,0.8670978619095551,0.887709490494832,0.8988353483686958
Grassland,Bac_richness,3391.606805904839,3545.806366898509,2105.5917987939197,3059.8149639442954,3831.6523852094474,3907.3193104560924
Grassland,Bac_shannonDiv,7.534011660514673,7.508806868616058,7.393247252175824,7.443467420694276,7.630162475058066,7.825829676203038
Shrubland,Bac_JaccDist_av,0.8752195380339242,0.8752918190328595,0.8658118858798747,0.870007659075034,0.8800534258225536,0.8872606526671855
Shrubland,Bac_richness,2989.3670314088095,3359.065194733465,1564.353893550953,1987.6168379274118,3836.5440341148433,3941.061505290597
Shrubland,Bac_shannonDiv,7.495623657906432,7.489113690414401,7.333199982766925,7.420715780225612,7.5814332580482775,7.723109133294487
Woodland,Bac_JaccDist_av,0.8881524015583439,0.8814019848757084,0.8667950413629727,0.8739962982105456,0.9110160172146597,0.9343310909732494
Woodland,Bac_richness,3430.284010086078,3779.431108370613,1825.7884493797126,2286.2417883991297,4332.465481225411,4436.726965956306
Woodland,Bac_shannonDiv,7.445637115818263,7.650719438877174,6.632541612207371,6.858475639156535,7.762061792478713,7.883869006010612
NA,Arbuscularmycorrhizal_richness,NA,NA,NA,NA,NA,NA
NA,Decomposer_richness,NA,NA,NA,NA,NA,NA
NA,Ectomycorrhizal_richness,NA,NA,NA,NA,NA,NA
NA,Fungi_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Fungi_richness,NA,NA,NA,NA,NA,NA
NA,Fungi_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Invertebrate_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Invertebrate_richness,NA,NA,NA,NA,NA,NA
NA,Invertebrate_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Nematode_richness,NA,NA,NA,NA,NA,NA
NA,Nutrient_service,NA,NA,NA,NA,NA,NA
NA,OM_decomposition_service,NA,NA,NA,NA,NA,NA
NA,Pathogen_control,NA,NA,NA,NA,NA,NA
NA,Protist_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Protist_richness,NA,NA,NA,NA,NA,NA
NA,Protist_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Soil_carbon_service,NA,NA,NA,NA,NA,NA
NA,Soil_stability_service,NA,NA,NA,NA,NA,NA
NA,Water_regulation_service,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
