Longitude,Latitude,SampleID,PA,LC
3.22381,35.26746,1001,0,Shrubland
3.23376,35.26817,1002,0,Grassland
3.23955,35.26881,1003,0,Grassland
3.05053,34.93256,1004,0,Shrubland
3.05913,34.93281,1005,0,Shrubland
3.06564,34.93471,1006,0,Shrubland
-70.48775,-41.04097,1007,0,Grassland
-70.52356,-41.03246,1008,0,Grassland
-70.4892,-41.03991,1009,0,Grassland
-69.33351517,-51.49185842,1013,0,Grassland
-69.32009339,-51.4920655,1014,0,Grassland
-69.30677892,-51.49359519,1015,0,Grassland
-66.39181,-27.59989,1016,0,Shrubland
-66.39864,-27.59703,1017,0,Shrubland
-66.40858,-27.59494,1018,0,Shrubland
-69.82544,-45.45081,1022,0,Shrubland
-69.89747,-45.37281,1023,0,Shrubland
-70.01175,-45.07703,1024,0,Shrubland
-69.99694,-45.125,1025,0,Shrubland
-70.22183,-45.38136,1026,0,Shrubland
-70.25333,-45.38406,1027,0,Grassland
-70.2955,-45.43025,1028,0,Grassland
-71.47211,-45.55611,1030,0,Grassland
-71.47075,-45.58158,1031,0,Grassland
-71.38994,-45.57636,1032,0,Grassland
-71.39194,-45.58042,1033,0,Grassland
141.70068,-31.0827,1034,0,Shrubland
141.69901,-31.08305,1035,0,Shrubland
144.75515,-34.78926,1036,0,Shrubland
144.77065,-34.71686,1037,0,Shrubland
144.79988,-34.69379,1038,0,Shrubland
144.78058,-34.78923,1039,0,Shrubland
147.21559,-31.51075,1041,0,Shrubland
147.23123,-31.49073,1042,0,Shrubland
-41.34035,-9.62727,1046,1,Woodland
-41.33944,-9.64365,1047,1,Woodland
-41.35261,-9.62211,1048,1,Woodland
-120.4274,50.74388,1052,1,Shrubland
-120.42911,50.74152,1053,1,Shrubland
-120.4322,50.73844,1054,1,Shrubland
-71.43081,-45.25074,1055,0,Grassland
-71.42137,-45.24508,1056,0,Grassland
-71.40499,-45.23937,1057,0,Grassland
109.59864,38.56636,1058,0,Shrubland
109.59841,38.56655,1059,0,Shrubland
109.5961,38.56694,1060,0,Shrubland
109.62194,38.58506,1061,0,Shrubland
119.18953,49.26454,1062,0,Grassland
90.97402,43.98449,1066,0,Shrubland
90.97385,43.97099,1067,0,Shrubland
90.81653,43.96438,1068,0,Shrubland
-80.35908,-4.37532,1072,0,Shrubland
-80.36294,-4.36613,1073,0,Shrubland
-80.36458,-4.35728,1074,0,Shrubland
-79.32864,-3.40324,1078,0,Shrubland
-79.31464,-3.4077,1079,0,Shrubland
-79.33001,-3.415,1080,0,Shrubland
56.11681,37.4932,1087,0,Shrubland
56.11515,37.49119,1088,0,Shrubland
56.10868,37.48745,1089,1,Shrubland
55.87783,37.51213,1090,0,Shrubland
55.87864,37.51093,1091,0,Grassland
55.87976,37.50846,1092,1,Shrubland
58.66186,36.69489,1093,1,Shrubland
58.66581,36.69303,1094,1,Shrubland
58.66592,36.69568,1095,1,Woodland
58.6672,36.69578,1096,1,Woodland
56.75472,37.41242,1097,0,Woodland
56.768,37.41519,1098,0,Woodland
56.77344,37.41547,1099,0,Woodland
60.38364,36.61167,1100,0,Grassland
60.37983,36.60317,1101,0,Shrubland
34.646,31.277,1112,0,Shrubland
34.654,31.275,1113,0,Shrubland
-103.86538,26.59771,1122,1,Shrubland
-103.85282,26.59797,1123,1,Grassland
110.01595,44.81247,1125,0,Grassland
18.46941,-23.25335,1137,0,Woodland
18.46659,-23.2529,1138,0,Woodland
18.46352,-23.25237,1139,0,Woodland
19.13877,-21.9806,1140,0,Woodland
19.14229,-21.98445,1141,0,Woodland
19.14349,-21.9896,1142,0,Woodland
18.91669,-19.07036,1144,0,Woodland
18.92027,-19.07367,1145,0,Woodland
15.79053,-24.05342,1147,0,Grassland
15.56169,-22.95814,1149,1,Grassland
15.54695,-22.95741,1150,1,Grassland
15.77173,-24.34024,1151,1,Shrubland
15.76662,-24.33415,1152,1,Grassland
15.75855,-24.32231,1153,1,Grassland
19.9786,-25.13081,1154,0,Shrubland
-8.07378,37.58968,1172,0,Woodland
-8.85405,38.84673,1176,0,Woodland
-8.85658,38.8468,1177,0,Woodland
-8.51733,38.10661,1179,0,Shrubland
22.24269,-33.09214,1181,0,Shrubland
22.24581,-33.08915,1182,0,Shrubland
26.21385,-26.08351,1195,0,Grassland
-3.62668,40.18425,1206,0,Shrubland
-3.62409,40.18608,1207,0,Shrubland
-3.6148,40.18089,1208,1,Shrubland
-4.41092,39.73394,1213,0,Shrubland
-4.41244,39.73596,1214,0,Shrubland
-4.41407,39.73832,1215,0,Shrubland
-4.41214,39.74101,1216,0,Woodland
-0.59221,41.77076,1222,0,Shrubland
-2.15989,36.73875,1223,1,Shrubland
-2.16047,36.74239,1224,1,Shrubland
-3.76257,37.61938,1227,0,Woodland
-3.75703,37.61767,1228,0,Woodland
-3.75035,37.61573,1229,0,Woodland
-3.74291,37.61469,1230,0,Woodland
-2.47328,37.11645,1231,1,Shrubland
-2.48565,37.11946,1232,1,Grassland
-2.49928,37.1226,1233,1,Shrubland
-109.7102,38.20255,1241,0,Grassland
-109.73295,38.16517,1243,1,Grassland
-111.6104,36.96982,1245,1,Shrubland
-111.6219,36.97043,1246,1,Shrubland
-103.91078,29.47739,1248,0,Shrubland
-110.89096,31.88319,1256,0,Shrubland
-110.88679,31.88452,1257,0,Shrubland
-110.88119,31.88529,1259,0,Shrubland
-106.8083,32.57397,1264,0,Grassland
-106.8068,32.5785,1265,0,Grassland
