fns,effect_significance,lc,4e+05,5e+05,6e+05,7e+05,1e+06
Arbuscularmycorrhizal_richness,positive,Grassland,1,1,1,1,NA
Bac_shannonDiv,negative,Grassland,1,1,1,NA,NA
Decomposer_richness,positive,Cropland,1,1,1,1,1
Fungi_shannonDiv,negative,Woodland,1,NA,NA,NA,NA
Fungi_JaccDist_av,positive,Grassland,NA,1,1,1,1
OM_decomposition_service,negative,Woodland,NA,1,NA,NA,NA
Arbuscularmycorrhizal_richness,positive,Cropland,NA,NA,1,1,1
OM_decomposition_service,negative,Cropland,NA,NA,1,NA,1
OM_decomposition_service,positive,Grassland,NA,NA,1,NA,NA
Soil_carbon_service,negative,Cropland,NA,NA,1,NA,NA
Protist_JaccDist_av,positive,Grassland,NA,NA,NA,1,1
Bac_richness,positive,Cropland,NA,NA,NA,NA,1
Bac_shannonDiv,positive,Cropland,NA,NA,NA,NA,1
Decomposer_richness,positive,Grassland,NA,NA,NA,NA,1
Fungi_shannonDiv,negative,Cropland,NA,NA,NA,NA,1
Pathogen_control,positive,Cropland,NA,NA,NA,NA,1
Pathogen_control,positive,Grassland,NA,NA,NA,NA,1
