ID,nonPA,mahal.min,LC,times.with.error,times,n
643,212,2.484407604006099,Cropland,1,1,30
640,466,17.131755680574543,Cropland,1,1,30
172,86,15.102682758295188,Cropland,1,1,30
338,23,4.810946724370407,Cropland,1,1,30
573,447,4.353360638928198,Cropland,1,1,30
404,247,3.666751251769477,Cropland,1,1,30
324,402,16.87408163656184,Cropland,1,1,30
741,112,1.7836996590272374,Cropland,1,1,30
428,158,3.967655102121502,Cropland,1,1,30
488,205,1.1502326391210473,Cropland,1,1,30
13,121,7.0718680349377445,Grassland,1,1,30
82,405,7.415067999431399,Grassland,1,1,30
195,266,5.467453731357383,Grassland,1,1,30
251,16,4.615561779594668,Grassland,1,1,30
313,416,7.437459794263322,Grassland,1,1,30
353,102,6.198752021609969,Grassland,1,1,30
245,125,7.081183779112873,Grassland,1,1,30
75,179,17.073865407569524,Grassland,1,1,30
144,115,2.9546718679646053,Grassland,1,1,30
481,669,5.5337818464826,Grassland,1,1,30
280,536,11.101249556277823,Woodland,1,1,30
625,309,13.392168380959344,Woodland,1,1,30
706,89,9.542142093796963,Woodland,1,1,30
419,154,11.98504646685233,Woodland,1,1,30
672,74,16.510651298975528,Woodland,1,1,30
516,328,1.2231281501039464,Woodland,1,1,30
255,192,3.081018987203266,Woodland,1,1,30
628,335,11.804459511870958,Woodland,1,1,30
443,297,4.64955395884449,Woodland,1,1,30
567,15,10.332206571368431,Woodland,1,1,30
172,106,4.147108169878279,Cropland,2,2,30
741,11,2.106102995003211,Cropland,2,2,30
640,310,14.884520608423786,Cropland,2,2,30
573,410,3.73299946512882,Cropland,2,2,30
404,447,2.7829432320302034,Cropland,2,2,30
324,402,16.87408163656184,Cropland,2,2,30
428,163,13.457256172335748,Cropland,2,2,30
517,171,9.501077153802413,Cropland,2,2,30
488,288,10.436840148028285,Cropland,2,2,30
643,229,5.943669229895363,Cropland,2,2,30
143,120,14.812332162205324,Grassland,2,2,30
144,31,5.97762780087796,Grassland,2,2,30
114,127,2.162039237909885,Grassland,2,2,30
251,48,4.528554429070356,Grassland,2,2,30
13,132,0.9836685645574453,Grassland,2,2,30
353,336,10.216038943962303,Grassland,2,2,30
82,568,3.487774339497395,Grassland,2,2,30
245,115,9.255852918352941,Grassland,2,2,30
481,666,9.115549165112846,Grassland,2,2,30
195,237,8.00507685914866,Grassland,2,2,30
255,352,3.422107676510377,Woodland,2,2,30
628,222,9.631682110926253,Woodland,2,2,30
516,89,5.525891862226638,Woodland,2,2,30
443,297,4.64955395884449,Woodland,2,2,30
280,536,11.101249556277823,Woodland,2,2,30
625,51,14.846953452753658,Woodland,2,2,30
419,429,8.176428132375719,Woodland,2,2,30
706,309,16.805842544859658,Woodland,2,2,30
567,15,10.332206571368431,Woodland,2,2,30
672,415,7.248045184885263,Woodland,2,2,30
338,103,6.765594876641444,Cropland,3,3,30
573,427,1.0270163145351907,Cropland,3,3,30
517,5,6.0138001333918565,Cropland,3,3,30
462,56,3.70817633311288,Cropland,3,3,30
741,108,14.328810294027155,Cropland,3,3,30
643,410,4.610155360385237,Cropland,3,3,30
428,106,5.315525746622055,Cropland,3,3,30
640,310,14.884520608423786,Cropland,3,3,30
455,6,8.38143024788326,Cropland,3,3,30
404,466,9.566087131434141,Cropland,3,3,30
195,39,15.650768897723601,Grassland,3,3,30
82,369,10.92140481057973,Grassland,3,3,30
143,120,14.812332162205324,Grassland,3,3,30
