"lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"Cropland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",0.430391391221699,0.17492795487553,0.419088979675824,0.156302718954999,0.268762779878066,0.604021304321196,0.813000211563876
"Cropland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.325100391375701,0.181578996234854,-0.327279695125938,-0.624325773851584,-0.490907611946761,-0.153165783931099,0.0245629217184825
"Cropland","Bac_richness","Bacterial Richness","Richness","Bacteria",0.403529386515168,0.195034533768287,0.400729550368694,0.0777863572315593,0.22451894722898,0.590557573669282,0.798971853279204
"Cropland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",0.417992391431912,0.209320240623641,0.417924849962805,0.0669144047770099,0.216177884177671,0.614271626283443,0.837719310573487
"Cropland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",0.632719393180236,0.15507507446327,0.636192677526235,0.388848764307568,0.46400443622684,0.792415781337216,0.908621390227565
"Cropland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",0.152470346194257,0.255455235234462,0.119145220618431,-0.191778252424949,-0.112341632734147,0.432838057481204,0.622297535167862
"Cropland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-0.129332437345997,0.205375050344568,-0.136704657920166,-0.460073574979863,-0.332483733042384,0.0727721639963889,0.26670956609069
"Cropland","Fungi_richness","Fungal Richness","Richness","Fungi",0.159701668484248,0.212416106079998,0.16405613356789,-0.19482411921293,-0.0327033008921692,0.357836082069971,0.556604061982063
"Cropland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.410009438212394,0.203274802404614,-0.406802598936046,-0.763346249396748,-0.5975375805441,-0.217619192987646,-0.0164847851101234
"Cropland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",0.348630663089422,0.254665310654596,0.332559550031041,-0.0366457926728555,0.109254695105634,0.586367391050399,0.883670381794076
