#################################################
##  Significant d-values from global analysis  ##
##  Sys.Date() 2024-08-22  ##
#################################################
          lc                            fns effect_mean effect_SD effect_median effect_ci_2.5 effect_ci_17 effect_ci_83 effect_ci_97.5
1  Shrubland                 Fungi_richness   1.4692794 0.8551728     1.3329594    0.31655664   0.71233139   2.25091528      3.5405025
2  Shrubland              Fungi_JaccDist_av  -1.3824578 1.0979085    -1.2352435   -3.36245559  -2.33906332  -0.35624621      0.1783707
3  Shrubland            Decomposer_richness   1.3446773 0.8910661     1.2350104    0.14470599   0.52680774   2.12415040      3.3785346
4  Shrubland               Fungi_shannonDiv   1.4501490 0.9960966     1.2163338    0.14349041   0.55568380   2.46761482      3.7514096
5  Shrubland Arbuscularmycorrhizal_richness   1.3161251 0.9001925     1.1835464    0.15203531   0.50784616   2.04124145      3.6013346
6  Shrubland          Invertebrate_richness   1.2027131 0.8348284     1.0679053    0.04311757   0.45161643   1.93362422      3.2742441
7  Shrubland                   Bac_richness   0.8655263 0.8385918     0.8534613   -0.32897992   0.04960922   1.60425207      2.7116638
8  Shrubland                Bac_JaccDist_av  -0.9366854 0.9213189    -0.8529410   -2.64206384  -1.75206808  -0.05796434      0.4820880
9  Shrubland              Nematode_richness   0.9619404 0.7535128     0.8462399   -0.09039337   0.27729453   1.60142873      2.6924511
10 Shrubland       Invertebrate_JaccDist_av  -0.9356933 0.8181009    -0.8431302   -2.34460736  -1.67709271  -0.16218961      0.3758846
11 Grassland            Protist_JaccDist_av   0.8703757 0.7487436     0.8243265   -0.31788569   0.16133865   1.54593194      2.4420607
12 Grassland               Nutrient_service  -0.7935110 0.6158418    -0.8208661   -1.74182900  -1.26372783  -0.32960856      0.5775789
13 Shrubland                 Bac_shannonDiv   0.8025097 0.7516537     0.8076235   -0.35755510   0.07392875   1.47118008      2.3375571
14  Woodland                 Bac_shannonDiv  -0.8933389 0.7786068    -0.8008452   -2.23629598  -1.54070711  -0.20464585      0.4303609
15 Shrubland               Nutrient_service  -0.6928153 0.5490665    -0.7656876   -1.43567452  -1.13017322  -0.29341077      0.7689192
16 Grassland            Decomposer_richness  -0.7808081 0.6886958    -0.7621572   -1.90425304  -1.40062938  -0.15082631      0.4227393
17  Woodland                   Bac_richness  -0.8165163 0.7694219    -0.7497557   -2.18530195  -1.47873718  -0.10370063      0.5447909
18 Shrubland        Invertebrate_shannonDiv   0.8166902 0.7646177     0.7274784   -0.25904041   0.11132281   1.51726017      2.5247662
19 Grassland               Protist_richness  -0.7340046 0.7871347    -0.6459085   -2.16549011  -1.38554073  -0.04057731      0.6324465
20  Woodland                Bac_JaccDist_av   0.6512690 0.7309138     0.6227566   -0.48437350  -0.01011180   1.29054569      2.2177549
21 Grassland                 Fungi_richness  -0.6826598 0.8089637    -0.6026959   -2.06165079  -1.42963577   0.07470289      0.7242608
22 Shrubland       Water_regulation_service  -0.5266748 0.7100993    -0.5569878   -1.63166458  -1.13785393   0.12027021      1.0641941
23  Woodland               Pathogen_control  -0.5886056 0.6842931    -0.5530782   -1.70760046  -1.20738755   0.01681822      0.7385841
24 Shrubland            Soil_carbon_service   0.6097634 0.8011713     0.5312136   -0.53359927  -0.12567386   1.34956564      2.4913479
25 Shrubland             Protist_shannonDiv   0.4647502 0.7159341     0.4529392   -0.66911505  -0.19314430   1.08447277      1.9319203
26 Grassland Arbuscularmycorrhizal_richness  -0.5068374 0.7816291    -0.4472136   -1.83847763  -1.14319732   0.19145539      0.8784395
27  Woodland            Protist_JaccDist_av   0.4492867 0.7313274     0.4302601   -0.74427361  -0.19659991   1.09294047      1.9620851
28 Shrubland       Ectomycorrhizal_richness   0.4375769 0.7182333     0.4053292   -0.64254877  -0.25246035   1.07846369      1.9612071
29  Woodland       Water_regulation_service  -0.4523809 0.7109015    -0.4040254   -1.68149143  -1.09280754   0.15542818      0.8890501
30 Grassland              Fungi_JaccDist_av   0.4394640 0.7614956     0.3966753   -0.68605555  -0.26865530   1.13215415      2.0589783
31 Grassland               Pathogen_control  -0.5018332 0.8686819    -0.3829256   -1.99703172  -1.23828230   0.24984851      0.9278215
32  Woodland              Fungi_JaccDist_av   0.4199078 0.7909787     0.3788035   -0.75042565  -0.29835347   1.07559831      2.1559223
33 Grassland          Invertebrate_richness   0.4081240 0.7154894     0.3722317   -0.64754598  -0.20973478   1.03158608      1.9650130
34 Shrubland            Protist_JaccDist_av  -0.3626177 0.7449270    -0.3321379   -1.67476880  -1.08857695   0.40516063      0.8995379
35  Woodland          Invertebrate_richness   0.3507214 0.7631754     0.3070657   -0.83719023  -0.32104299   0.99885760      2.0348545
36  Woodland       OM_decomposition_service   0.2108757 0.6772697     0.2932402   -1.06957250  -0.42729363   0.83499543      1.3147826
37 Grassland        Invertebrate_shannonDiv  -0.2770418 0.6989430    -0.2928287   -1.36780578  -0.91003817   0.33127474      1.1813426
38 Grassland       OM_decomposition_service  -0.2192498 0.6358610    -0.2879058   -1.13439491  -0.79610059   0.37620262      1.1583875
39 Grassland       Invertebrate_JaccDist_av  -0.3077384 0.7961251    -0.2777135   -1.52759751  -0.99234047   0.36638767      1.1123844
40 Grassland                Bac_JaccDist_av   0.3280424 0.7345242     0.2645847   -0.73138675  -0.32573712   0.96733152      1.9562325
41  Woodland       Ectomycorrhizal_richness  -0.2316062 0.7631698    -0.2525618   -1.43340199  -0.89134919   0.43331633      1.2203661
42 Shrubland         Soil_stability_service   0.2387593 0.7090431     0.2128175   -0.82287903  -0.39686763   0.85211033      1.7180306
43 Grassland         Soil_stability_service   0.2616254 0.7556286     0.2126115   -0.79038316  -0.36035857   0.87645436      1.8700373
44 Grassland       Ectomycorrhizal_richness  -0.2358281 0.7488701    -0.2054710   -1.42730233  -0.94434493   0.46228110      1.0230512
45  Woodland               Protist_richness  -0.2013679 0.7390134    -0.1962754   -1.32327377  -0.85237100   0.42929723      1.2930498
46  Woodland       Invertebrate_JaccDist_av   0.2380534 0.8021691     0.1834032   -0.96653307  -0.48002560   0.95032974      2.0060058
