ID,nonPA,mahal.min,LC,times.with.error,times,n
1084,1013,17.076794585303496,Grassland,1,1,15
25,1015,16.412948612317884,Grassland,1,1,15
28,1009,10.247534454021801,Grassland,1,1,15
2167,2144,12.815652165643113,Grassland,1,1,15
1123,1003,10.284269229249784,Grassland,1,1,15
1231,2165,3.390068995735203,Shrubland,1,1,15
1223,2116,8.75152905710474,Shrubland,1,1,15
1094,234,16.04300623284449,Shrubland,1,1,15
1233,2106,14.868540994465317,Shrubland,1,1,15
1052,2103,14.263996923740054,Shrubland,1,1,15
240,2115,15.374581064028488,Woodland,1,1,15
1043,1138,11.007839491021487,Woodland,1,1,15
2121,2184,13.087149866159137,Woodland,1,1,15
2177,2160,6.822586929813989,Woodland,1,1,15
256,255,0.546966544714927,Woodland,1,1,15
26,2144,12.08777783990087,Grassland,2,2,15
1153,1008,14.913102693544085,Grassland,2,2,15
1082,243,16.428283069941205,Grassland,2,2,15
210,290,17.248834226427267,Grassland,2,2,15
1150,1003,7.025047708731009,Grassland,2,2,15
1151,2116,8.69312745574671,Shrubland,2,2,15
1122,2214,7.119642990933273,Shrubland,2,2,15
250,1017,13.535459603861938,Shrubland,2,2,15
1246,2161,10.105565389853744,Shrubland,2,2,15
1208,2165,3.2807227655481817,Shrubland,2,2,15
2124,2160,11.365442828185982,Woodland,2,2,15
1043,2137,13.09006260079313,Woodland,2,2,15
259,261,0.15525197613966393,Woodland,2,2,15
1095,2140,17.269657102297177,Woodland,2,2,15
2189,2201,14.18351248879012,Woodland,2,2,15
1226,1100,12.797207076310483,Grassland,3,3,15
28,292,17.143785419906308,Grassland,3,3,15
1081,2146,16.32829812496921,Grassland,3,3,15
2167,2145,16.098604140525648,Grassland,3,3,15
1243,1195,10.669417301342266,Grassland,3,3,15
1094,1060,16.749111256742623,Shrubland,3,3,15
1233,268,13.519691930731218,Shrubland,3,3,15
1151,1022,12.528444245784334,Shrubland,3,3,15
1093,1088,6.7153588513268785,Shrubland,3,3,15
1092,2116,13.149341716262004,Shrubland,3,3,15
2124,2139,5.528235813119442,Woodland,3,3,15
227,2137,12.704497838866041,Woodland,3,3,15
1045,224,16.10907766162913,Woodland,3,3,15
2204,225,13.838826309198597,Woodland,3,3,15
240,291,6.081342681321549,Woodland,3,3,15
1226,282,16.53234005071299,Grassland,4,4,15
28,290,16.24479944667115,Grassland,4,4,15
1232,2154,16.11072775916599,Grassland,4,4,15
1085,1033,15.022835889491253,Grassland,4,4,15
2167,2144,12.815652165643113,Grassland,4,4,15
1223,279,5.260038843622644,Shrubland,4,4,15
1122,1034,14.985981966678452,Shrubland,4,4,15
1054,1022,16.268999545856573,Shrubland,4,4,15
1233,248,12.208821009001351,Shrubland,4,4,15
1092,1006,11.744605668152976,Shrubland,4,4,15
258,1097,16.164797897043055,Woodland,4,4,15
1095,24,11.895817327471967,Woodland,4,4,15
256,2171,2.904491788585141,Woodland,4,4,15
259,1098,10.597704405061222,Woodland,4,4,15
1096,225,11.210280664542244,Woodland,4,4,15
1232,2154,16.11072775916599,Grassland,5,5,15
1084,1013,17.076794585303496,Grassland,5,5,15
210,2145,10.541559248288891,Grassland,5,5,15
25,2117,2.4941043823162343,Grassland,5,5,15
1225,1086,8.971760064987208,Grassland,5,5,15
1089,279,12.356794327076035,Shrubland,5,5,15
1224,1004,11.004780230551937,Shrubland,5,5,15
1093,1101,11.88221483261705,Shrubland,5,5,15
1245,1001,4.252731756157635,Shrubland,5,5,15
1151,2162,10.40470282974178,Shrubland,5,5,15
259,2200,17.203493856853182,Woodland,5,5,15
1044,277,7.811662241014762,Woodland,5,5,15
2121,22,3.35075418742969,Woodland,5,5,15
251,2160,16.961875154243188,Woodland,5,5,15
227,2137,12.704497838866041,Woodland,5,5,15
1153,1003,6.319662402314127,Grassland,6,6,15
1226,1013,15.643208694283883,Grassland,6,6,15
1082,243,16.428283069941205,Grassland,6,6,15
1085,1040,15.979443145442133,Grassland,6,6,15
210,290,17.248834226427267,Grassland,6,6,15
1092,1016,12.825266616865239,Shrubland,6,6,15
1245,2165,9.337809858574989,Shrubland,6,6,15
1231,2106,15.029832601133702,Shrubland,6,6,15
1054,1017,13.022429512773892,Shrubland,6,6,15
1246,2214,16.586021321278622,Shrubland,6,6,15
1044,1117,16.205104628375565,Woodland,6,6,15
2177,2140,7.730646250977445,Woodland,6,6,15
251,2160,16.961875154243188,Woodland,6,6,15
256,1140,15.187008386722177,Woodland,6,6,15
1045,2208,7.947717018679775,Woodland,6,6,15
1085,243,16.223149484107285,Grassland,7,7,15
1084,2107,10.709051623823937,Grassland,7,7,15
1243,244,11.387681296485058,Grassland,7,7,15
