"","lc","fns","Label","Group_function","Organism","effect_mean","effect_SD","effect_median","effect_ci_2.5","effect_ci_17","effect_ci_83","effect_ci_97.5"
"1","Grassland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",-0.506837439969018,0.781629085568917,-0.447213595499958,-1.83847763108502,-1.14319731689752,0.191455392295018,0.87843954763656
"2","Grassland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",0.328042373274708,0.734524232682164,0.26458471849676,-0.731386749889336,-0.325737120925755,0.96733151711054,1.95623249663647
"3","Grassland","Bac_richness","Bacterial Richness","Richness","Bacteria",-0.0380144052357597,0.704768769618815,0.00511326022218117,-1.22099891652307,-0.719725311635956,0.599537936819176,1.24132644351423
"4","Grassland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",-0.00932476369178817,0.686224002622437,-0.00411354548865075,-1.15305148841453,-0.655983348618104,0.648945258112463,1.23444729968233
"5","Grassland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",-0.78080806213231,0.688695827252226,-0.762157246658715,-1.90425304124819,-1.40062937723548,-0.150826308784061,0.422739326572234
"6","Grassland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",-0.235828126612694,0.748870066890332,-0.205471026645209,-1.42730232743273,-0.944344933699861,0.462281097467159,1.02305119373899
"7","Grassland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",0.439463959678674,0.761495560847893,0.396675280726385,-0.686055548407745,-0.268655303051248,1.13215415036053,2.05897828668429
"8","Grassland","Fungi_richness","Fungal Richness","Richness","Fungi",-0.682659837190662,0.808963661484234,-0.602695884281788,-2.06165079166442,-1.42963576512364,0.0747028871091052,0.724260835525919
"9","Grassland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",-0.112116499226671,0.738600292331264,-0.0979016982247354,-1.3051783672061,-0.808346740643047,0.568266140176424,1.25236403526066
"10","Grassland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",-0.307738425560003,0.796125050165461,-0.277713481156246,-1.52759751469604,-0.992340472003438,0.366387671012983,1.11238437370278
"11","Grassland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",0.408124013175758,0.71548944581838,0.372231669931578,-0.647545977022673,-0.209734782381294,1.03158607744841,1.96501299748691
"12","Grassland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",-0.277041774448395,0.698942983820001,-0.292828655665053,-1.36780577777681,-0.91003816709982,0.331274739100211,1.18134260494253
"13","Grassland","Nematode_richness","Nematode Richness","Richness","Nematodes",-0.041035179593347,0.722918786150877,-0.058502904576446,-1.14352923013159,-0.661122511672911,0.617826239757249,1.34901635991929
"14","Grassland","Nutrient_service","Nutrient cycling","Function","Function",-0.793511041701116,0.615841816115505,-0.820866136347105,-1.74182899517411,-1.26372783413897,-0.329608560582069,0.577578886426324
"15","Grassland","OM_decomposition_service","Decomposition (OM)","Function","Function",-0.219249800974808,0.635860968774638,-0.287905796216788,-1.13439490776735,-0.796100586463416,0.376202615946936,1.15838754376411
"16","Grassland","Pathogen_control","Pathogen control","Function","Function",-0.501833182136064,0.868681892788474,-0.382925589597127,-1.99703171630007,-1.23828229585558,0.249848510268623,0.927821546935997
"17","Grassland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",0.870375654981312,0.748743576548596,0.824326508295197,-0.317885687240878,0.161338652463234,1.54593193895022,2.44206071640517
"18","Grassland","Protist_richness","Protist Richness","Richness","Protists",-0.73400457435759,0.787134749965207,-0.64590852573075,-2.1654901082813,-1.38554072926125,-0.0405773135275353,0.632446508030479
"19","Grassland","Protist_shannonDiv","Protist Shannon","Shannon","Protists",0.105950243818053,0.761332853265157,0.155321238861018,-1.20486673465166,-0.63528909621891,0.837608510073915,1.3722749372572
"20","Grassland","Soil_carbon_service","Soil carbon","Function","Function",0.0326456847680301,0.610003709550506,-0.0191781211933686,-0.900454510762698,-0.516357107071618,0.610148325704766,1.29629791908803
"21","Grassland","Soil_stability_service","Soil stability","Function","Function",0.261625431585543,0.755628579024944,0.212611472775836,-0.790383158241208,-0.360358570945921,0.876454358564915,1.87003727939851
"22","Grassland","Water_regulation_service","Water regulation","Function","Function",-0.0934308334004467,0.655263372892673,-0.0953650738569648,-1.06837750991756,-0.6896804020296,0.530461317172106,1.08626800267921
"23","Shrubland","Arbuscularmycorrhizal_richness","AM fungi Richness","Richness","Fungi",1.31612508537599,0.900192507680497,1.18354644465767,0.152035305477033,0.507846155622941,2.04124145231931,3.60133462590326
"24","Shrubland","Bac_JaccDist_av","Bacterial Dissimilarity","Dissimilarity","Bacteria",-0.936685442651444,0.921318860918867,-0.852941027254491,-2.6420638400231,-1.75206807988036,-0.0579643401331826,0.482087974056751
"25","Shrubland","Bac_richness","Bacterial Richness","Richness","Bacteria",0.865526305242638,0.838591775960655,0.853461316774434,-0.328979918511004,0.0496092230539745,1.60425206738152,2.71166382508206
"26","Shrubland","Bac_shannonDiv","Bacterial Shannon","Shannon","Bacteria",0.802509699391712,0.75165374496141,0.807623492181765,-0.357555099715259,0.0739287479692652,1.47118007757713,2.3375571011453
"27","Shrubland","Decomposer_richness","Decomposer Richness","Richness","Decomposers",1.34467730672436,0.891066073020784,1.23501040904701,0.144705987176989,0.526807739462286,2.12415039851859,3.37853458915972
"28","Shrubland","Ectomycorrhizal_richness","EM fungi Richness","Richness","Fungi",0.437576865421343,0.718233332641248,0.405329191765696,-0.642548766219184,-0.252460353003971,1.07846369005034,1.96120709047841
"29","Shrubland","Fungi_JaccDist_av","Fungal Dissimilarity","Dissimilarity","Fungi",-1.38245780255552,1.09790851846178,-1.23524346636757,-3.36245559497059,-2.33906331607435,-0.356246210335117,0.178370697125681
"30","Shrubland","Fungi_richness","Fungal Richness","Richness","Fungi",1.46927940481099,0.855172825475498,1.33295936406744,0.316556639801897,0.712331389074205,2.2509152808686,3.54050247889845
"31","Shrubland","Fungi_shannonDiv","Fungal Shannon","Shannon","Fungi",1.45014901436056,0.99609658245094,1.21633378107573,0.143490410261814,0.555683802245004,2.46761482042614,3.75140959786027
"32","Shrubland","Invertebrate_JaccDist_av","Invertebrate Dissimilarity","Dissimilarity","Invertebrates",-0.935693338732391,0.818100948890043,-0.843130248228615,-2.34460736290456,-1.67709271354596,-0.162189606215691,0.375884637390091
"33","Shrubland","Invertebrate_richness","Invertebrate Richness","Richness","Invertebrates",1.20271310282259,0.834828361351291,1.06790531830124,0.0431175740478884,0.451616427138922,1.93362421948307,3.27424411046686
"34","Shrubland","Invertebrate_shannonDiv","Invertebrate Shannon","Shannon","Invertebrates",0.81669024560367,0.764617738403788,0.727478357971854,-0.259040410231167,0.111322810242303,1.51726016625644,2.52476615231167
"35","Shrubland","Nematode_richness","Nematode Richness","Richness","Nematodes",0.961940393841264,0.753512774926809,0.846239903681843,-0.0903933744207387,0.277294529633212,1.60142872853408,2.69245114176798
"36","Shrubland","Nutrient_service","Nutrient cycling","Function","Function",-0.692815338266073,0.549066497055563,-0.765687591543521,-1.43567451634159,-1.13017322162427,-0.293410768848938,0.768919171122499
"37","Shrubland","OM_decomposition_service","Decomposition (OM)","Function","Function",0.104816830217112,0.741022163114603,0.0587799396800854,-0.903477758598021,-0.542702948185672,0.709595533621321,1.65304800625111
"38","Shrubland","Pathogen_control","Pathogen control","Function","Function",-0.0870089685951892,0.704528828382548,-0.0526036796727267,-1.2679540711928,-0.698789827568914,0.553276509773317,1.25718237242942
"39","Shrubland","Protist_JaccDist_av","Protist Dissimilarity","Dissimilarity","Protists",-0.362617728825337,0.744926954107047,-0.332137865754846,-1.67476879822193,-1.08857695107596,0.405160632037988,0.899537894143365
"40","Shrubland","Protist_richness","Protist Richness","Richness","Protists",0.0542500550970613,0.722790883013491,0.0260963644744433,-1.08878431942861,-0.609749775640866,0.704706302247924,1.51177463517554
