Group,Variable,Scale,Cropland,Shrubland,Grassland,Woodland
Function,Decomposition (OM),glob,NA,0.004 [-0.002; 0.011] ns,0.003 [-0.004; 0.01] ns,0.004 [-0.002; 0.01] ns
Function,Decomposition (OM),cont,-0.002 [-0.063; 0.062] ns,NA,0.024 [-0.032; 0.084] ns,-0.025 [-0.076; 0.026] ns
Function,Decomposition (OM),regi,-0.013 [-0.141; 0.11] ns,NA,0.149 [0.045; 0.256] *,0.052 [-0.018; 0.121] ns
Function,Nutrient cycling,glob,NA,-0.003 [-0.01; 0.004] ns,-0.002 [-0.009; 0.004] ns,0.006 [0; 0.011] ns
Function,Nutrient cycling,cont,0.006 [-0.042; 0.056] ns,NA,0.009 [-0.036; 0.056] ns,0.017 [-0.025; 0.056] ns
Function,Nutrient cycling,regi,0.006 [-0.089; 0.104] ns,NA,-0.015 [-0.097; 0.069] ns,-0.016 [-0.07; 0.038] ns
Function,Pathogen control,glob,NA,0 [-0.001; 0.001] ns,0 [-0.001; 0] ns,0 [-0.001; 0] ns
Function,Pathogen control,cont,0.002 [-0.003; 0.008] ns,NA,0 [-0.005; 0.005] ns,0 [-0.005; 0.004] ns
Function,Pathogen control,regi,-0.001 [-0.003; 0.001] ns,NA,0 [-0.001; 0.002] ns,0.001 [0; 0.002] ns
Function,Soil carbon,glob,NA,0.002 [-0.004; 0.009] ns,0.003 [-0.004; 0.009] ns,0.002 [-0.004; 0.008] ns
Function,Soil carbon,cont,0.284 [-3.676; 4.136] ns,NA,2.538 [-1.121; 6.256] ns,-1.395 [-4.692; 1.834] ns
Function,Soil carbon,regi,-0.154 [-0.778; 0.479] ns,NA,0.374 [-0.152; 0.923] ns,0.038 [-0.316; 0.399] ns
Function,Soil stability,glob,NA,0.018 [0.001; 0.035] *,-0.003 [-0.02; 0.013] ns,0.002 [-0.013; 0.016] ns
Function,Soil stability,cont,0.028 [-0.046; 0.101] ns,NA,0 [-0.07; 0.066] ns,0.009 [-0.049; 0.072] ns
Function,Soil stability,regi,-0.177 [-0.307; -0.044] *,NA,0.039 [-0.072; 0.155] ns,0.026 [-0.051; 0.099] ns
Function,Water regulation,glob,NA,0.004 [-0.005; 0.014] ns,0.009 [0; 0.019] ns,-0.002 [-0.01; 0.007] ns
Richness,AM fungi R,glob,NA,0.28 [0.104; 0.457] *,-0.086 [-0.251; 0.084] ns,-0.114 [-0.268; 0.034] ns
Richness,AM fungi R,cont,0.226 [-0.266; 0.742] ns,NA,0.063 [-0.406; 0.534] ns,-0.11 [-0.53; 0.293] ns
Richness,AM fungi R,regi,-0.112 [-0.336; 0.118] ns,NA,-0.206 [-0.404; -0.013] *,-0.041 [-0.167; 0.089] ns
Richness,Bacterial R,glob,NA,38.988 [-11.735; 91.326] ns,-17.386 [-65.755; 33.674] ns,-96.996 [-142.343; -53.375] *
Richness,Bacterial R,cont,-6.967 [-38.189; 24.199] ns,NA,-17.395 [-46.121; 11.169] ns,38.881 [14.129; 64.446] *
Richness,Bacterial R,regi,-63.802 [-139.054; 9.935] ns,NA,-51.747 [-112.901; 12.304] ns,0.264 [-41.548; 40.94] ns
Richness,Decomposer R,glob,NA,0.765 [0.379; 1.162] *,-0.599 [-0.967; -0.221] *,-0.062 [-0.399; 0.273] ns
Richness,Decomposer R,cont,1.478 [-0.859; 3.757] ns,NA,0.787 [-1.418; 2.93] ns,-1.725 [-3.576; 0.24] ns
Richness,Decomposer R,regi,0.148 [-0.476; 0.801] ns,NA,0.384 [-0.167; 0.924] ns,0.24 [-0.131; 0.592] ns
Richness,EM fungi R,glob,NA,0.143 [-0.122; 0.409] ns,-0.06 [-0.313; 0.196] ns,-0.002 [-0.234; 0.225] ns
Richness,EM fungi R,cont,-0.033 [-1.436; 1.343] ns,NA,-0.146 [-1.467; 1.113] ns,-0.132 [-1.243; 1.002] ns
Richness,EM fungi R,regi,0.003 [-0.401; 0.417] ns,NA,0.419 [0.067; 0.773] *,0.371 [0.142; 0.602] *
Richness,Fungal R,glob,NA,8.108 [3.394; 12.941] *,-7.448 [-12.138; -2.925] *,-6.027 [-10.083; -1.833] *
Richness,Fungal R,cont,-0.006 [-9.104; 9.488] ns,NA,1.206 [-7.488; 9.838] ns,-0.059 [-7.543; 7.57] ns
Richness,Fungal R,regi,-1.293 [-6.848; 4.33] ns,NA,0.888 [-3.963; 5.688] ns,1.774 [-1.387; 4.961] ns
Richness,Invertebrate R,glob,NA,1.037 [-0.741; 2.816] ns,0.023 [-1.604; 1.746] ns,-1.522 [-3.046; -0.013] *
Richness,Invertebrate R,cont,-1.647 [-5.108; 1.841] ns,NA,0.137 [-3.114; 3.267] ns,2.075 [-0.643; 4.987] ns
Richness,Invertebrate R,regi,-2.196 [-4.216; -0.227] *,NA,1.098 [-0.649; 2.752] ns,0.34 [-0.759; 1.496] ns
Richness,Nematode R,glob,NA,0.613 [-0.464; 1.68] ns,-0.49 [-1.556; 0.517] ns,-1.311 [-2.232; -0.388] *
Richness,Nematode R,cont,-0.312 [-1.269; 0.626] ns,NA,0.083 [-0.774; 0.975] ns,0.204 [-0.549; 1.011] ns
Richness,Nematode R,regi,-1.496 [-2.733; -0.342] *,NA,0.688 [-0.345; 1.703] ns,0.186 [-0.471; 0.863] ns
Richness,Protist R,glob,NA,-0.716 [-8.306; 6.386] ns,-6.158 [-13.112; 1.077] ns,-5.142 [-11.737; 1.119] ns
Richness,Protist R,cont,-1.284 [-10.489; 8.185] ns,NA,-3.817 [-12.733; 4.934] ns,4.497 [-3.211; 12.3] ns
Richness,Protist R,regi,-11.703 [-25.359; 2.035] ns,NA,-4.053 [-15.597; 8.106] ns,-5.976 [-13.612; 1.893] ns
Shannon,Bacterial S,glob,NA,0.023 [-0.008; 0.054] ns,-0.013 [-0.042; 0.017] ns,-0.058 [-0.084; -0.031] *
Shannon,Bacterial S,cont,-0.004 [-0.038; 0.03] ns,NA,-0.023 [-0.055; 0.009] ns,0.044 [0.016; 0.073] *
Shannon,Bacterial S,regi,-0.027 [-0.073; 0.017] ns,NA,-0.041 [-0.08; -0.003] *,-0.003 [-0.028; 0.023] ns
