"lc","lower","effect","upper","fns","run","Label","Label_short","Group_function","Organism"
"Grassland",-0.0781573467042832,1.35517889116974,2.723864833259,"Bac_richness",1,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.0524566721540026,1.38897446391075,2.76487946251499,"Bac_shannonDiv",1,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-1.86571009417685,-0.609495981139297,0.682097516974916,"Bac_JaccDist_av",1,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Shrubland",-0.898450330660555,0.364486321271889,1.60550501364638,"Bac_richness",1,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Shrubland",-0.950278893606043,0.307421489718102,1.54653035668452,"Bac_shannonDiv",1,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Shrubland",-1.21896815434505,0.0213191784115326,1.2602979483771,"Bac_JaccDist_av",1,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Woodland",-3.35094661869785,-1.85883453552183,-0.292838230890069,"Bac_richness",1,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Woodland",-3.35355924258772,-1.86088195021565,-0.294299515134936,"Bac_shannonDiv",1,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Woodland",0.227873546986076,1.76820084525381,3.23576876180041,"Bac_JaccDist_av",1,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
"Grassland",0.433200692250518,2.05800499350345,3.60718418069515,"Bac_richness",2,"Bacterial Richness","Bacterial R","Richness","Bacteria"
"Grassland",-0.0847196838814099,1.34657839715475,2.71345509367458,"Bac_shannonDiv",2,"Bacterial Shannon","Bacterial S","Shannon","Bacteria"
"Grassland",-3.04937607384102,-1.61987595341794,-0.119925850812819,"Bac_JaccDist_av",2,"Bacterial Dissimilarity","Bacterial D","Dissimilarity","Bacteria"
