scale,fns,model,loo_comp,elpd_loo,p_loo,looic,se_elpd_loo,se_p_loo,se_looic,elpd_loo_diff,se_loo_diff,elpd_waic,p_waic,waic,se_elpd_waic,se_p_waic,se_waic,r2,r2_se,r2_q2.5,r2_q97.5
global,Bac_richness,intercept,NA,-2621.591360622053,10.668584645174775,5243.182721244106,19.214456314903266,1.9840008475569806,38.42891262980653,0,0,-2621.0981594634727,10.175383486593468,5242.196318926945,19.197084112931652,1.8547109533818817,38.394168225863304,0.10348958816669283,0.027659805268839772,0.05363245548502945,0.1608661926067359
global,Bac_richness,slope,similar,-2627.9367662481045,4.071010115822192,5255.873532496209,18.583721310382394,1.0763177786170401,37.16744262076479,-6.345405626050086,5.435171474946911,-2627.9294141688442,4.063658036564171,5255.8588283376885,18.580289183500824,1.0722618828108343,37.16057836700165,0.0033030825706356153,0.004625300618483523,2.8888283717623126e-6,0.016395584559085314
global,Bac_shannonDiv,intercept,NA,-118.38567299897238,11.837303604756945,236.77134599794476,22.166781555197414,2.4373777553289706,44.33356311039483,0,0,-117.74588893834232,11.197519544126864,235.49177787668464,22.13311463766123,2.2789669013963523,44.26622927532246,0.11107442943970228,0.028768096045576036,0.058247864728374205,0.16977295613857474
global,Bac_shannonDiv,slope,similar,-125.9814575677488,4.941628282893483,251.9629151354976,22.241597818182484,1.5518008703367852,44.48319563636497,-7.595784568776498,6.8309315068538154,-125.97771556021516,4.93788627535985,251.95543112043032,22.240201104546134,1.5502234492353502,44.48040220909227,0.0030309448297922447,0.004222343746817226,2.987197800361084e-6,0.015191637844134048
global,Bac_JaccDist_av,intercept,NA,919.1334031719548,13.977774775129621,-1838.2668063439096,18.37558799295107,2.440673418320358,36.75117598590214,0,0,920.0479439819044,13.063233965179906,-1840.0958879638088,18.33405269647912,2.1686261638375597,36.66810539295824,0.15858197810875296,0.03203779670181965,0.09785320832060568,0.22352684909646417
global,Bac_JaccDist_av,slope,similar,903.5661457247832,4.70169703159621,-1807.1322914495663,20.508816511614217,1.0330454419668056,41.017633023228434,-15.567257447171546,12.062953736424925,903.568377192586,4.6994655637927485,-1807.136754385172,20.508308078247865,1.0325199411624606,41.01661615649573,0.0034908984772326155,0.004805568333372144,3.569579870740235e-6,0.017191302332892424
continental,Soil_carbon_service,intercept,NA,-3905.180405305868,22.419276386898197,7810.360810611736,80.75437828615163,8.611951592601713,161.50875657230327,0,0,-3905.197316378899,22.43618745993129,7810.394632757798,80.78953311947964,8.65083641880956,161.57906623895929,0.1750633066479387,0.02258405593331573,0.13125177642252292,0.21925333053739135
continental,Soil_carbon_service,slope,similar,-3904.7596598711925,21.555725418906135,7809.519319742385,80.59896036638507,8.6862435262493,161.19792073277014,-0.420745434675327,3.7604821730519435,-3904.5974541905325,21.39351973824688,7809.194908381065,80.50435606428185,8.578617379953428,161.0087121285637,0.16924886327379013,0.022768707917923906,0.1253028296815939,0.21483402818095623
continental,OM_decomposition_service,intercept,NA,-851.4175983150295,71.37950180393209,1702.835196630059,227.6617260927382,58.37603076155507,455.3234521854764,0,0,-1008.3962968662521,228.3582003551543,2016.7925937325042,381.6141273781789,213.93846335572132,763.2282547563578,0.13167556234360142,0.020964621524720232,0.09125611560551787,0.1734859107840575
continental,OM_decomposition_service,slope,similar,-848.4307988331383,72.82482649781942,1696.8615976662766,234.6463192964675,64.76630906672217,469.292638592935,-2.986799481891529,7.429708828520567,-888.996655098813,113.3906827634946,1777.993310197626,274.49306450653563,105.22821838437851,548.9861290130713,0.12663862689197122,0.020761260920500152,0.08678534180093717,0.16851452097679492
continental,Soil_stability_service,intercept,NA,-926.7342717310185,10.152612797334028,1853.468543462037,17.26848111694582,1.0637780416066676,34.53696223389164,0,0,-926.6417537436802,10.060094809996162,1853.2835074873603,17.266620120113878,1.0438464561747904,34.533240240227755,0.07325547141371196,0.01691933100050725,0.04226399021873992,0.10799895926265549
continental,Soil_stability_service,slope,similar,-926.6616007589852,7.042963113969127,1853.3232015179703,17.21586086957418,0.5466872347690765,34.43172173914836,-0.07267097203310868,2.9395684030603877,-926.6546524681728,7.036014823156098,1853.3093049363456,17.215545372333725,0.5454392562969915,34.43109074466745,0.06191229255443686,0.016114575157796022,0.03291632198716971,0.0957552661240691
continental,Nutrient_service,intercept,NA,-632.9634119414519,17.702617704414056,1265.9268238829038,62.56005137100425,5.927473872478529,125.1201027420085,0,0,-632.75872004656,17.49792580952228,1265.51744009312,62.49934441796871,5.856536049815791,124.99868883593741,0.048456541632139964,0.014151164616654102,0.023545446847500446,0.07898603367243423
continental,Nutrient_service,slope,similar,-632.6867070976339,15.391723090648119,1265.3734141952677,62.62584369270236,5.792340938329192,125.25168738540472,-0.27670484381864213,1.7756169633954106,-632.5736905930899,15.278706586105505,1265.1473811861797,62.56432118049714,5.726413698055507,125.12864236099428,0.03862361822199119,0.012908785198011637,0.016114212037438434,0.06656194079819504
continental,Pathogen_control,intercept,NA,1027.92874328837,10.429058620469641,-2055.85748657674,41.82329471566703,1.8436296599861473,83.64658943133406,0,0,1028.0706325958176,10.287169313021058,-2056.1412651916353,41.820461620493816,1.8113196086766357,83.64092324098763,0.18976816539940555,0.022878623671917866,0.14507834553284402,0.23478399321206775
continental,Pathogen_control,slope,similar,1029.1522247856046,9.407373075637706,-2058.3044495712093,41.870182356821644,1.77587979810053,83.74036471364329,-1.223481497235106,1.4443577268188723,1029.1538832345962,9.405714626645864,-2058.3077664691923,41.871519965624806,1.7771650667504877,83.74303993124961,0.18562565073121648,0.02290474800955708,0.14087178774404963,0.23050673671409658
continental,Bac_richness,intercept,NA,-5439.4914456529805,12.315259120489692,10878.982891305961,35.80438897981104,2.098354790511234,71.60877795962207,0,0,-5439.370234053105,12.194047520619215,10878.74046810621,35.799302824769114,2.079409606473019,71.59860564953823,0.28229944772102883,0.0231000519766223,0.2359209155745579,0.3271891063325301
continental,Bac_richness,slope,similar,-5434.475923595203,9.596963582800257,10868.951847190407,36.29992093358118,1.8959462571518486,72.59984186716235,-5.015522057769557,4.130401099824198,-5434.466124762699,9.587164750292427,10868.932249525398,36.29744443992357,1.893092408816171,72.59488887984713,0.2846460063235659,0.023677777963830915,0.23734439160568951,0.3304446446585601
