lc,fns,value_mean,value_median,value_ci_2.5,value_ci_17,value_ci_83,value_ci_97.5
Dryland,Bac_JaccDist_av,0.8805826408843394,0.8798241609916448,0.8661145918787386,0.8715286710632205,0.8886137582874772,0.9048641313605553
Dryland,Bac_richness,3241.527613044083,3645.7840961190236,1801.226150205573,2051.8481665956083,3964.343723680839,4281.20667638337
Dryland,Bac_shannonDiv,7.485138712442539,7.509326150899249,7.143695988201916,7.305096598341138,7.648591263623083,7.776559340374545
NA,Arbuscularmycorrhizal_richness,NA,NA,NA,NA,NA,NA
NA,Decomposer_richness,NA,NA,NA,NA,NA,NA
NA,Ectomycorrhizal_richness,NA,NA,NA,NA,NA,NA
NA,Fungi_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Fungi_richness,NA,NA,NA,NA,NA,NA
NA,Fungi_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Invertebrate_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Invertebrate_richness,NA,NA,NA,NA,NA,NA
NA,Invertebrate_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Nematode_richness,NA,NA,NA,NA,NA,NA
NA,Nutrient_service,NA,NA,NA,NA,NA,NA
NA,OM_decomposition_service,NA,NA,NA,NA,NA,NA
NA,Pathogen_control,NA,NA,NA,NA,NA,NA
NA,Protist_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Protist_richness,NA,NA,NA,NA,NA,NA
NA,Protist_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Soil_carbon_service,NA,NA,NA,NA,NA,NA
NA,Soil_stability_service,NA,NA,NA,NA,NA,NA
NA,Water_regulation_service,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
