lc,fns,value_mean,value_median,value_ci_2.5,value_ci_17,value_ci_83,value_ci_97.5
Grassland,Bac_JaccDist_av,0.8779769382581473,0.8791874064875702,0.8598115621798609,0.8671245924012244,0.8877525490999653,0.8987964935785736
Grassland,Bac_richness,3391.990103522623,3546.3552801404976,2105.8854234231108,3060.3110380515495,3832.0760099715717,3907.6419917038256
Grassland,Bac_shannonDiv,7.541849778308164,7.518735642256189,7.387936926828514,7.449620013590695,7.642570905300955,7.835397020811482
Shrubland,Bac_JaccDist_av,0.8752287796038534,0.8753287602987219,0.8658107099913752,0.8700399600594544,0.8800172650814908,0.8873623939793254
Shrubland,Bac_richness,2989.7109452506124,3358.8658780526944,1564.4302097455707,1986.8363949879633,3836.688486582166,3940.9108720391123
Shrubland,Bac_shannonDiv,7.497378514358663,7.493213186044416,7.3331214584141895,7.421389912665679,7.5827416555621445,7.723753447591061
Woodland,Bac_JaccDist_av,0.8881473980216793,0.8814016822340578,0.8668488133643489,0.8740688969782484,0.9106061805583604,0.9343550829797916
Woodland,Bac_richness,3429.5577224473172,3780.1118070653433,1825.960131352172,2285.407002518909,4331.9965267028565,4436.522506086767
Woodland,Bac_shannonDiv,7.446733296983423,7.650819961796896,6.633371000938502,6.859986741098209,7.762420680562859,7.88703268615345
NA,Arbuscularmycorrhizal_richness,NA,NA,NA,NA,NA,NA
NA,Decomposer_richness,NA,NA,NA,NA,NA,NA
NA,Ectomycorrhizal_richness,NA,NA,NA,NA,NA,NA
NA,Fungi_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Fungi_richness,NA,NA,NA,NA,NA,NA
NA,Fungi_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Invertebrate_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Invertebrate_richness,NA,NA,NA,NA,NA,NA
NA,Invertebrate_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Nematode_richness,NA,NA,NA,NA,NA,NA
NA,Nutrient_service,NA,NA,NA,NA,NA,NA
NA,OM_decomposition_service,NA,NA,NA,NA,NA,NA
NA,Pathogen_control,NA,NA,NA,NA,NA,NA
NA,Protist_JaccDist_av,NA,NA,NA,NA,NA,NA
NA,Protist_richness,NA,NA,NA,NA,NA,NA
NA,Protist_shannonDiv,NA,NA,NA,NA,NA,NA
NA,Soil_carbon_service,NA,NA,NA,NA,NA,NA
NA,Soil_stability_service,NA,NA,NA,NA,NA,NA
NA,Water_regulation_service,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA
