LC,PA_rank_rev.trend,lower.HPD,upper.HPD,fns,scale,Group_function,scale_icon,significance
Dryland,1.2802571747982938e-4,-5.282211304376e-4,7.429960151341675e-4,Bac_JaccDist_av,global,Dissimilarity,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Dryland,-5.066841318921433e-4,-0.01536892952174184,0.01360674988131904,Bac_shannonDiv,global,Shannon,<img src='figures/icon_earth-globe-with-continents-maps.png' width='70'>,ns
Cropland,-7.643434265105498e-4,-3.790393522479292,4.098191001694431,Bac_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,8.50178906343757e-4,-2.156628088498337,1.9503161863277685,Pathogen_control,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,9.212556534805572e-4,-2.8196813484817653,2.863081061781145,Fungi_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.00130851657205965,-1.16614405827562,1.1941144788995643,Invertebrate_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.00196116518475264,-2.763544641772455,2.761002023968331,Bac_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.00254840612360496,-4.235313756747701,4.441796999728467,Nutrient_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.00379831011389608,-0.9832245974434954,1.1008660458472832,Protist_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-0.00416395572420924,-3.033465152773033,3.734341152790421,Fungi_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.00482482492441249,-4.2539725376134925,3.7869774341027096,Soil_stability_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.00505150044507551,-3.3581634707654757,3.611630320010931,Nutrient_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.00568239102994772,-3.591380217009658,3.577865034136039,Nutrient_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.00651697000897399,-2.234281862294182,2.277978281312471,Fungi_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.00671436492298838,-3.2285837963685253,2.872809952509158,OM_decomposition_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.00696854949947578,-3.818799471272726,3.6858216944413584,Soil_stability_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.00848536780202913,-2.1691797182635355,2.277232420057885,Pathogen_control,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.00915994675230535,-1.335531489401177,1.3357605336230955,Protist_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.01009621125159476,-2.1301608514781947,1.8561219489487255,Pathogen_control,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.01216102917308248,-1.2487719289464962,1.1940151144429478,Fungi_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,-0.01350698363279967,-2.9500711010377927,3.2945540158543736,Bac_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.01352821916279367,-3.9641665245235345,4.120546893270102,Bac_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.01364660295268649,-4.102060690418966,4.182759627480664,Nutrient_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.01463643422849081,-1.40610454833201,1.6046504734570135,Protist_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.02131095319972331,-1.485609265144234,1.7327221333565603,Invertebrate_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.02141406614815366,-0.8676110812701978,0.852837254755741,Invertebrate_JaccDist_av,continental,Dissimilarity,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.02177737271562918,-3.59224468769753,3.43308895785043,Nutrient_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,-0.02186530517627716,-3.1726305904032372,3.1036806144913953,Fungi_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,0.02278489594205446,-4.9400768381710805,3.3138252271367037,Soil_stability_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.02333441855446949,-3.4206017169907454,3.52226070043821,OM_decomposition_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,0.02391424198705749,-1.60243641270921,2.3130063593467867,Fungi_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.02431881609032871,-8.399518442652266,6.072851523751524,Arbuscularmycorrhizal_richness,continental,Richness,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.02560312930211239,-3.819130100784605,3.82033725865233,Bac_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,0.02745330984244276,-3.0156375054282307,2.946429872150361,Soil_stability_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.027969690307998,-2.646993334535864,4.524258265166054,Protist_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.02979623894111682,-3.5771365821868244,3.221753869883514,Protist_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.0300153992890344,-1.2611985016719984,1.3555600761167028,Invertebrate_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.0304341057436801,-1.4738486213219917,2.0186446197322994,Pathogen_control,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,0.03243032614723518,-4.069549130339055,4.791935867420079,Ectomycorrhizal_richness,regional,Richness,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.03370720448258879,-2.320282963633531,2.4655201888026568,Bac_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.03374637022288418,-3.2060290124516087,2.9175620312904584,Nutrient_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.03562209044980591,-2.4846332117462,1.9841916316192396,Pathogen_control,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Grassland,-0.03591555450009309,-3.82374339498017,3.725819669419707,Bac_shannonDiv,regional,Shannon,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Grassland,0.03673829133546214,-3.9113087292514592,4.07135444328901,Soil_stability_service,regional,Function,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Cropland,-0.04117389424545337,-1.6556741259850014,1.461835319407669,Fungi_JaccDist_av,regional,Dissimilarity,<img src='figures/icon_flag-Portugal.png' width='70'>,ns
Woodland,-0.0456225937556276,-3.020628071496617,2.9170594105548844,OM_decomposition_service,continental,Function,<img src='figures/icon_location-black.png' width='70'>,ns
Woodland,0.04664429179382523,-3.9342158884687617,3.877868248687264,Bac_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.04903209318251811,-3.4227729917259992,3.2550330810959167,Fungi_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
Cropland,-0.05242224769376946,-3.0232543262808065,3.212146060547638,Protist_shannonDiv,continental,Shannon,<img src='figures/icon_location-black.png' width='70'>,ns
